,Unnamed: 0,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,0,Congressional Job Approval,Quinnipiac,"Approve 20, Disapprove 71",51,2010-04-21,2010.0,11.0
1,1,President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 46",2,2010-04-21,2010.0,11.0
2,2,Congressional Job Approval,FOX News,"Approve 22, Disapprove 68",46,2010-04-22,2010.0,12.0
3,3,President Obama Job Approval,FOX News,"Approve 46, Disapprove 46",0,2010-04-22,2010.0,12.0
4,4,President Obama Job Approval,Gallup,"Approve 50, Disapprove 43",7,2010-04-25,2010.0,9.0
5,5,President Obama Job Approval,Rasmussen Reports,"Approve 45, Disapprove 54",9,2010-04-25,2010.0,7.0
6,6,President Obama Job Approval,Democracy Corps (D),"Approve 48, Disapprove 46",2,2010-04-27,2010.0,8.0
7,7,President Obama Job Approval,ABC News/Wash Post,"Approve 54, Disapprove 44",10,2010-04-28,2010.0,13.0
8,8,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 42",5,2010-04-28,2010.0,8.0
9,9,President Obama Job Approval,Resurgent Republic (R),"Approve 48, Disapprove 48",0,2010-04-30,2010.0,0.0
10,10,President Obama Job Approval,CBS News/NY Times,"Approve 51, Disapprove 39",12,2010-05-03,2010.0,11.0
11,11,President Obama Job Approval,Gallup,"Approve 47, Disapprove 47",0,2010-05-03,2010.0,9.0
12,12,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 51",3,2010-05-03,2010.0,7.0
13,13,President Obama Job Approval,FOX News,"Approve 48, Disapprove 43",5,2010-05-06,2010.0,12.0
14,14,President Obama Job Approval,National Journal/FD,"Approve 48, Disapprove 46",2,2010-05-06,2010.0,12.0
15,15,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 42",5,2010-05-11,2010.0,8.0
16,16,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 50, Disapprove 44",6,2010-05-12,2010.0,11.0
17,17,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 21, Disapprove 72",51,2010-05-12,2010.0,11.0
18,18,Congressional Job Approval,Gallup,"Approve 21, Disapprove 75",54,2010-05-14,2010.0,9.0
19,19,Congressional Job Approval,Associated Press/GfK,"Approve 28, Disapprove 71",43,2010-05-15,2010.0,9.0
20,20,President Obama Job Approval,Associated Press/GfK,"Approve 49, Disapprove 50",1,2010-05-15,2010.0,9.0
21,21,President Obama Job Approval,Gallup,"Approve 51, Disapprove 42",9,2010-05-15,2010.0,9.0
22,22,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 52",4,2010-05-15,2010.0,7.0
23,23,President Obama Job Approval,Ipsos/McClatchy,"Approve 52, Disapprove 43",9,2010-05-17,2010.0,10.0
24,24,President Obama Job Approval,FOX News,"Approve 45, Disapprove 46",1,2010-05-21,2010.0,12.0
25,25,Congressional Job Approval,FOX News,"Approve 22, Disapprove 65",43,2010-05-21,2010.0,12.0
26,26,President Obama Job Approval,CBS News,"Approve 47, Disapprove 43",4,2010-05-25,2010.0,11.0
27,27,Congressional Job Approval,CBS News,"Approve 15, Disapprove 77",62,2010-05-25,2010.0,11.0
28,28,President Obama Job Approval,Rasmussen Reports,"Approve 43, Disapprove 56",13,2010-05-25,2010.0,7.0
29,29,President Obama Job Approval,Gallup,"Approve 47, Disapprove 45",2,2010-05-25,2010.0,9.0
30,30,President Obama Job Approval,Quinnipiac,"Approve 48, Disapprove 43",5,2010-05-26,2010.0,11.0
31,31,President Obama Job Approval,USA Today/Gallup,"Approve 48, Disapprove 48",0,2010-05-26,2010.0,9.0
32,32,President Obama Job Approval,CNN/Opinion Research,"Approve 51, Disapprove 46",5,2010-05-26,2010.0,10.0
33,33,President Obama Job Approval,Democracy Corps (D),"Approve 47, Disapprove 47",0,2010-05-26,2010.0,8.0
34,34,President Obama Job Approval,NBC News,"Approve 48, Disapprove 45",3,2010-05-26,2010.0,11.0
35,35,President Obama Job Approval,Gallup,"Approve 47, Disapprove 44",3,2010-06-07,2010.0,9.0
36,36,President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 53",7,2010-06-07,2010.0,7.0
37,37,President Obama Job Approval,ABC News/Wash Post,"Approve 52, Disapprove 45",7,2010-06-08,2010.0,13.0
38,38,Congressional Job Approval,ABC News/Wash Post,"Approve 26, Disapprove 71",45,2010-06-08,2010.0,13.0
39,39,President Obama Job Approval,FOX News,"Approve 46, Disapprove 45",1,2010-06-11,2010.0,12.0
40,40,Congressional Job Approval,FOX News,"Approve 22, Disapprove 69",47,2010-06-11,2010.0,12.0
41,41,President Obama Job Approval,Associated Press/GfK,"Approve 50, Disapprove 49",1,2010-06-15,2010.0,9.0
42,42,Congressional Job Approval,Associated Press/GfK,"Approve 24, Disapprove 73",49,2010-06-15,2010.0,9.0
43,43,President Obama Job Approval,Ipsos/McClatchy,"Approve 50, Disapprove 45",5,2010-06-16,2010.0,10.0
44,44,President Obama Job Approval,CNN/OpinionResearch,"Approve 50, Disapprove 48",2,2010-06-17,2010.0,10.0
45,45,Congressional Job Approval,CBS News/NY Times,"Approve 19, Disapprove 70",51,2010-06-21,2010.0,11.0
46,46,President Obama Job Approval,CBS News/NY Times,"Approve 47, Disapprove 43",4,2010-06-21,2010.0,11.0
47,47,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 45, Disapprove 48",3,2010-06-23,2010.0,11.0
48,48,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 22, Disapprove 73",51,2010-06-23,2010.0,11.0
49,49,President Obama Job Approval,Gallup,"Approve 45, Disapprove 46",1,2010-06-23,2010.0,9.0
50,50,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 51",3,2010-06-23,2010.0,7.0
51,51,Congressional Job Approval,Gallup,"Approve 20, Disapprove 74",54,2010-06-24,2010.0,9.0
52,52,President Obama Job Approval,Pew Research,"Approve 48, Disapprove 43",5,2010-06-24,2010.0,8.0
53,53,President Obama Job Approval,Newsweek,"Approve 48, Disapprove 46",2,2010-06-25,2010.0,0.0
54,54,President Obama Job Approval,Marist,"Approve 44, Disapprove 45",1,2010-06-30,2010.0,12.0
55,55,Congressional Job Approval,FOX News,"Approve 24, Disapprove 66",42,2010-07-01,2010.0,12.0
56,56,President Obama Job Approval,FOX News,"Approve 47, Disapprove 45",2,2010-07-01,2010.0,12.0
57,57,President Obama Job Approval,Resurgent Republic (R),"Approve 49, Disapprove 48",1,2010-07-06,2010.0,0.0
58,58,President Obama Job Approval,Democracy Corps (D),"Approve 46, Disapprove 50",4,2010-07-08,2010.0,8.0
59,59,President Obama Job Approval,CBS News,"Approve 44, Disapprove 44",0,2010-07-13,2010.0,11.0
60,60,President Obama Job Approval,ABC News/Wash Post,"Approve 50, Disapprove 47",3,2010-07-13,2010.0,13.0
61,61,President Obama Job Approval,Bloomberg,"Approve 52, Disapprove 44",8,2010-07-14,2010.0,0.0
62,62,President Obama Job Approval,Gallup,"Approve 46, Disapprove 47",1,2010-07-15,2010.0,9.0
63,63,President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 53",7,2010-07-15,2010.0,7.0
64,64,President Obama Job Approval,Time,"Approve 49, Disapprove 45",4,2010-07-15,2010.0,11.0
65,65,President Obama Job Approval,FOX News,"Approve 43, Disapprove 48",5,2010-07-15,2010.0,12.0
66,66,President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 48",4,2010-07-21,2010.0,11.0
67,67,Congressional Job Approval,Gallup,"Approve 20, Disapprove 73",53,2010-07-22,2010.0,9.0
68,68,President Obama Job Approval,CNN/Opinion Research,"Approve 47, Disapprove 50",3,2010-07-22,2010.0,10.0
69,69,President Obama Job Approval,Rasmussen Reports,"Approve 44, Disapprove 56",12,2010-07-27,2010.0,7.0
70,70,President Obama Job Approval,Gallup,"Approve 45, Disapprove 48",3,2010-07-27,2010.0,9.0
71,71,President Obama Job Approval,Reuters/Ipsos,"Approve 48, Disapprove 48",0,2010-07-27,2010.0,10.0
72,72,President Obama Job Approval,FOX News,"Approve 43, Disapprove 50",7,2010-07-29,2010.0,12.0
73,73,Congressional Job Approval,FOX News,"Approve 21, Disapprove 71",50,2010-07-29,2010.0,12.0
74,74,President Obama Job Approval,USA Today/Gallup,"Approve 41, Disapprove 53",12,2010-08-03,2010.0,9.0
75,75,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 47, Disapprove 48",1,2010-08-11,2010.0,11.0
76,76,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 41",6,2010-08-11,2010.0,8.0
77,77,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 21, Disapprove 72",51,2010-08-11,2010.0,11.0
