,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
0,Direction of Country,R2000/Daily Kos (D),"Right Direction 38, Wrong Track 58",Wrong Track +20,2010-04-16,2010.0
1,Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 57",Wrong Track +18,2010-04-23,2010.0
2,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 62",Wrong Track +29,2010-04-26,2010.0
3,Direction of Country,Democracy Corps (D),"Right Direction 34, Wrong Track 57",Wrong Track +23,2010-04-27,2010.0
4,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-04-27,2010.0
5,Direction of Country,Resurgent Republic (R),"Right Direction 33, Wrong Track 59",Wrong Track +26,2010-04-30,2010.0
6,Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 56",Wrong Track +15,2010-04-30,2010.0
7,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-05-05,2010.0
8,Direction of Country,National Journal/FD,"Right Direction 34, Wrong Track 54",Wrong Track +20,2010-05-06,2010.0
9,Direction of Country,R2000/Daily Kos (D),"Right Direction 42, Wrong Track 55",Wrong Track +13,2010-05-07,2010.0
10,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 34, Wrong Track 56",Wrong Track +22,2010-05-12,2010.0
11,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",Wrong Track +34,2010-05-12,2010.0
12,Direction of Country,R2000/Daily Kos (D),"Right Direction 43, Wrong Track 54",Wrong Track +11,2010-05-14,2010.0
13,Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 59",Wrong Track +24,2010-05-15,2010.0
14,Direction of Country,Ipsos-McClatchy,"Right Direction 34, Wrong Track 60",Wrong Track +26,2010-05-17,2010.0
15,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-05-19,2010.0
16,Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 55",Wrong Track +14,2010-05-21,2010.0
17,Direction of Country,CBS News,"Right Direction 32, Wrong Track 61",Wrong Track +29,2010-05-25,2010.0
18,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-05-26,2010.0
19,Direction of Country,R2000/Daily Kos (D),"Right Direction 40, Wrong Track 56",Wrong Track +16,2010-05-28,2010.0
20,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",Wrong Track +35,2010-06-02,2010.0
21,Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 59",Wrong Track +26,2010-06-04,2010.0
22,Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 59",Wrong Track +20,2010-06-04,2010.0
23,Direction of Country,ABC News/Wash Post,"Right Direction 37, Wrong Track 60",Wrong Track +23,2010-06-08,2010.0
24,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-06-09,2010.0
25,Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 60",Wrong Track +23,2010-06-15,2010.0
26,Direction of Country,Ipsos/McClatchy,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-06-16,2010.0
27,Direction of Country,CBS News/NY Times,"Right Direction 32, Wrong Track 60",Wrong Track +28,2010-06-21,2010.0
28,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-06-22,2010.0
29,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 62",Wrong Track +33,2010-06-23,2010.0
30,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 66",Wrong Track +38,2010-07-01,2010.0
31,Direction of Country,Resurgent Republic (R),"Right Direction 27, Wrong Track 64",Wrong Track +37,2010-07-06,2010.0
32,Direction of Country,Democracy Corps (D),"Right Direction 32, Wrong Track 61",Wrong Track +29,2010-07-08,2010.0
33,Direction of Country,Bloomberg,"Right Direction 31, Wrong Track 63",Wrong Track +32,2010-07-14,2010.0
34,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-07-14,2010.0
35,Direction of Country,Time,"Right Direction 39, Wrong Track 56",Wrong Track +17,2010-07-15,2010.0
36,Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2010-07-21,2010.0
37,Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 60",Wrong Track +26,2010-07-27,2010.0
38,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-07-28,2010.0
39,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 66",Wrong Track +36,2010-08-04,2010.0
40,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 58",Wrong Track +26,2010-08-11,2010.0
41,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",Wrong Track +35,2010-08-11,2010.0
42,Direction of Country,Democracy Corps (D),"Right Direction 29, Wrong Track 64",Wrong Track +35,2010-08-12,2010.0
43,Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 60",Wrong Track +25,2010-08-18,2010.0
44,Direction of Country,Time,"Right Direction 34, Wrong Track 57",Wrong Track +23,2010-08-19,2010.0
45,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-08-19,2010.0
46,Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 62",Wrong Track +31,2010-08-25,2010.0
47,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2010-08-25,2010.0
48,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2010-08-30,2010.0
49,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 30, Wrong Track 61",Wrong Track +31,2010-09-07,2010.0
50,Direction of Country,National Journal/FD,"Right Direction 27, Wrong Track 62",Wrong Track +35,2010-09-07,2010.0
51,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2010-09-08,2010.0
52,Direction of Country,Democracy Corps (D),"Right Direction 31, Wrong Track 62",Wrong Track +31,2010-09-08,2010.0
53,Direction of Country,Democracy Corps (D),"Right Direction 31, Wrong Track 60",Wrong Track +29,2010-09-15,2010.0
54,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",Wrong Track +35,2010-09-15,2010.0
55,Direction of Country,Associated Press/GfK,"Right Direction 40, Wrong Track 57",Wrong Track +17,2010-09-15,2010.0
56,Direction of Country,CBS News/NY Times,"Right Direction 33, Wrong Track 60",Wrong Track +27,2010-09-15,2010.0
57,Direction of Country,Politico/GWU/Battleground,"Right Direction 28, Wrong Track 63",Wrong Track +35,2010-09-16,2010.0
58,Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-09-21,2010.0
59,Direction of Country,McClatchy/Marist,"Right Direction 41, Wrong Track 56",Wrong Track +15,2010-09-22,2010.0
60,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2010-09-22,2010.0
61,Direction of Country,Politico/GWU/Battleground,"Right Direction 31, Wrong Track 63",Wrong Track +32,2010-09-27,2010.0
62,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 59",Wrong Track +27,2010-09-28,2010.0
63,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2010-09-29,2010.0
64,Direction of Country,Democracy Corps (D),"Right Direction 29, Wrong Track 63",Wrong Track +34,2010-10-06,2010.0
65,Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 61",Wrong Track +29,2010-10-06,2010.0
66,Direction of Country,Bloomberg,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-10-12,2010.0
67,Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 63",Wrong Track +32,2010-10-13,2010.0
68,Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 64",Wrong Track +32,2010-10-13,2010.0
69,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 59",Wrong Track +27,2010-10-19,2010.0
70,Direction of Country,Associated Press/GfK,"Right Direction 38, Wrong Track 59",Wrong Track +21,2010-10-20,2010.0
71,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",Wrong Track +34,2010-10-20,2010.0
72,Direction of Country,Politico/GWU/Battleground,"Right Direction 29, Wrong Track 64",Wrong Track +35,2010-10-25,2010.0
73,Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 64",Wrong Track +32,2010-10-27,2010.0
74,Direction of Country,CBS News/NY Times,"Right Direction 34, Wrong Track 61",Wrong Track +27,2010-10-27,2010.0
75,Direction of Country,ABC News/Wash Post,"Right Direction 27, Wrong Track 71",Wrong Track +44,2010-10-31,2010.0
76,Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 62",Wrong Track +29,2010-11-01,2010.0
77,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 31, Wrong Track 60",Wrong Track +29,2010-11-01,2010.0
78,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 65",Wrong Track +34,2010-11-05,2010.0
79,Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 58",Wrong Track +21,2010-11-10,2010.0
80,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-11-11,2010.0
81,Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 67",Wrong Track +41,2010-11-17,2010.0
82,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 58",Wrong Track +26,2010-11-18,2010.0
83,Direction of Country,McClatchy/Marist,"Right Direction 41, Wrong Track 53",Wrong Track +12,2010-11-23,2010.0
84,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 66",Wrong Track +38,2010-11-24,2010.0
85,Direction of Country,Associated Press/CNBC,"Right Direction 35, Wrong Track 61",Wrong Track +26,2010-11-30,2010.0
86,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 67",Wrong Track +38,2010-12-01,2010.0
87,Direction of Country,Reuters/Ipsos,"Right Direction 29, Wrong Track 62",Wrong Track +33,2010-12-07,2010.0
88,Direction of Country,National Journal/FD,"Right Direction 30, Wrong Track 60",Wrong Track +30,2010-12-08,2010.0
89,Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 70",Wrong Track +44,2010-12-08,2010.0
90,Direction of Country,Bloomberg,"Right Direction 27, Wrong Track 66",Wrong Track +39,2010-12-08,2010.0
91,Direction of Country,ABC News/Wash Post,"Right Direction 31, Wrong Track 67",Wrong Track +36,2010-12-14,2010.0
92,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 28, Wrong Track 63",Wrong Track +35,2010-12-15,2010.0
93,Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 71",Wrong Track +48,2010-12-15,2010.0
94,Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 71",Wrong Track +48,2010-12-22,2010.0
95,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-12-29,2010.0
96,Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2011-01-05,2011.0
97,Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 57",Wrong Track +20,2011-01-12,2011.0
98,Direction of Country,Reuters/Ipsos,"Right Direction 36, Wrong Track 59",Wrong Track +23,2011-01-12,2011.0
99,Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 68",Wrong Track +42,2011-01-12,2011.0
100,Direction of Country,McClatchy/Marist,"Right Direction 41, Wrong Track 47",Wrong Track +6,2011-01-14,2011.0
101,Direction of Country,ABC News/Wash Post,"Right Direction 38, Wrong Track 60",Wrong Track +22,2011-01-18,2011.0
102,Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 58",Wrong Track +25,2011-01-18,2011.0
103,Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 66",Wrong Track +39,2011-01-19,2011.0
104,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 35, Wrong Track 56",Wrong Track +21,2011-01-19,2011.0
105,Direction of Country,CBS News/NY Times,"Right Direction 32, Wrong Track 64",Wrong Track +32,2011-01-20,2011.0
106,Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 55",Wrong Track +16,2011-01-22,2011.0
107,Direction of Country,Economist/YouGov,"Right Direction 37, Wrong Track 55",Wrong Track +18,2011-01-24,2011.0
108,Direction of Country,Reuters/Ipsos,"Right Direction 30, Wrong Track 58",Wrong Track +28,2011-01-24,2011.0
109,Direction of Country,Harvard-Harris,"Right Direction 35, Wrong Track 54",Wrong Track +19,2011-01-24,2011.0
110,Direction of Country,Rasmussen Reports,"Right Direction 39, Wrong Track 55",Wrong Track +16,2011-01-29,2011.0
111,Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 51",Wrong Track +12,2011-01-31,2011.0
112,Direction of Country,Reuters/Ipsos,"Right Direction 35, Wrong Track 54",Wrong Track +19,2011-01-31,2011.0
113,Direction of Country,Monmouth,"Right Direction 39, Wrong Track 55",Wrong Track +16,2011-01-31,2011.0
114,Direction of Country,Rasmussen Reports,"Right Direction 42, Wrong Track 53",Wrong Track +11,2011-02-05,2011.0
115,Direction of Country,IBD/TIPP,"Right Direction 45, Wrong Track 54",Wrong Track +9,2011-02-06,2011.0
116,Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 52",Wrong Track +13,2011-02-07,2011.0
117,Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 55",Wrong Track +23,2011-02-07,2011.0
118,Direction of Country,Marist,"Right Direction 37, Wrong Track 57",Wrong Track +20,2011-02-09,2011.0
119,Direction of Country,Rasmussen Reports,"Right Direction 43, Wrong Track 52",Wrong Track +9,2011-02-12,2011.0
120,Direction of Country,Economist/YouGov,"Right Direction 39, Wrong Track 52",Wrong Track +13,2011-02-14,2011.0
121,Direction of Country,Reuters/Ipsos,"Right Direction 32, Wrong Track 56",Wrong Track +24,2011-02-14,2011.0
122,Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 55",Wrong Track +15,2011-02-19,2011.0
123,Direction of Country,Economist/YouGov,"Right Direction 35, Wrong Track 55",Wrong Track +20,2011-02-21,2011.0
124,Direction of Country,Harvard-Harris,"Right Direction 37, Wrong Track 54",Wrong Track +17,2011-02-21,2011.0
125,Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 57",Wrong Track +26,2011-02-21,2011.0
126,Direction of Country,Rasmussen Reports,"Right Direction 37, Wrong Track 56",Wrong Track +19,2011-02-26,2011.0
127,Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 58",Wrong Track +24,2011-02-28,2011.0
128,Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 57",Wrong Track +26,2011-02-28,2011.0
129,Direction of Country,USA Today/Suffolk,"Right Direction 29, Wrong Track 60",Wrong Track +31,2011-03-01,2011.0
130,Direction of Country,Rasmussen Reports,"Right Direction 40, Wrong Track 53",Wrong Track +13,2011-03-05,2011.0
131,Direction of Country,Economist/YouGov,"Right Direction 34, Wrong Track 56",Wrong Track +22,2011-03-07,2011.0
132,Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 56",Wrong Track +25,2011-03-07,2011.0
133,Direction of Country,Monmouth,"Right Direction 33, Wrong Track 60",Wrong Track +27,2011-03-07,2011.0
134,Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 68",Wrong Track +41,2011-03-09,2011.0
135,Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 64",Wrong Track +33,2011-03-09,2011.0
136,Direction of Country,Bloomberg,"Right Direction 28, Wrong Track 63",Wrong Track +35,2011-03-10,2011.0
137,Direction of Country,Rasmussen Reports,"Right Direction 22, Wrong Track 72",Wrong Track +50,2011-03-16,2011.0
138,Direction of Country,National Journal/FD,"Right Direction 26, Wrong Track 60",Wrong Track +34,2011-03-18,2011.0
139,Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 71",Wrong Track +48,2011-03-23,2011.0
140,Direction of Country,FDU/Public Mind,"Right Direction 27, Wrong Track 59",Wrong Track +32,2011-03-31,2011.0
141,Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 62",Wrong Track +27,2011-03-31,2011.0
142,Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2011-03-31,2011.0
143,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 28, Wrong Track 63",Wrong Track +35,2011-04-06,2011.0
144,Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 72",Wrong Track +48,2011-04-06,2011.0
145,Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 69",Wrong Track +44,2011-04-13,2011.0
146,Direction of Country,Rasmussen Reports,"Right Direction 23, Wrong Track 69",Wrong Track +46,2011-04-13,2011.0
147,Direction of Country,Democracy Corps (D),"Right Direction 26, Wrong Track 65",Wrong Track +39,2011-04-15,2011.0
148,Direction of Country,McClatchy/Marist,"Right Direction 31, Wrong Track 64",Wrong Track +33,2011-04-19,2011.0
149,Direction of Country,Rasmussen Reports,"Right Direction 22, Wrong Track 70",Wrong Track +48,2011-04-20,2011.0
150,Direction of Country,CBS News/NY Times,"Right Direction 26, Wrong Track 70",Wrong Track +44,2011-04-21,2011.0
151,Direction of Country,Rasmussen Reports,"Right Direction 21, Wrong Track 71",Wrong Track +50,2011-04-27,2011.0
152,Direction of Country,Hearst/F&M;,"Right Direction 26, Wrong Track 66",Wrong Track +40,2011-04-28,2011.0
153,Direction of Country,Newsweek/Daily Beast,"Right Direction 20, Wrong Track 65",Wrong Track +45,2011-05-02,2011.0
154,Direction of Country,Newsweek/Daily Beast,"Right Direction 27, Wrong Track 60",Wrong Track +33,2011-05-03,2011.0
155,Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 67",Wrong Track +42,2011-05-04,2011.0
156,Direction of Country,NBC News,"Right Direction 36, Wrong Track 50",Wrong Track +14,2011-05-09,2011.0
157,Direction of Country,Reuters/Ipsos,"Right Direction 38, Wrong Track 56",Wrong Track +18,2011-05-11,2011.0
158,Direction of Country,Associated Press/GfK,"Right Direction 45, Wrong Track 52",Wrong Track +7,2011-05-11,2011.0
159,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2011-05-11,2011.0
160,Direction of Country,Politico/GWU/Battleground,"Right Direction 32, Wrong Track 60",Wrong Track +28,2011-05-16,2011.0
161,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2011-05-18,2011.0
162,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 63",Wrong Track +34,2011-05-25,2011.0
163,Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 66",Wrong Track +40,2011-06-01,2011.0
164,Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 58",Wrong Track +25,2011-06-02,2011.0
165,Direction of Country,National Journal/FD,"Right Direction 28, Wrong Track 58",Wrong Track +30,2011-06-03,2011.0
166,Direction of Country,ABC News/Wash Post,"Right Direction 32, Wrong Track 66",Wrong Track +34,2011-06-07,2011.0
167,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 64",Wrong Track +36,2011-06-08,2011.0
168,Direction of Country,CBS News,"Right Direction 31, Wrong Track 60",Wrong Track +29,2011-06-09,2011.0
169,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 62",Wrong Track +33,2011-06-15,2011.0
170,Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 65",Wrong Track +38,2011-06-15,2011.0
171,Direction of Country,Bloomberg,"Right Direction 26, Wrong Track 66",Wrong Track +40,2011-06-22,2011.0
172,Direction of Country,Rasmussen Reports,"Right Direction 26, Wrong Track 65",Wrong Track +39,2011-06-22,2011.0
173,Direction of Country,Associated Press/GfK,"Right Direction 33, Wrong Track 63",Wrong Track +30,2011-06-22,2011.0
174,Direction of Country,Democracy Corps (D),"Right Direction 28, Wrong Track 61",Wrong Track +33,2011-06-27,2011.0
175,Direction of Country,McClatchy/Marist,"Right Direction 32, Wrong Track 59",Wrong Track +27,2011-06-28,2011.0
176,Direction of Country,CBS News/NY Times,"Right Direction 28, Wrong Track 63",Wrong Track +35,2011-06-29,2011.0
177,Direction of Country,Rasmussen Reports,"Right Direction 24, Wrong Track 68",Wrong Track +44,2011-06-29,2011.0
178,Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2011-07-06,2011.0
179,Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 63",Wrong Track +32,2011-07-13,2011.0
180,Direction of Country,Rasmussen Reports,"Right Direction 25, Wrong Track 68",Wrong Track +43,2011-07-13,2011.0
181,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 25, Wrong Track 67",Wrong Track +42,2011-07-19,2011.0
182,Direction of Country,Rasmussen Reports,"Right Direction 21, Wrong Track 71",Wrong Track +50,2011-07-20,2011.0
183,Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 75",Wrong Track +58,2011-07-27,2011.0
184,Direction of Country,Rasmussen Reports,"Right Direction 14, Wrong Track 80",Wrong Track +66,2011-08-03,2011.0
185,Direction of Country,McClatchy/Marist,"Right Direction 21, Wrong Track 70",Wrong Track +49,2011-08-09,2011.0
186,Direction of Country,Reuters/Ipsos,"Right Direction 21, Wrong Track 73",Wrong Track +52,2011-08-10,2011.0
187,Direction of Country,Rasmussen Reports,"Right Direction 16, Wrong Track 77",Wrong Track +61,2011-08-10,2011.0
188,Direction of Country,Democracy Corps (D),"Right Direction 16, Wrong Track 75",Wrong Track +59,2011-08-12,2011.0
189,Direction of Country,Rasmussen Reports,"Right Direction 15, Wrong Track 80",Wrong Track +65,2011-08-17,2011.0
190,Direction of Country,Rasmussen Reports,"Right Direction 14, Wrong Track 79",Wrong Track +65,2011-08-24,2011.0
191,Direction of Country,Associated Press/GfK,"Right Direction 21, Wrong Track 75",Wrong Track +54,2011-08-25,2011.0
192,Direction of Country,Rasmussen Reports,"Right Direction 16, Wrong Track 76",Wrong Track +60,2011-08-31,2011.0
193,Direction of Country,ABC News/Wash Post,"Right Direction 20, Wrong Track 77",Wrong Track +57,2011-09-06,2011.0
194,Direction of Country,Rasmussen Reports,"Right Direction 18, Wrong Track 76",Wrong Track +58,2011-09-07,2011.0
195,Direction of Country,Bloomberg,"Right Direction 20, Wrong Track 72",Wrong Track +52,2011-09-14,2011.0
196,Direction of Country,Rasmussen Reports,"Right Direction 17, Wrong Track 75",Wrong Track +58,2011-09-14,2011.0
197,Direction of Country,Reuters/Ipsos,"Right Direction 25, Wrong Track 68",Wrong Track +43,2011-09-14,2011.0
198,Direction of Country,CBS News/NY Times,"Right Direction 23, Wrong Track 72",Wrong Track +49,2011-09-17,2011.0
