,Unnamed: 0,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,0,Direction of Country,R2000/Daily Kos (D),"Right Direction 38, Wrong Track 58",-20,2010-04-16,2010.0,0.0
1,1,Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 57",-18,2010-04-23,2010.0,0.0
2,2,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 62",-29,2010-04-26,2010.0,7.0
3,3,Direction of Country,Democracy Corps (D),"Right Direction 34, Wrong Track 57",-23,2010-04-27,2010.0,8.0
4,4,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",-28,2010-04-27,2010.0,7.0
5,5,Direction of Country,Resurgent Republic (R),"Right Direction 33, Wrong Track 59",-26,2010-04-30,2010.0,0.0
6,6,Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 56",-15,2010-04-30,2010.0,0.0
7,7,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",-28,2010-05-05,2010.0,7.0
8,8,Direction of Country,National Journal/FD,"Right Direction 34, Wrong Track 54",-20,2010-05-06,2010.0,12.0
9,9,Direction of Country,R2000/Daily Kos (D),"Right Direction 42, Wrong Track 55",-13,2010-05-07,2010.0,0.0
10,10,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 34, Wrong Track 56",-22,2010-05-12,2010.0,11.0
11,11,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",-34,2010-05-12,2010.0,7.0
12,12,Direction of Country,R2000/Daily Kos (D),"Right Direction 43, Wrong Track 54",-11,2010-05-14,2010.0,0.0
13,13,Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 59",-24,2010-05-15,2010.0,9.0
14,14,Direction of Country,Ipsos-McClatchy,"Right Direction 34, Wrong Track 60",-26,2010-05-17,2010.0,0.0
15,15,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",-33,2010-05-19,2010.0,7.0
16,16,Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 55",-14,2010-05-21,2010.0,0.0
17,17,Direction of Country,CBS News,"Right Direction 32, Wrong Track 61",-29,2010-05-25,2010.0,11.0
18,18,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",-39,2010-05-26,2010.0,7.0
19,19,Direction of Country,R2000/Daily Kos (D),"Right Direction 40, Wrong Track 56",-16,2010-05-28,2010.0,0.0
20,20,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",-35,2010-06-02,2010.0,7.0
21,21,Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 59",-26,2010-06-04,2010.0,8.0
22,22,Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 59",-20,2010-06-04,2010.0,0.0
23,23,Direction of Country,ABC News/Wash Post,"Right Direction 37, Wrong Track 60",-23,2010-06-08,2010.0,13.0
24,24,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",-39,2010-06-09,2010.0,7.0
25,25,Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 60",-23,2010-06-15,2010.0,9.0
26,26,Direction of Country,Ipsos/McClatchy,"Right Direction 33, Wrong Track 61",-28,2010-06-16,2010.0,10.0
27,27,Direction of Country,CBS News/NY Times,"Right Direction 32, Wrong Track 60",-28,2010-06-21,2010.0,11.0
28,28,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",-39,2010-06-22,2010.0,7.0
29,29,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 62",-33,2010-06-23,2010.0,11.0
30,30,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 66",-38,2010-07-01,2010.0,7.0
31,31,Direction of Country,Resurgent Republic (R),"Right Direction 27, Wrong Track 64",-37,2010-07-06,2010.0,0.0
32,32,Direction of Country,Democracy Corps (D),"Right Direction 32, Wrong Track 61",-29,2010-07-08,2010.0,8.0
33,33,Direction of Country,Bloomberg,"Right Direction 31, Wrong Track 63",-32,2010-07-14,2010.0,0.0
34,34,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",-33,2010-07-14,2010.0,7.0
35,35,Direction of Country,Time,"Right Direction 39, Wrong Track 56",-17,2010-07-15,2010.0,11.0
36,36,Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",-40,2010-07-21,2010.0,7.0
37,37,Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 60",-26,2010-07-27,2010.0,10.0
38,38,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",-39,2010-07-28,2010.0,7.0
39,39,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 66",-36,2010-08-04,2010.0,7.0
40,40,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 58",-26,2010-08-11,2010.0,11.0
41,41,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",-35,2010-08-11,2010.0,7.0
42,42,Direction of Country,Democracy Corps (D),"Right Direction 29, Wrong Track 64",-35,2010-08-12,2010.0,8.0
43,43,Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 60",-25,2010-08-18,2010.0,9.0
44,44,Direction of Country,Time,"Right Direction 34, Wrong Track 57",-23,2010-08-19,2010.0,11.0
45,45,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",-39,2010-08-19,2010.0,7.0
46,46,Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 62",-31,2010-08-25,2010.0,10.0
47,47,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",-37,2010-08-25,2010.0,7.0
48,48,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",-35,2010-08-30,2010.0,7.0
49,49,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 30, Wrong Track 61",-31,2010-09-07,2010.0,11.0
50,50,Direction of Country,National Journal/FD,"Right Direction 27, Wrong Track 62",-35,2010-09-07,2010.0,12.0
51,51,Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",-37,2010-09-08,2010.0,7.0
52,52,Direction of Country,Democracy Corps (D),"Right Direction 31, Wrong Track 62",-31,2010-09-08,2010.0,8.0
53,53,Direction of Country,Democracy Corps (D),"Right Direction 31, Wrong Track 60",-29,2010-09-15,2010.0,8.0
54,54,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",-35,2010-09-15,2010.0,7.0
55,55,Direction of Country,Associated Press/GfK,"Right Direction 40, Wrong Track 57",-17,2010-09-15,2010.0,9.0
56,56,Direction of Country,CBS News/NY Times,"Right Direction 33, Wrong Track 60",-27,2010-09-15,2010.0,11.0
57,57,Direction of Country,Politico/GWU/Battleground,"Right Direction 28, Wrong Track 63",-35,2010-09-16,2010.0,9.0
