,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
0,Generic Congressional Vote,PPP (D),"Republicans 47, Democrats 42",Republicans +5,2010-04-16,2010.0
1,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 43",Republicans +3,2010-04-19,2010.0
2,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",Republicans +10,2010-04-19,2010.0
3,Generic Congressional Vote,FOX News,"Republicans 42, Democrats 38",Republicans +4,2010-04-22,2010.0
4,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-04-26,2010.0
5,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",Tie,2010-04-26,2010.0
6,Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 43",Republicans +2,2010-04-27,2010.0
7,Generic Congressional Vote,ABC News/Wash Post,"Republicans 43, Democrats 48",Democrats +5,2010-04-28,2010.0
8,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",Republicans +7,2010-05-03,2010.0
9,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",Tie,2010-05-03,2010.0
10,Generic Congressional Vote,National Journal/FD,"Republicans 35, Democrats 39",Democrats +4,2010-05-06,2010.0
11,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-05-10,2010.0
12,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-05-10,2010.0
13,Generic Congressional Vote,FOX News,"Republicans 42, Democrats 40",Republicans +2,2010-05-12,2010.0
14,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",Republicans +5,2010-05-17,2010.0
15,Generic Congressional Vote,Ipsos-McClatchy,"Republicans 42, Democrats 45",Democrats +3,2010-05-17,2010.0
16,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 45",Republicans +1,2010-05-17,2010.0
17,Generic Congressional Vote,FOX News,"Republicans 41, Democrats 41",Tie,2010-05-21,2010.0
18,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 47",Democrats +1,2010-05-24,2010.0
19,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 36",Republicans +8,2010-05-24,2010.0
20,Generic Congressional Vote,Rasmussen,"Republicans 44, Democrats 36",Republicans +8,2010-05-24,2010.0
21,Generic Congressional Vote,Quinnipiac,"Republicans 36, Democrats 42",Democrats +6,2010-05-26,2010.0
22,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",Republicans +7,2010-06-01,2010.0
23,Generic Congressional Vote,Gallup,"Republicans 49, Democrats 43",Republicans +6,2010-06-01,2010.0
24,Generic Congressional Vote,Democracy Corps (D),"Republicans 46, Democrats 43",Republicans +3,2010-06-03,2010.0
25,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-06-07,2010.0
26,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 35",Republicans +9,2010-06-07,2010.0
27,Generic Congressional Vote,ABC News/Wash Post,"Republicans 44, Democrats 47",Democrats +3,2010-06-08,2010.0
28,Generic Congressional Vote,FOX News,"Republicans 38, Democrats 41",Democrats +3,2010-06-11,2010.0
29,Generic Congressional Vote,PPP (D),"Republicans 41, Democrats 43",Democrats +2,2010-06-11,2010.0
30,Generic Congressional Vote,Gallup,"Republicans 49, Democrats 44",Republicans +5,2010-06-15,2010.0
31,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",Republicans +10,2010-06-15,2010.0
32,Generic Congressional Vote,Ipsos/McClatchy,"Republicans 43, Democrats 42",Republicans +1,2010-06-16,2010.0
33,Generic Congressional Vote,USA Today/Gallup,"Republicans 43, Democrats 48",Democrats +5,2010-06-17,2010.0
34,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 36",Republicans +8,2010-06-21,2010.0
35,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-06-21,2010.0
36,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 46",Democrats +1,2010-06-28,2010.0
37,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-06-28,2010.0
