,Unnamed: 0,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,0,Generic Congressional Vote,PPP (D),"Republicans 47, Democrats 42",-5,2010-04-16,2010.0,9.0
1,1,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 43",-3,2010-04-19,2010.0,9.0
2,2,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",-10,2010-04-19,2010.0,7.0
3,3,Generic Congressional Vote,FOX News,"Republicans 42, Democrats 38",-4,2010-04-22,2010.0,12.0
4,4,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2010-04-26,2010.0,7.0
5,5,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",0,2010-04-26,2010.0,9.0
6,6,Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 43",-2,2010-04-27,2010.0,8.0
7,7,Generic Congressional Vote,ABC News/Wash Post,"Republicans 43, Democrats 48",5,2010-04-28,2010.0,13.0
8,8,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",-7,2010-05-03,2010.0,7.0
9,9,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",0,2010-05-03,2010.0,9.0
10,10,Generic Congressional Vote,National Journal/FD,"Republicans 35, Democrats 39",4,2010-05-06,2010.0,12.0
11,11,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",0,2010-05-10,2010.0,9.0
12,12,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2010-05-10,2010.0,7.0
13,13,Generic Congressional Vote,FOX News,"Republicans 42, Democrats 40",-2,2010-05-12,2010.0,12.0
14,14,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",-5,2010-05-17,2010.0,7.0
15,15,Generic Congressional Vote,Ipsos-McClatchy,"Republicans 42, Democrats 45",3,2010-05-17,2010.0,0.0
16,16,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 45",-1,2010-05-17,2010.0,9.0
17,17,Generic Congressional Vote,FOX News,"Republicans 41, Democrats 41",0,2010-05-21,2010.0,12.0
18,18,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 47",1,2010-05-24,2010.0,9.0
19,19,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 36",-8,2010-05-24,2010.0,7.0
20,20,Generic Congressional Vote,Rasmussen,"Republicans 44, Democrats 36",-8,2010-05-24,2010.0,7.0
21,21,Generic Congressional Vote,Quinnipiac,"Republicans 36, Democrats 42",6,2010-05-26,2010.0,11.0
22,22,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",-7,2010-06-01,2010.0,7.0
23,23,Generic Congressional Vote,Gallup,"Republicans 49, Democrats 43",-6,2010-06-01,2010.0,9.0
24,24,Generic Congressional Vote,Democracy Corps (D),"Republicans 46, Democrats 43",-3,2010-06-03,2010.0,8.0
25,25,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",0,2010-06-07,2010.0,9.0
26,26,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 35",-9,2010-06-07,2010.0,7.0
27,27,Generic Congressional Vote,ABC News/Wash Post,"Republicans 44, Democrats 47",3,2010-06-08,2010.0,13.0
28,28,Generic Congressional Vote,FOX News,"Republicans 38, Democrats 41",3,2010-06-11,2010.0,12.0
