,Unnamed: 0,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,0,President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 46",-2,2010-04-21,2010.0,11.0
1,1,President Obama Job Approval,FOX News,"Approve 46, Disapprove 46",0,2010-04-22,2010.0,12.0
2,2,President Obama Job Approval,Gallup,"Approve 50, Disapprove 43",7,2010-04-25,2010.0,9.0
3,3,President Obama Job Approval,Rasmussen Reports,"Approve 45, Disapprove 54",-9,2010-04-25,2010.0,7.0
4,4,President Obama Job Approval,Democracy Corps (D),"Approve 48, Disapprove 46",2,2010-04-27,2010.0,8.0
5,5,President Obama Job Approval,ABC News/Wash Post,"Approve 54, Disapprove 44",10,2010-04-28,2010.0,13.0
6,6,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 42",5,2010-04-28,2010.0,8.0
7,7,President Obama Job Approval,Resurgent Republic (R),"Approve 48, Disapprove 48",0,2010-04-30,2010.0,0.0
8,8,President Obama Job Approval,CBS News/NY Times,"Approve 51, Disapprove 39",12,2010-05-03,2010.0,11.0
9,9,President Obama Job Approval,Gallup,"Approve 47, Disapprove 47",0,2010-05-03,2010.0,9.0
10,10,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 51",-3,2010-05-03,2010.0,7.0
11,11,President Obama Job Approval,FOX News,"Approve 48, Disapprove 43",5,2010-05-06,2010.0,12.0
12,12,President Obama Job Approval,National Journal/FD,"Approve 48, Disapprove 46",2,2010-05-06,2010.0,12.0
13,13,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 42",5,2010-05-11,2010.0,8.0
14,14,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 50, Disapprove 44",6,2010-05-12,2010.0,11.0
15,15,President Obama Job Approval,Associated Press/GfK,"Approve 49, Disapprove 50",-1,2010-05-15,2010.0,9.0
16,16,President Obama Job Approval,Gallup,"Approve 51, Disapprove 42",9,2010-05-15,2010.0,9.0
17,17,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 52",-4,2010-05-15,2010.0,7.0
18,18,President Obama Job Approval,Ipsos/McClatchy,"Approve 52, Disapprove 43",9,2010-05-17,2010.0,10.0
19,19,President Obama Job Approval,FOX News,"Approve 45, Disapprove 46",-1,2010-05-21,2010.0,12.0
20,20,President Obama Job Approval,CBS News,"Approve 47, Disapprove 43",4,2010-05-25,2010.0,11.0
21,21,President Obama Job Approval,Rasmussen Reports,"Approve 43, Disapprove 56",-13,2010-05-25,2010.0,7.0
22,22,President Obama Job Approval,Gallup,"Approve 47, Disapprove 45",2,2010-05-25,2010.0,9.0
23,23,President Obama Job Approval,Quinnipiac,"Approve 48, Disapprove 43",5,2010-05-26,2010.0,11.0
24,24,President Obama Job Approval,USA Today/Gallup,"Approve 48, Disapprove 48",0,2010-05-26,2010.0,9.0
25,25,President Obama Job Approval,CNN/Opinion Research,"Approve 51, Disapprove 46",5,2010-05-26,2010.0,10.0
26,26,President Obama Job Approval,Democracy Corps (D),"Approve 47, Disapprove 47",0,2010-05-26,2010.0,8.0
27,27,President Obama Job Approval,NBC News,"Approve 48, Disapprove 45",3,2010-05-26,2010.0,11.0
28,28,President Obama Job Approval,Gallup,"Approve 47, Disapprove 44",3,2010-06-07,2010.0,9.0
29,29,President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 53",-7,2010-06-07,2010.0,7.0
30,30,President Obama Job Approval,ABC News/Wash Post,"Approve 52, Disapprove 45",7,2010-06-08,2010.0,13.0
31,31,President Obama Job Approval,FOX News,"Approve 46, Disapprove 45",1,2010-06-11,2010.0,12.0
32,32,President Obama Job Approval,Associated Press/GfK,"Approve 50, Disapprove 49",1,2010-06-15,2010.0,9.0
33,33,President Obama Job Approval,Ipsos/McClatchy,"Approve 50, Disapprove 45",5,2010-06-16,2010.0,10.0
34,34,President Obama Job Approval,CNN/OpinionResearch,"Approve 50, Disapprove 48",2,2010-06-17,2010.0,10.0
35,35,President Obama Job Approval,CBS News/NY Times,"Approve 47, Disapprove 43",4,2010-06-21,2010.0,11.0
36,36,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 45, Disapprove 48",-3,2010-06-23,2010.0,11.0
37,37,President Obama Job Approval,Gallup,"Approve 45, Disapprove 46",-1,2010-06-23,2010.0,9.0
38,38,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 51",-3,2010-06-23,2010.0,7.0
39,39,President Obama Job Approval,Pew Research,"Approve 48, Disapprove 43",5,2010-06-24,2010.0,8.0
40,40,President Obama Job Approval,Newsweek,"Approve 48, Disapprove 46",2,2010-06-25,2010.0,0.0
41,41,President Obama Job Approval,Marist,"Approve 44, Disapprove 45",-1,2010-06-30,2010.0,12.0
42,42,President Obama Job Approval,FOX News,"Approve 47, Disapprove 45",2,2010-07-01,2010.0,12.0
43,43,President Obama Job Approval,Resurgent Republic (R),"Approve 49, Disapprove 48",1,2010-07-06,2010.0,0.0
44,44,President Obama Job Approval,Democracy Corps (D),"Approve 46, Disapprove 50",-4,2010-07-08,2010.0,8.0
45,45,President Obama Job Approval,CBS News,"Approve 44, Disapprove 44",0,2010-07-13,2010.0,11.0
46,46,President Obama Job Approval,ABC News/Wash Post,"Approve 50, Disapprove 47",3,2010-07-13,2010.0,13.0
47,47,President Obama Job Approval,Bloomberg,"Approve 52, Disapprove 44",8,2010-07-14,2010.0,0.0
48,48,President Obama Job Approval,Gallup,"Approve 46, Disapprove 47",-1,2010-07-15,2010.0,9.0
49,49,President Obama Job Approval,Rasmussen Reports,"Approve 46, Disapprove 53",-7,2010-07-15,2010.0,7.0
50,50,President Obama Job Approval,Time,"Approve 49, Disapprove 45",4,2010-07-15,2010.0,11.0
51,51,President Obama Job Approval,FOX News,"Approve 43, Disapprove 48",-5,2010-07-15,2010.0,12.0
52,52,President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 48",-4,2010-07-21,2010.0,11.0
53,53,President Obama Job Approval,CNN/Opinion Research,"Approve 47, Disapprove 50",-3,2010-07-22,2010.0,10.0
