,date,party,name,chamber,state,district
0,2016-11-08,r,bradley byrne,house,AL,1
1,2016-11-08,r,martha roby,house,AL,2
2,2016-11-08,r,mike rogers,house,AL,3
3,2016-11-08,r,robert aderholt,house,AL,4
4,2016-11-08,r,mo brooks,house,AL,5
5,2016-11-08,r,gary palmer,house,AL,6
6,2016-11-08,d,terri sewell,house,AL,7
7,2016-11-08,r,don young,house,AK,0
8,2016-11-08,d,tom ohalleran,house,AZ,1
9,2016-11-08,r,martha mcsally,house,AZ,2
10,2016-11-08,d,raul grijalva,house,AZ,3
11,2016-11-08,r,paul gosar,house,AZ,4
12,2016-11-08,r,andy biggs,house,AZ,5
13,2016-11-08,r,david schweikert,house,AZ,6
14,2016-11-08,d,ruben gallego,house,AZ,7
15,2016-11-08,r,trent franks,house,AZ,8
16,2018-04-24,r,debbie lesko,house,AZ,8
17,2016-11-08,d,kyrsten sinema,house,AZ,9
18,2016-11-08,r,rick crawford,house,AR,1
19,2016-11-08,r,french hill,house,AR,2
20,2016-11-08,r,steve womack,house,AR,3
21,2016-11-08,r,bruce westerman,house,AR,4
22,2016-11-08,r,doug lamalfa,house,CA,1
23,2016-11-08,d,jared huffman,house,CA,2
24,2016-11-08,d,john garamendi,house,CA,3
25,2016-11-08,r,tom mcclintock,house,CA,4
26,2016-11-08,d,mike thompson,house,CA,5
27,2016-11-08,d,doris matsui,house,CA,6
28,2016-11-08,d,ami bera,house,CA,7
29,2016-11-08,r,paul cook,house,CA,8
30,2016-11-08,d,jerry mcnerney,house,CA,9
31,2016-11-08,r,jeff denham,house,CA,10
32,2016-11-08,d,mark desaulnier,house,CA,11
33,2016-11-08,d,nancy pelosi,house,CA,12
34,2016-11-08,d,barbara lee,house,CA,13
35,2016-11-08,d,jackie speier,house,CA,14
36,2016-11-08,d,eric swalwell,house,CA,15
37,2016-11-08,d,jim costa,house,CA,16
38,2016-11-08,d,ro khanna,house,CA,17
39,2016-11-08,d,anna eshoo,house,CA,18
40,2016-11-08,d,zoe lofgren,house,CA,19
41,2016-11-08,d,jimmy panetta,house,CA,20
42,2016-11-08,r,david valadao,house,CA,21
43,2016-11-08,r,devin nunes,house,CA,22
44,2016-11-08,r,kevin mccarthy,house,CA,23
45,2016-11-08,d,salud carbajal,house,CA,24
46,2016-11-08,r,steve knight,house,CA,25
47,2016-11-08,d,julia brownley,house,CA,26
48,2016-11-08,d,judy chu,house,CA,27
49,2016-11-08,d,adam schiff,house,CA,28
50,2016-11-08,d,tony cardenas,house,CA,29
51,2016-11-08,d,brad sherman,house,CA,30
52,2016-11-08,d,pete aguilar,house,CA,31
53,2016-11-08,d,grace napolitano,house,CA,32
54,2016-11-08,d,ted lieu,house,CA,33
55,2016-11-08,d,xavier becerra,house,CA,34
56,2017-06-06,d,jimmy gomez,house,CA,34
57,2016-11-08,d,norma torres,house,CA,35
58,2016-11-08,d,raul ruiz,house,CA,36
59,2016-11-08,d,karen bass,house,CA,37
60,2016-11-08,d,linda sanchez,house,CA,38
