,Date,Party,Name,Chamber,State
0,2017-02-09,r,luther strange,senate,AL
1,2018-01-03,d,doug jones,senate,AL
2,2016-11-08,r,richard shelby,senate,AL
3,2016-11-08,r,lisa murkowski,senate,AK
4,2016-11-08,r,john mccain,senate,AZ
5,2018-09-04,r,jon kyl,senate,AZ
6,2016-11-08,r,john boozman,senate,AR
7,2016-11-08,d,kamala harris,senate,CA
8,2016-11-08,d,michael bennet,senate,CO
9,2016-11-08,d,richard blumenthal,senate,CT
10,2016-11-08,r,marco rubio,senate,FL
11,2016-11-08,r,johnny isakson,senate,GA
12,2016-11-08,d,brian schatz,senate,HI
13,2016-11-08,r,mike crapo,senate,ID
14,2016-11-08,d,tammy duckworth,senate,IL
15,2016-11-08,r,todd young,senate,IN
16,2016-11-08,r,chuck grassley,senate,IA
17,2016-11-08,r,jerry moran,senate,KS
18,2016-11-08,r,rand paul,senate,KY
19,2016-11-08,r,john kennedy,senate,LA
20,2016-11-08,d,chris van hollen,senate,MD
21,2018-01-03,d,tina smith,senate,MN
22,2018-04-02,r,cindy hyde-smith,senate,MS
23,2016-11-08,r,roy blunt,senate,MO
24,2016-11-08,d,catherine cortez masto,senate,NV
25,2016-11-08,d,maggie hassan,senate,NH
26,2016-11-08,d,chuck schumer,senate,NY
27,2016-11-08,r,richard burr,senate,NC
28,2016-11-08,r,john hoeven,senate,ND
29,2016-11-08,r,rob portman,senate,OH
30,2016-11-08,r,james lankford,senate,OK
31,2016-11-08,d,ron wyden,senate,OR
32,2016-11-08,r,pat toomey,senate,PA
33,2016-11-08,r,tim scott,senate,SC
34,2016-11-08,r,john thune,senate,SD
35,2016-11-08,r,mike lee,senate,UT
36,2016-11-08,d,patrick leahy,senate,VT
37,2016-11-08,d,patty murray,senate,WA
38,2016-11-08,r,ron johnson,senate,WI
39,2016-11-08,r,bradley byrne,house,AL
40,2016-11-08,r,martha roby,house,AL
41,2016-11-08,r,mike rogers,house,AL
42,2016-11-08,r,robert aderholt,house,AL
43,2016-11-08,r,mo brooks,house,AL
44,2016-11-08,r,gary palmer,house,AL
45,2016-11-08,d,terri sewell,house,AL
46,2016-11-08,r,don young,house,AK
47,2016-11-08,d,tom o'halleran,house,AZ
48,2016-11-08,r,martha mcsally,house,AZ
49,2016-11-08,d,raul grijalva,house,AZ
50,2016-11-08,r,paul gosar,house,AZ
51,2016-11-08,r,andy biggs,house,AZ
52,2016-11-08,r,david schweikert,house,AZ
53,2016-11-08,d,ruben gallego,house,AZ
54,2016-11-08,r,trent franks,house,AZ
55,2018-04-24,r,debbie lesko,house,AZ
56,2016-11-08,d,kyrsten sinema,house,AZ
57,2016-11-08,r,rick crawford,house,AR
58,2016-11-08,r,french hill,house,AR
59,2016-11-08,r,steve womack,house,AR
60,2016-11-08,r,bruce westerman,house,AR
61,2016-11-08,r,doug lamalfa,house,CA
62,2016-11-08,d,jared huffman,house,CA
63,2016-11-08,d,john garamendi,house,CA
64,2016-11-08,r,tom mcclintock,house,CA
65,2016-11-08,d,mike thompson,house,CA
66,2016-11-08,d,doris matsui,house,CA
67,2016-11-08,d,ami bera,house,CA
68,2016-11-08,r,paul cook,house,CA
69,2016-11-08,d,jerry mcnerney,house,CA
70,2016-11-08,r,jeff denham,house,CA
71,2016-11-08,d,mark desaulnier,house,CA
72,2016-11-08,d,nancy pelosi,house,CA
73,2016-11-08,d,barbara lee,house,CA
74,2016-11-08,d,jackie speier,house,CA
75,2016-11-08,d,eric swalwell,house,CA
76,2016-11-08,d,jim costa,house,CA
77,2016-11-08,d,ro khanna,house,CA
78,2016-11-08,d,anna eshoo,house,CA
79,2016-11-08,d,zoe lofgren,house,CA
80,2016-11-08,d,jimmy panetta,house,CA
81,2016-11-08,r,david valadao,house,CA
82,2016-11-08,r,devin nunes,house,CA
83,2016-11-08,r,kevin mccarthy,house,CA
84,2016-11-08,d,salud carbajal,house,CA
85,2016-11-08,r,steve knight,house,CA
86,2016-11-08,d,julia brownley,house,CA
87,2016-11-08,d,judy chu,house,CA
88,2016-11-08,d,adam schiff,house,CA
89,2016-11-08,d,tony cardenas,house,CA
90,2016-11-08,d,brad sherman,house,CA
91,2016-11-08,d,pete aguilar,house,CA
92,2016-11-08,d,grace napolitano,house,CA
93,2016-11-08,d,ted lieu,house,CA
94,2016-11-08,d,xavier becerra,house,CA
95,2017-06-06,d,jimmy gomez,house,CA
96,2016-11-08,d,norma torres,house,CA
97,2016-11-08,d,raul ruiz,house,CA
98,2016-11-08,d,karen bass,house,CA
99,2016-11-08,d,linda sanchez,house,CA
100,2016-11-08,r,ed royce,house,CA
101,2016-11-08,d,lucille roybal-allard,house,CA
102,2016-11-08,d,mark takano,house,CA
103,2016-11-08,r,ken calvert,house,CA
104,2016-11-08,d,maxine waters,house,CA
105,2016-11-08,d,nanette barragan,house,CA
106,2016-11-08,r,mimi walters,house,CA
107,2016-11-08,d,lou correa,house,CA
108,2016-11-08,d,alan lowenthal,house,CA
109,2016-11-08,r,dana rohrabacher,house,CA
110,2016-11-08,r,darrell issa,house,CA
111,2016-11-08,r,duncan d. hunter,house,CA
112,2016-11-08,d,juan vargas,house,CA
113,2016-11-08,d,scott peters,house,CA
114,2016-11-08,d,susan davis,house,CA
115,2016-11-08,d,diana degette,house,CO
116,2016-11-08,d,jared polis,house,CO
117,2016-11-08,r,scott tipton,house,CO
118,2016-11-08,r,ken buck,house,CO
119,2016-11-08,r,doug lamborn,house,CO
120,2016-11-08,r,mike coffman,house,CO
121,2016-11-08,d,ed perlmutter,house,CO
122,2016-11-08,d,john b. larson,house,CT
123,2016-11-08,d,joe courtney,house,CT
124,2016-11-08,d,rosa delauro,house,CT
125,2016-11-08,d,jim himes,house,CT
126,2016-11-08,d,elizabeth esty,house,CT
127,2016-11-08,d,lisa blunt rochester,house,DE
128,2016-11-08,r,matt gaetz,house,FL
129,2016-11-08,r,neal dunn,house,FL
130,2016-11-08,r,ted yoho,house,FL
131,2016-11-08,r,john rutherford,house,FL
132,2016-11-08,d,al lawson,house,FL
133,2016-11-08,r,ron desantis,house,FL
134,2016-11-08,d,stephanie murphy,house,FL
135,2016-11-08,r,bill posey,house,FL
136,2016-11-08,d,darren soto,house,FL
137,2016-11-08,d,val demings,house,FL
138,2016-11-08,r,daniel webster,house,FL
139,2016-11-08,r,gus bilirakis,house,FL
140,2016-11-08,d,charlie crist,house,FL
141,2016-11-08,d,kathy castor,house,FL
142,2016-11-08,r,dennis a. ross,house,FL
143,2016-11-08,r,vern buchanan,house,FL
144,2016-11-08,r,tom rooney,house,FL
145,2016-11-08,r,brian mast,house,FL
146,2016-11-08,r,francis rooney,house,FL
147,2016-11-08,d,alcee hastings,house,FL
148,2016-11-08,d,lois frankel,house,FL
149,2016-11-08,d,ted deutch,house,FL
150,2016-11-08,d,debbie wasserman schultz,house,FL
151,2016-11-08,d,frederica wilson,house,FL
152,2016-11-08,r,mario diaz-balart,house,FL
153,2016-11-08,r,carlos curbelo,house,FL
154,2016-11-08,r,ileana ros-lehtinen,house,FL
155,2016-11-08,r,buddy carter,house,GA
156,2016-11-08,d,sanford bishop,house,GA
157,2016-11-08,r,drew ferguson,house,GA
158,2016-11-08,d,hank johnson,house,GA
159,2016-11-08,d,john lewis,house,GA
160,2016-11-08,r,tom price,house,GA
161,2017-06-20,r,karen handel,house,GA
162,2016-11-08,r,rob woodall,house,GA
163,2016-11-08,r,austin scott,house,GA
164,2016-11-08,r,doug collins,house,GA
165,2016-11-08,r,jody hice,house,GA
166,2016-11-08,r,barry loudermilk,house,GA
167,2016-11-08,r,rick w. allen,house,GA
168,2016-11-08,d,david scott,house,GA
169,2016-11-08,r,tom graves,house,GA
170,2016-11-08,d,colleen hanabusa,house,HI
171,2016-11-08,d,tulsi gabbard,house,HI
172,2016-11-08,r,raul labrador,house,ID
173,2016-11-08,r,mike simpson,house,ID
174,2016-11-08,d,bobby rush,house,IL
175,2016-11-08,d,robin kelly,house,IL
176,2016-11-08,d,dan lipinski,house,IL
177,2016-11-08,d,luis gutierrez,house,IL
178,2016-11-08,d,mike quigley,house,IL
179,2016-11-08,r,peter roskam,house,IL
180,2016-11-08,d,danny k. davis,house,IL
