Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Florida Senate - Rubio vs. Meek vs. Crist,Quinnipiac,"Crist 32, Rubio 30, Meek 24",Crist +2,2010-04-15,2010
Arkansas Senate - Boozman vs. Lincoln,R2000/Daily Kos (D),"Boozman 50, Lincoln 43",Boozman +7,2010-04-15,2010
Arkansas Senate - Boozman vs. Halter,R2000/Daily Kos (D),"Boozman 48, Halter 41",Boozman +7,2010-04-15,2010
Florida Senate - Rubio vs. Meek,Quinnipiac,"Rubio 42, Meek 38",Rubio +4,2010-04-15,2010
Florida Senate - Republican Primary,Quinnipiac,"Rubio 56, Crist 33",Rubio +23,2010-04-15,2010
Arkansas Senate - Democratic Primary,R2000/Daily Kos (D),"Lincoln 45, Halter 33",Lincoln +12,2010-04-15,2010
Florida Senate - Crist vs. Meek,Quinnipiac,"Crist 48, Meek 34",Crist +14,2010-04-15,2010
Generic Congressional Vote,PPP (D),"Republicans 47, Democrats 42",Republicans +5,2010-04-16,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 38, Wrong Track 58",Wrong Track +20,2010-04-16,2010
Arizona Senate - Republican Primary,Rasmussen Reports,"McCain 47, Hayworth 42",McCain +5,2010-04-16,2010
Nevada Senate - Lowden vs. Reid,LVRJ/Mason-Dixon,"Lowden 47, Reid 37",Lowden +10,2010-04-16,2010
Colorado Governor - McInnis vs. Hickenlooper,Rasmussen Reports,"Hickenlooper 42, McInnis 48",McInnis +6,2010-04-16,2010
Arizona Governor - Republican Primary,Rasmussen Reports,"Brewer 26, Mills 18, Martin 12, Munger 14",Brewer +8,2010-04-17,2010
New York Senate - DioGuardi vs. Gillibrand,Siena,"Gillibrand 46, DioGuardi 27",Gillibrand +19,2010-04-18,2010
New York Governor - Republican Primary,Siena,"Lazio 29, Levy 15, Paladino 13",Lazio +14,2010-04-18,2010
New York Governor - Levy vs. Cuomo,Siena,"Cuomo 58, Levy 23",Cuomo +35,2010-04-18,2010
New York Governor - Lazio vs. Cuomo,Siena,"Cuomo 61, Lazio 24",Cuomo +37,2010-04-18,2010
Obama and Democrats' Health Care Plan,Rasmussen Reports*,"For/Favor 41, Against/Oppose 56",Against/Oppose +15,2010-04-19,2010
Texas Governor - Perry vs. White,Rasmussen Reports,"Perry 48, White 44",Perry +4,2010-04-19,2010
Indiana Senate - Coats vs. Ellsworth,Rasmussen Reports,"Coats 54, Ellsworth 33",Coats +21,2010-04-19,2010
Indiana Senate - Hostettler vs. Ellsworth,Rasmussen Reports,"Hostettler 50, Ellsworth 33",Hostettler +17,2010-04-19,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 43",Republicans +3,2010-04-19,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",Republicans +10,2010-04-19,2010
Massachusetts Governor - Baker vs. Patrick vs. Cahill,Western NE College,"Patrick 34, Baker 27, Cahill 29",Patrick +5,2010-04-19,2010
Florida Governor - McCollum vs. Sink,Quinnipiac,"McCollum 40, Sink 36",McCollum +4,2010-04-19,2010
Pennsylvania Governor - Corbett vs. Wagner,Rasmussen Reports,"Corbett 48, Wagner 27",Corbett +21,2010-04-20,2010
Pennsylvania Governor - Corbett vs. Hoeffel,Rasmussen Reports,"Corbett 49, Hoeffel 29",Corbett +20,2010-04-20,2010
Pennsylvania Governor - Corbett vs. Onorato,Rasmussen Reports,"Corbett 45, Onorato 36",Corbett +9,2010-04-20,2010
Florida Governor - McCollum vs. Sink,Rasmussen Reports,"McCollum 45, Sink 38",McCollum +7,2010-04-20,2010
Pennsylvania 12th District Special Election - Burns vs. Critz,PPP (D),"Burns 44, Critz 41",Burns +3,2010-04-20,2010
New Hampshire Senate - Ayotte vs. Hodes,PPP (D),"Ayotte 47, Hodes 40",Ayotte +7,2010-04-20,2010
North Carolina Senate - Burr vs. Marshall,Rasmussen Reports,"Burr 50, Marshall 32",Burr +18,2010-04-21,2010
California Governor - Whitman vs. Brown,Rasmussen Reports,"Whitman 38, Brown 44",Brown +6,2010-04-21,2010
North Carolina Senate - Burr vs. Cunningham,Rasmussen Reports,"Burr 53, Cunningham 31",Burr +22,2010-04-21,2010
New Hampshire Senate - Republican Primary,PPP (D),"Ayotte 43, Binnie 19, Bender 11, Lamontagne 5",Ayotte +24,2010-04-21,2010
Arizona Governor - Brewer vs. Goddard,Rasmussen Reports,"Goddard 40, Brewer 44",Brewer +4,2010-04-21,2010
Congressional Job Approval,Quinnipiac,"Approve 20, Disapprove 71",Disapprove +51,2010-04-21,2010
President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 46",Disapprove +2,2010-04-21,2010
Obama and Democrats' Health Care Plan,Quinnipiac,"For/Favor 39, Against/Oppose 53",Against/Oppose +14,2010-04-21,2010
New Hampshire Governor - Republican Primary,PPP (D),"Stephen 29, Testerman 15, Kimball 10",Stephen +14,2010-04-21,2010
Florida Senate - Rubio vs. Meek vs. Crist,Rasmussen Reports,"Crist 30, Rubio 37, Meek 22",Rubio +7,2010-04-22,2010
Generic Congressional Vote,FOX News,"Republicans 42, Democrats 38",Republicans +4,2010-04-22,2010
Congressional Job Approval,FOX News,"Approve 22, Disapprove 68",Disapprove +46,2010-04-22,2010
President Obama Job Approval,FOX News,"Approve 46, Disapprove 46",Tie,2010-04-22,2010
Wisconsin Senate - Feingold vs. Wall,Rasmussen Reports,"Feingold 49, Wall 43",Feingold +6,2010-04-22,2010
Wisconsin Senate - Feingold vs. Westlake,Rasmussen Reports,"Feingold 49, Westlake 38",Feingold +11,2010-04-22,2010
California Senate - Republican Primary,SurveyUSA,"Campbell 34, Fiorina 27, DeVore 14",Campbell +7,2010-04-22,2010
New Hampshire 1st District - Guinta vs. Shea-Porter,PPP (D),"Guinta 46, Shea-Porter 45",Guinta +1,2010-04-22,2010
New Hampshire 2nd District - Bass vs. Swett,PPP (D),"Bass 47, Swett 32",Bass +15,2010-04-22,2010
California Governor - Republican Primary,Capitol Weekly/Probolsky (R),"Whitman 47, Poizner 19",Whitman +28,2010-04-22,2010
California Senate - Republican Primary,Capitol Weekly/Probolsky (R),"Campbell 31, Fiorina 17, DeVore 14",Campbell +14,2010-04-22,2010
California Governor - Republican Primary,SurveyUSA,"Whitman 49, Poizner 27",Whitman +22,2010-04-22,2010
Wisconsin Governor - Walker vs. Barrett,Rasmussen Reports,"Walker 46, Barrett 44",Walker +2,2010-04-23,2010
Georgia Senate - Isakson vs. Thurmond,Rasmussen Reports,"Isakson 51, Thurmond 35",Isakson +16,2010-04-23,2010
Wisconsin Governor - Neumann vs. Barrett,Rasmussen Reports,"Neumann 46, Barrett 46",Tie,2010-04-23,2010
New Hampshire Governor - Kimball vs. Lynch,PPP (D),"Lynch 47, Kimball 35",Lynch +12,2010-04-23,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 57",Wrong Track +18,2010-04-23,2010
New Hampshire Governor - Stephen vs. Lynch,PPP (D),"Lynch 47, Stephen 36",Lynch +11,2010-04-23,2010
Maryland Governor - Ehrlich vs. O'Malley,Rasmussen Reports,"O'Malley 47, Ehrlich 44",O'Malley +3,2010-04-23,2010
Washington Senate - Widener vs. Murray,SurveyUSA,"Murray 45, Widener 43",Murray +2,2010-04-24,2010
Washington Senate - Didier vs. Murray,SurveyUSA,"Murray 46, Didier 44",Murray +2,2010-04-24,2010
Washington Senate - Benton vs. Murray,SurveyUSA,"Murray 46, Benton 44",Murray +2,2010-04-24,2010
Washington Senate - Rossi vs. Murray,SurveyUSA,"Murray 42, Rossi 52",Rossi +10,2010-04-24,2010
President Obama Job Approval,Gallup,"Approve 50, Disapprove 43",Approve +7,2010-04-25,2010
President Obama Job Approval,Rasmussen Reports,"Approve 45, Disapprove 54",Disapprove +9,2010-04-25,2010
North Dakota At-Large,Rasmussen Reports,"Berg 49, Pomeroy 45",Berg +4,2010-04-26,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-04-26,2010
Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",Tie,2010-04-26,2010
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 62",Wrong Track +29,2010-04-26,2010
Obama and Democrats' Health Care Plan,Rasmussen Reports*,"For/Favor 38, Against/Oppose 58",Against/Oppose +20,2010-04-26,2010
Rhode Island Governor - Chafee vs. Lynch vs. Robitaille,Rasmussen Reports,"Chafee 35, Lynch 24, Robitaille 26",Chafee +9,2010-04-27,2010
