Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Direction of Country,R2000/Daily Kos (D),"Right Direction 38, Wrong Track 58",Wrong Track +20,2010-04-16,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 57",Wrong Track +18,2010-04-23,2010
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 62",Wrong Track +29,2010-04-26,2010
Direction of Country,Democracy Corps (D),"Right Direction 34, Wrong Track 57",Wrong Track +23,2010-04-27,2010
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-04-27,2010
Direction of Country,Resurgent Republic (R),"Right Direction 33, Wrong Track 59",Wrong Track +26,2010-04-30,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 56",Wrong Track +15,2010-04-30,2010
Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-05-05,2010
Direction of Country,National Journal/FD,"Right Direction 34, Wrong Track 54",Wrong Track +20,2010-05-06,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 42, Wrong Track 55",Wrong Track +13,2010-05-07,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 34, Wrong Track 56",Wrong Track +22,2010-05-12,2010
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",Wrong Track +34,2010-05-12,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 43, Wrong Track 54",Wrong Track +11,2010-05-14,2010
Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 59",Wrong Track +24,2010-05-15,2010
Direction of Country,Ipsos-McClatchy,"Right Direction 34, Wrong Track 60",Wrong Track +26,2010-05-17,2010
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-05-19,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 55",Wrong Track +14,2010-05-21,2010
Direction of Country,CBS News,"Right Direction 32, Wrong Track 61",Wrong Track +29,2010-05-25,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-05-26,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 40, Wrong Track 56",Wrong Track +16,2010-05-28,2010
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",Wrong Track +35,2010-06-02,2010
Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 59",Wrong Track +20,2010-06-04,2010
Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 59",Wrong Track +26,2010-06-04,2010
Direction of Country,ABC News/Wash Post,"Right Direction 37, Wrong Track 60",Wrong Track +23,2010-06-08,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-06-09,2010
Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 60",Wrong Track +23,2010-06-15,2010
Direction of Country,Ipsos/McClatchy,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-06-16,2010
Direction of Country,CBS News/NY Times,"Right Direction 32, Wrong Track 60",Wrong Track +28,2010-06-21,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-06-22,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 62",Wrong Track +33,2010-06-23,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 66",Wrong Track +38,2010-07-01,2010
Direction of Country,Resurgent Republic (R),"Right Direction 27, Wrong Track 64",Wrong Track +37,2010-07-06,2010
Direction of Country,Democracy Corps (D),"Right Direction 32, Wrong Track 61",Wrong Track +29,2010-07-08,2010
Direction of Country,Bloomberg,"Right Direction 31, Wrong Track 63",Wrong Track +32,2010-07-14,2010
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-07-14,2010
Direction of Country,Time,"Right Direction 39, Wrong Track 56",Wrong Track +17,2010-07-15,2010
Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",Wrong Track +40,2010-07-21,2010
Direction of Country,Reuters/Ipsos,"Right Direction 34, Wrong Track 60",Wrong Track +26,2010-07-27,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-07-28,2010
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 66",Wrong Track +36,2010-08-04,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 58",Wrong Track +26,2010-08-11,2010
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",Wrong Track +35,2010-08-11,2010
Direction of Country,Democracy Corps (D),"Right Direction 29, Wrong Track 64",Wrong Track +35,2010-08-12,2010
Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 60",Wrong Track +25,2010-08-18,2010
Direction of Country,Time,"Right Direction 34, Wrong Track 57",Wrong Track +23,2010-08-19,2010
Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",Wrong Track +39,2010-08-19,2010
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 62",Wrong Track +31,2010-08-25,2010
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2010-08-25,2010
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 64",Wrong Track +35,2010-08-30,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 30, Wrong Track 61",Wrong Track +31,2010-09-07,2010
Direction of Country,National Journal/FD,"Right Direction 27, Wrong Track 62",Wrong Track +35,2010-09-07,2010
Direction of Country,Democracy Corps (D),"Right Direction 31, Wrong Track 62",Wrong Track +31,2010-09-08,2010
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2010-09-08,2010
Direction of Country,Democracy Corps (D),"Right Direction 31, Wrong Track 60",Wrong Track +29,2010-09-15,2010
Direction of Country,Associated Press/GfK,"Right Direction 40, Wrong Track 57",Wrong Track +17,2010-09-15,2010
Direction of Country,CBS News/NY Times,"Right Direction 33, Wrong Track 60",Wrong Track +27,2010-09-15,2010
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",Wrong Track +35,2010-09-15,2010
Direction of Country,Politico/GWU/Battleground,"Right Direction 28, Wrong Track 63",Wrong Track +35,2010-09-16,2010
Direction of Country,Reuters/Ipsos,"Right Direction 33, Wrong Track 61",Wrong Track +28,2010-09-21,2010
Direction of Country,Rasmussen Reports,"Right Direction 29, Wrong Track 66",Wrong Track +37,2010-09-22,2010
Direction of Country,McClatchy/Marist,"Right Direction 41, Wrong Track 56",Wrong Track +15,2010-09-22,2010
Direction of Country,Politico/GWU/Battleground,"Right Direction 31, Wrong Track 63",Wrong Track +32,2010-09-27,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 59",Wrong Track +27,2010-09-28,2010
Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 63",Wrong Track +32,2010-09-29,2010
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 61",Wrong Track +29,2010-10-06,2010
Direction of Country,Democracy Corps (D),"Right Direction 29, Wrong Track 63",Wrong Track +34,2010-10-06,2010
Direction of Country,Bloomberg,"Right Direction 31, Wrong Track 64",Wrong Track +33,2010-10-12,2010
Direction of Country,Reuters/Ipsos,"Right Direction 31, Wrong Track 63",Wrong Track +32,2010-10-13,2010
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 64",Wrong Track +32,2010-10-13,2010
Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 32, Wrong Track 59",Wrong Track +27,2010-10-19,2010
Direction of Country,Associated Press/GfK,"Right Direction 38, Wrong Track 59",Wrong Track +21,2010-10-20,2010
Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",Wrong Track +34,2010-10-20,2010
Direction of Country,Politico/GWU/Battleground,"Right Direction 29, Wrong Track 64",Wrong Track +35,2010-10-25,2010
Direction of Country,CBS News/NY Times,"Right Direction 34, Wrong Track 61",Wrong Track +27,2010-10-27,2010
Direction of Country,Rasmussen Reports,"Right Direction 32, Wrong Track 64",Wrong Track +32,2010-10-27,2010
