Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Generic Congressional Vote,PPP (D),"Republicans 47, Democrats 42",Republicans +5,2010-04-16,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 43",Republicans +3,2010-04-19,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",Republicans +10,2010-04-19,2010
Generic Congressional Vote,FOX News,"Republicans 42, Democrats 38",Republicans +4,2010-04-22,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-04-26,2010
Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",Tie,2010-04-26,2010
Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 43",Republicans +2,2010-04-27,2010
Generic Congressional Vote,ABC News/Wash Post,"Republicans 43, Democrats 48",Democrats +5,2010-04-28,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",Republicans +7,2010-05-03,2010
Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",Tie,2010-05-03,2010
Generic Congressional Vote,National Journal/FD,"Republicans 35, Democrats 39",Democrats +4,2010-05-06,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-05-10,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-05-10,2010
Generic Congressional Vote,FOX News,"Republicans 42, Democrats 40",Republicans +2,2010-05-12,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 45",Republicans +1,2010-05-17,2010
Generic Congressional Vote,Ipsos-McClatchy,"Republicans 42, Democrats 45",Democrats +3,2010-05-17,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",Republicans +5,2010-05-17,2010
Generic Congressional Vote,FOX News,"Republicans 41, Democrats 41",Tie,2010-05-21,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 36",Republicans +8,2010-05-24,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 47",Democrats +1,2010-05-24,2010
Generic Congressional Vote,Rasmussen,"Republicans 44, Democrats 36",Republicans +8,2010-05-24,2010
Generic Congressional Vote,Quinnipiac,"Republicans 36, Democrats 42",Democrats +6,2010-05-26,2010
Generic Congressional Vote,Gallup,"Republicans 49, Democrats 43",Republicans +6,2010-06-01,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",Republicans +7,2010-06-01,2010
Generic Congressional Vote,Democracy Corps (D),"Republicans 46, Democrats 43",Republicans +3,2010-06-03,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-06-07,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 35",Republicans +9,2010-06-07,2010
Generic Congressional Vote,ABC News/Wash Post,"Republicans 44, Democrats 47",Democrats +3,2010-06-08,2010
Generic Congressional Vote,FOX News,"Republicans 38, Democrats 41",Democrats +3,2010-06-11,2010
Generic Congressional Vote,PPP (D),"Republicans 41, Democrats 43",Democrats +2,2010-06-11,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",Republicans +10,2010-06-15,2010
Generic Congressional Vote,Gallup,"Republicans 49, Democrats 44",Republicans +5,2010-06-15,2010
Generic Congressional Vote,Ipsos/McClatchy,"Republicans 43, Democrats 42",Republicans +1,2010-06-16,2010
Generic Congressional Vote,USA Today/Gallup,"Republicans 43, Democrats 48",Democrats +5,2010-06-17,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",Tie,2010-06-21,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 36",Republicans +8,2010-06-21,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-06-28,2010
Generic Congressional Vote,Gallup,"Republicans 45, Democrats 46",Democrats +1,2010-06-28,2010
Generic Congressional Vote,Pew Research,"Republicans 45, Democrats 45",Tie,2010-07-01,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 44",Republicans +2,2010-07-06,2010
Generic Congressional Vote,FOX News,"Republicans 42, Democrats 40",Republicans +2,2010-07-07,2010
Generic Congressional Vote,Democracy Corps (D),"Republicans 48, Democrats 42",Republicans +6,2010-07-08,2010
Generic Congressional Vote,Gallup,"Republicans 46, Democrats 47",Democrats +1,2010-07-12,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",Republicans +6,2010-07-12,2010
Generic Congressional Vote,ABC News/Wash Post,"Republicans 49, Democrats 45",Republicans +4,2010-07-13,2010
Generic Congressional Vote,Bloomberg,"Republicans 48, Democrats 40",Republicans +8,2010-07-14,2010
Generic Congressional Vote,Time,"Republicans 42, Democrats 43",Democrats +1,2010-07-15,2010
Generic Congressional Vote,FOX News,"Republicans 41, Democrats 37",Republicans +4,2010-07-16,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 36",Republicans +9,2010-07-19,2010
Generic Congressional Vote,Gallup,"Republicans 43, Democrats 49",Democrats +6,2010-07-19,2010
Generic Congressional Vote,PPP (D),"Republicans 43, Democrats 43",Tie,2010-07-19,2010
Generic Congressional Vote,Quinnipiac,"Republicans 43, Democrats 38",Republicans +5,2010-07-21,2010
Generic Congressional Vote,CNN/Opinion Research,"Republicans 49, Democrats 44",Republicans +5,2010-07-23,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",Republicans +10,2010-07-26,2010
Generic Congressional Vote,Gallup,"Republicans 44, Democrats 48",Democrats +4,2010-07-26,2010
Generic Congressional Vote,Reuters/Ipsos,"Republicans 46, Democrats 44",Republicans +2,2010-07-27,2010
Generic Congressional Vote,FOX News,"Republicans 47, Democrats 36",Republicans +11,2010-07-29,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 38",Republicans +8,2010-08-02,2010
Generic Congressional Vote,Gallup,"Republicans 48, Democrats 43",Republicans +5,2010-08-02,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 39",Republicans +7,2010-08-09,2010
Generic Congressional Vote,Gallup,"Republicans 49, Democrats 43",Republicans +6,2010-08-09,2010
Generic Congressional Vote,Pew Research,"Republicans 44, Democrats 45",Democrats +1,2010-08-11,2010
Generic Congressional Vote,FOX News,"Republicans 44, Democrats 37",Republicans +7,2010-08-12,2010
Generic Congressional Vote,CNN/Opinion Research,"Republicans 48, Democrats 45",Republicans +3,2010-08-12,2010
Generic Congressional Vote,PPP (D),"Republicans 45, Democrats 42",Republicans +3,2010-08-15,2010
Generic Congressional Vote,Gallup,"Republicans 50, Democrats 43",Republicans +7,2010-08-16,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 48, Democrats 36",Republicans +12,2010-08-16,2010
Generic Congressional Vote,Associated Press/GfK,"Republicans 49, Democrats 45",Republicans +4,2010-08-18,2010
Generic Congressional Vote,Time,"Republicans 43, Democrats 37",Republicans +6,2010-08-19,2010
Generic Congressional Vote,Gallup,"Republicans 47, Democrats 44",Republicans +3,2010-08-23,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 47, Democrats 38",Republicans +9,2010-08-23,2010
Generic Congressional Vote,Reuters/Ipsos,"Republicans 46, Democrats 45",Republicans +1,2010-08-25,2010
Generic Congressional Vote,Newsweek,"Republicans 45, Democrats 45",Tie,2010-08-27,2010
Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 39",Republicans +6,2010-08-30,2010
