,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
0,Congressional Job Approval,Quinnipiac,"Approve 20, Disapprove 71",Disapprove +51,2010-04-21,2010.0
1,President Obama Job Approval,Quinnipiac,"Approve 44, Disapprove 46",Disapprove +2,2010-04-21,2010.0
2,Congressional Job Approval,FOX News,"Approve 22, Disapprove 68",Disapprove +46,2010-04-22,2010.0
3,President Obama Job Approval,FOX News,"Approve 46, Disapprove 46",Tie,2010-04-22,2010.0
4,President Obama Job Approval,Gallup,"Approve 50, Disapprove 43",Approve +7,2010-04-25,2010.0
5,President Obama Job Approval,Rasmussen Reports,"Approve 45, Disapprove 54",Disapprove +9,2010-04-25,2010.0
6,President Obama Job Approval,Democracy Corps (D),"Approve 48, Disapprove 46",Approve +2,2010-04-27,2010.0
7,President Obama Job Approval,ABC News/Wash Post,"Approve 54, Disapprove 44",Approve +10,2010-04-28,2010.0
8,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 42",Approve +5,2010-04-28,2010.0
9,President Obama Job Approval,Resurgent Republic (R),"Approve 48, Disapprove 48",Tie,2010-04-30,2010.0
10,President Obama Job Approval,CBS News/NY Times,"Approve 51, Disapprove 39",Approve +12,2010-05-03,2010.0
11,President Obama Job Approval,Gallup,"Approve 47, Disapprove 47",Tie,2010-05-03,2010.0
12,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 51",Disapprove +3,2010-05-03,2010.0
13,President Obama Job Approval,FOX News,"Approve 48, Disapprove 43",Approve +5,2010-05-06,2010.0
14,President Obama Job Approval,National Journal/FD,"Approve 48, Disapprove 46",Approve +2,2010-05-06,2010.0
15,President Obama Job Approval,Pew Research,"Approve 47, Disapprove 42",Approve +5,2010-05-11,2010.0
16,President Obama Job Approval,NBC News/Wall St. Jrnl,"Approve 50, Disapprove 44",Approve +6,2010-05-12,2010.0
17,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 21, Disapprove 72",Disapprove +51,2010-05-12,2010.0
18,Congressional Job Approval,Gallup,"Approve 21, Disapprove 75",Disapprove +54,2010-05-14,2010.0
19,Congressional Job Approval,Associated Press/GfK,"Approve 28, Disapprove 71",Disapprove +43,2010-05-15,2010.0
20,President Obama Job Approval,Associated Press/GfK,"Approve 49, Disapprove 50",Disapprove +1,2010-05-15,2010.0
21,President Obama Job Approval,Gallup,"Approve 51, Disapprove 42",Approve +9,2010-05-15,2010.0
22,President Obama Job Approval,Rasmussen Reports,"Approve 48, Disapprove 52",Disapprove +4,2010-05-15,2010.0
23,President Obama Job Approval,Ipsos/McClatchy,"Approve 52, Disapprove 43",Approve +9,2010-05-17,2010.0
24,President Obama Job Approval,FOX News,"Approve 45, Disapprove 46",Disapprove +1,2010-05-21,2010.0
25,Congressional Job Approval,FOX News,"Approve 22, Disapprove 65",Disapprove +43,2010-05-21,2010.0
26,President Obama Job Approval,CBS News,"Approve 47, Disapprove 43",Approve +4,2010-05-25,2010.0
27,Congressional Job Approval,CBS News,"Approve 15, Disapprove 77",Disapprove +62,2010-05-25,2010.0
