,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,Congressional Job Approval,Quinnipiac,"Approve 20, Disapprove 71",-51,2010-04-21,2010,11.0
1,Congressional Job Approval,FOX News,"Approve 22, Disapprove 68",-46,2010-04-22,2010,12.0
2,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 21, Disapprove 72",-51,2010-05-12,2010,11.0
3,Congressional Job Approval,Gallup,"Approve 21, Disapprove 75",-54,2010-05-14,2010,9.0
4,Congressional Job Approval,Associated Press/GfK,"Approve 28, Disapprove 71",-43,2010-05-15,2010,9.0
5,Congressional Job Approval,FOX News,"Approve 22, Disapprove 65",-43,2010-05-21,2010,12.0
6,Congressional Job Approval,CBS News,"Approve 15, Disapprove 77",-62,2010-05-25,2010,11.0
7,Congressional Job Approval,ABC News/Wash Post,"Approve 26, Disapprove 71",-45,2010-06-08,2010,13.0
8,Congressional Job Approval,FOX News,"Approve 22, Disapprove 69",-47,2010-06-11,2010,12.0
9,Congressional Job Approval,Associated Press/GfK,"Approve 24, Disapprove 73",-49,2010-06-15,2010,9.0
10,Congressional Job Approval,CBS News/NY Times,"Approve 19, Disapprove 70",-51,2010-06-21,2010,11.0
11,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 22, Disapprove 73",-51,2010-06-23,2010,11.0
12,Congressional Job Approval,Gallup,"Approve 20, Disapprove 74",-54,2010-06-24,2010,9.0
13,Congressional Job Approval,FOX News,"Approve 24, Disapprove 66",-42,2010-07-01,2010,12.0
14,Congressional Job Approval,Gallup,"Approve 20, Disapprove 73",-53,2010-07-22,2010,9.0
15,Congressional Job Approval,FOX News,"Approve 21, Disapprove 71",-50,2010-07-29,2010,12.0
16,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 21, Disapprove 72",-51,2010-08-11,2010,11.0
17,Congressional Job Approval,Gallup,"Approve 19, Disapprove 75",-56,2010-08-11,2010,9.0
18,Congressional Job Approval,Associated Press/GfK,"Approve 24, Disapprove 74",-50,2010-08-18,2010,9.0
19,Congressional Job Approval,CBS News,"Approve 22, Disapprove 71",-49,2010-08-26,2010,11.0
20,Congressional Job Approval,ABC News/Wash Post,"Approve 25, Disapprove 72",-47,2010-09-07,2010,13.0
21,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 21, Disapprove 71",-50,2010-09-07,2010,11.0
22,Congressional Job Approval,CBS News/NY Times,"Approve 21, Disapprove 70",-49,2010-09-15,2010,11.0
23,Congressional Job Approval,Associated Press/GfK,"Approve 26, Disapprove 73",-47,2010-09-16,2010,9.0
24,Congressional Job Approval,Politico/GWU/Battleground,"Approve 25, Disapprove 64",-39,2010-09-16,2010,9.0
25,Congressional Job Approval,Gallup,"Approve 18, Disapprove 77",-59,2010-09-20,2010,9.0
26,Congressional Job Approval,Politico/GWU/Battleground,"Approve 27, Disapprove 63",-36,2010-09-27,2010,9.0
27,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 20, Disapprove 73",-53,2010-09-28,2010,11.0
28,Congressional Job Approval,FOX News,"Approve 17, Disapprove 72",-55,2010-09-30,2010,12.0
29,Congressional Job Approval,ABC News/Wash Post,"Approve 24, Disapprove 73",-49,2010-10-05,2010,13.0
30,Congressional Job Approval,Associated Press/GfK,"Approve 23, Disapprove 75",-52,2010-10-20,2010,9.0
31,Congressional Job Approval,CBS News/NY Times,"Approve 14, Disapprove 76",-62,2010-10-27,2010,11.0
32,Congressional Job Approval,FOX News,"Approve 19, Disapprove 70",-51,2010-10-29,2010,12.0
33,Congressional Job Approval,ABC News/Wash Post,"Approve 23, Disapprove 74",-51,2010-10-31,2010,13.0
34,Congressional Job Approval,Associated Press/GfK,"Approve 26, Disapprove 71",-45,2010-11-10,2010,9.0
35,Congressional Job Approval,Gallup,"Approve 17, Disapprove 77",-60,2010-11-11,2010,9.0
36,Congressional Job Approval,CBS News,"Approve 17, Disapprove 72",-55,2010-12-03,2010,11.0
37,Congressional Job Approval,Gallup,"Approve 13, Disapprove 83",-70,2010-12-15,2010,9.0
38,Congressional Job Approval,Associated Press/GfK,"Approve 26, Disapprove 69",-43,2011-01-12,2011,9.0
39,Congressional Job Approval,Gallup,"Approve 20, Disapprove 73",-53,2011-01-12,2011,9.0
40,Congressional Job Approval,ABC News/Wash Post,"Approve 28, Disapprove 66",-38,2011-01-18,2011,13.0
41,Congressional Job Approval,FOX News,"Approve 22, Disapprove 65",-43,2011-01-20,2011,12.0
42,Congressional Job Approval,FOX News,"Approve 15, Disapprove 70",-55,2011-01-24,2011,12.0
43,Congressional Job Approval,Economist/YouGov,"Approve 9, Disapprove 76",-67,2011-01-24,2011,9.0
44,Congressional Job Approval,Reuters/Ipsos,"Approve 18, Disapprove 72",-54,2011-01-24,2011,10.0
45,Congressional Job Approval,CNN/Opinion Research,"Approve 26, Disapprove 72",-46,2011-01-24,2011,10.0
46,Congressional Job Approval,Economist/YouGov,"Approve 9, Disapprove 74",-65,2011-01-31,2011,9.0
47,Congressional Job Approval,Reuters/Ipsos,"Approve 25, Disapprove 66",-41,2011-01-31,2011,10.0
48,Congressional Job Approval,Monmouth,"Approve 20, Disapprove 69",-49,2011-01-31,2011,13.0
49,Congressional Job Approval,Reuters/Ipsos,"Approve 21, Disapprove 68",-47,2011-02-07,2011,10.0
50,Congressional Job Approval,Economist/YouGov,"Approve 11, Disapprove 70",-59,2011-02-07,2011,9.0
51,Congressional Job Approval,Quinnipiac,"Approve 15, Disapprove 77",-62,2011-02-07,2011,11.0
52,Congressional Job Approval,Gallup,"Approve 15, Disapprove 81",-66,2011-02-14,2011,9.0
53,Congressional Job Approval,PPP (D),"Approve 10, Disapprove 73",-63,2011-02-14,2011,9.0
54,Congressional Job Approval,Reuters/Ipsos,"Approve 23, Disapprove 66",-43,2011-02-14,2011,10.0
55,Congressional Job Approval,Economist/YouGov,"Approve 12, Disapprove 68",-56,2011-02-14,2011,9.0
56,Congressional Job Approval,Reuters/Ipsos,"Approve 19, Disapprove 66",-47,2011-02-21,2011,10.0
57,Congressional Job Approval,Economist/YouGov,"Approve 10, Disapprove 70",-60,2011-02-21,2011,9.0
58,Congressional Job Approval,Economist/YouGov,"Approve 13, Disapprove 70",-57,2011-02-28,2011,9.0
59,Congressional Job Approval,Reuters/Ipsos,"Approve 23, Disapprove 66",-43,2011-02-28,2011,10.0
60,Congressional Job Approval,USA Today/Suffolk,"Approve 15, Disapprove 75",-60,2011-03-01,2011,10.0
61,Congressional Job Approval,Economist/YouGov,"Approve 11, Disapprove 67",-56,2011-03-07,2011,9.0
62,Congressional Job Approval,Reuters/Ipsos,"Approve 24, Disapprove 65",-41,2011-03-07,2011,10.0
63,Congressional Job Approval,Quinnipiac,"Approve 13, Disapprove 80",-67,2011-03-07,2011,11.0
64,Congressional Job Approval,Monmouth,"Approve 17, Disapprove 75",-58,2011-03-07,2011,13.0
65,Congressional Job Approval,Gallup,"Approve 18, Disapprove 74",-56,2011-03-11,2011,9.0
66,Congressional Job Approval,ABC News/Wash Post,"Approve 27, Disapprove 69",-42,2011-03-15,2011,13.0
67,Congressional Job Approval,FOX News,"Approve 24, Disapprove 65",-41,2011-03-18,2011,12.0
68,Congressional Job Approval,Associated Press/GfK,"Approve 27, Disapprove 71",-44,2011-03-31,2011,9.0
69,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 20, Disapprove 73",-53,2011-04-06,2011,11.0
70,Congressional Job Approval,CBS News/NY Times,"Approve 16, Disapprove 75",-59,2011-04-21,2011,11.0
71,Congressional Job Approval,FOX News,"Approve 18, Disapprove 75",-57,2011-04-28,2011,12.0
72,Congressional Job Approval,NBC News,"Approve 22, Disapprove 70",-48,2011-05-09,2011,11.0
73,Congressional Job Approval,Associated Press/GfK,"Approve 30, Disapprove 68",-38,2011-05-11,2011,9.0
74,Congressional Job Approval,FOX News,"Approve 24, Disapprove 69",-45,2011-05-18,2011,12.0
75,Congressional Job Approval,CBS News,"Approve 18, Disapprove 72",-54,2011-06-09,2011,11.0
76,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 18, Disapprove 74",-56,2011-06-15,2011,11.0
77,Congressional Job Approval,Gallup,"Approve 17, Disapprove 76",-59,2011-06-17,2011,9.0
78,Congressional Job Approval,Associated Press/GfK,"Approve 21, Disapprove 76",-55,2011-06-22,2011,9.0
79,Congressional Job Approval,CBS News/NY Times,"Approve 20, Disapprove 70",-50,2011-06-29,2011,11.0
80,Congressional Job Approval,FOX News,"Approve 20, Disapprove 71",-51,2011-06-30,2011,12.0
81,Congressional Job Approval,Gallup,"Approve 18, Disapprove 77",-59,2011-07-11,2011,9.0
82,Congressional Job Approval,CNN/Opinion Research,"Approve 14, Disapprove 84",-70,2011-08-02,2011,10.0
83,Congressional Job Approval,FOX News,"Approve 10, Disapprove 81",-71,2011-08-11,2011,12.0
84,Congressional Job Approval,Gallup,"Approve 13, Disapprove 84",-71,2011-08-16,2011,9.0
85,Congressional Job Approval,Associated Press/GfK,"Approve 12, Disapprove 87",-75,2011-08-26,2011,9.0
86,Congressional Job Approval,Gallup,"Approve 15, Disapprove 82",-67,2011-09-12,2011,9.0
87,Congressional Job Approval,CNN/Opinion Research,"Approve 15, Disapprove 84",-69,2011-09-14,2011,10.0
88,Congressional Job Approval,CBS News/NY Times,"Approve 12, Disapprove 80",-68,2011-09-16,2011,11.0
89,Congressional Job Approval,FOX News,"Approve 11, Disapprove 83",-72,2011-09-29,2011,12.0
90,Congressional Job Approval,CBS News,"Approve 11, Disapprove 80",-69,2011-10-03,2011,11.0
91,Congressional Job Approval,Gallup,"Approve 13, Disapprove 81",-68,2011-10-12,2011,9.0
92,Congressional Job Approval,Associated Press/GfK,"Approve 16, Disapprove 82",-66,2011-10-20,2011,9.0
93,Congressional Job Approval,CBS News/NY Times,"Approve 9, Disapprove 84",-75,2011-10-25,2011,11.0
94,Congressional Job Approval,Gallup,"Approve 13, Disapprove 82",-69,2011-11-14,2011,9.0
95,Congressional Job Approval,Politico/GWU/Battleground,"Approve 12, Disapprove 83",-71,2011-11-14,2011,9.0
96,Congressional Job Approval,FOX News,"Approve 12, Disapprove 80",-68,2011-11-17,2011,12.0
97,Congressional Job Approval,FOX News,"Approve 12, Disapprove 83",-71,2011-12-09,2011,12.0
98,Congressional Job Approval,CBS News,"Approve 11, Disapprove 82",-71,2011-12-09,2011,11.0
99,Congressional Job Approval,Gallup,"Approve 11, Disapprove 86",-75,2011-12-20,2011,9.0
100,Congressional Job Approval,CNN/Opinion Research,"Approve 16, Disapprove 83",-67,2011-12-20,2011,10.0
101,Congressional Job Approval,CBS News,"Approve 11, Disapprove 83",-72,2011-12-21,2011,11.0
102,Congressional Job Approval,CBS News,"Approve 12, Disapprove 80",-68,2012-01-10,2012,11.0
103,Congressional Job Approval,Gallup,"Approve 14, Disapprove 81",-67,2012-01-12,2012,9.0
104,Congressional Job Approval,ABC News/Wash Post,"Approve 13, Disapprove 84",-71,2012-01-16,2012,13.0
105,Congressional Job Approval,CBS News/NY Times,"Approve 13, Disapprove 79",-66,2012-01-18,2012,11.0
106,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 13, Disapprove 80",-67,2012-01-25,2012,11.0
107,Congressional Job Approval,Gallup,"Approve 10, Disapprove 86",-76,2012-02-08,2012,9.0
108,Congressional Job Approval,FOX News,"Approve 13, Disapprove 79",-66,2012-02-10,2012,12.0
109,Congressional Job Approval,CBS News/NY Times,"Approve 10, Disapprove 82",-72,2012-02-14,2012,11.0
110,Congressional Job Approval,Politico/GWU/Battleground,"Approve 12, Disapprove 83",-71,2012-02-27,2012,9.0
111,Congressional Job Approval,Gallup,"Approve 12, Disapprove 82",-70,2012-03-21,2012,9.0
112,Congressional Job Approval,Reason-Rupe,"Approve 15, Disapprove 78",-63,2012-03-26,2012,0.0
113,Congressional Job Approval,FOX News,"Approve 12, Disapprove 78",-66,2012-04-13,2012,12.0
114,Congressional Job Approval,Gallup,"Approve 17, Disapprove 79",-62,2012-04-19,2012,9.0
115,Congressional Job Approval,CBS News/NY Times,"Approve 13, Disapprove 77",-64,2012-04-19,2012,11.0
116,Congressional Job Approval,Politico/GWU/Battleground,"Approve 13, Disapprove 80",-67,2012-05-07,2012,9.0
117,Congressional Job Approval,Associated Press/GfK,"Approve 18, Disapprove 78",-60,2012-05-11,2012,9.0
118,Congressional Job Approval,CBS News/NY Times,"Approve 15, Disapprove 77",-62,2012-06-07,2012,11.0
119,Congressional Job Approval,FOX News,"Approve 17, Disapprove 75",-58,2012-06-08,2012,12.0
120,Congressional Job Approval,Gallup,"Approve 17, Disapprove 79",-62,2012-06-11,2012,9.0
121,Congressional Job Approval,Associated Press/GfK,"Approve 22, Disapprove 75",-53,2012-06-21,2012,9.0
122,Congressional Job Approval,Gallup,"Approve 16, Disapprove 78",-62,2012-07-13,2012,9.0
123,Congressional Job Approval,NPR,"Approve 19, Disapprove 74",-55,2012-07-19,2012,8.0
124,Congressional Job Approval,CBS News/NY Times,"Approve 12, Disapprove 79",-67,2012-07-19,2012,11.0
125,Congressional Job Approval,Politico/GWU/Battleground,"Approve 16, Disapprove 78",-62,2012-08-13,2012,9.0
126,Congressional Job Approval,Gallup,"Approve 10, Disapprove 83",-73,2012-08-14,2012,9.0
127,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 12, Disapprove 82",-70,2012-08-21,2012,11.0
128,Congressional Job Approval,Gallup,"Approve 13, Disapprove 83",-70,2012-09-14,2012,9.0
129,Congressional Job Approval,CBS News/NY Times,"Approve 12, Disapprove 78",-66,2012-09-14,2012,11.0
130,Congressional Job Approval,Reason-Rupe,"Approve 16, Disapprove 77",-61,2012-09-21,2012,0.0
131,Congressional Job Approval,Gallup,"Approve 21, Disapprove 69",-48,2012-10-24,2012,9.0
132,Congressional Job Approval,CBS News/NY Times,"Approve 15, Disapprove 75",-60,2012-10-30,2012,11.0
133,Congressional Job Approval,NPR,"Approve 16, Disapprove 79",-63,2012-10-30,2012,8.0
134,Congressional Job Approval,CNN/Opinion Research,"Approve 17, Disapprove 76",-59,2012-11-04,2012,10.0
135,Congressional Job Approval,Gallup,"Approve 18, Disapprove 75",-57,2012-11-27,2012,9.0
136,Congressional Job Approval,Associated Press/GfK,"Approve 23, Disapprove 74",-51,2012-12-07,2012,9.0
137,Congressional Job Approval,National Journal,"Approve 21, Disapprove 72",-51,2012-12-07,2012,12.0
138,Congressional Job Approval,FOX News,"Approve 17, Disapprove 74",-57,2012-12-13,2012,12.0
139,Congressional Job Approval,USA Today/Gallup,"Approve 18, Disapprove 76",-58,2012-12-19,2012,9.0
140,Congressional Job Approval,CBS News,"Approve 11, Disapprove 81",-70,2012-12-19,2012,11.0
141,Congressional Job Approval,Gallup,"Approve 14, Disapprove 81",-67,2013-01-12,2013,9.0
142,Congressional Job Approval,ABC News/Wash Post,"Approve 18, Disapprove 79",-61,2013-01-16,2013,13.0
143,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 14, Disapprove 81",-67,2013-01-17,2013,11.0
144,Congressional Job Approval,Associated Press/GfK,"Approve 17, Disapprove 77",-60,2013-01-17,2013,9.0
145,Congressional Job Approval,CBS News/NY Times,"Approve 12, Disapprove 82",-70,2013-01-18,2013,11.0
146,Congressional Job Approval,FOX News,"Approve 16, Disapprove 76",-60,2013-01-18,2013,12.0
147,Congressional Job Approval,Reason-Rupe/PSRAI,"Approve 17, Disapprove 74",-57,2013-01-30,2013,0.0
148,Congressional Job Approval,FOX News,"Approve 17, Disapprove 77",-60,2013-02-08,2013,12.0
149,Congressional Job Approval,CBS News,"Approve 14, Disapprove 77",-63,2013-02-12,2013,11.0
150,Congressional Job Approval,Gallup,"Approve 15, Disapprove 81",-66,2013-02-19,2013,9.0
151,Congressional Job Approval,FOX News,"Approve 16, Disapprove 77",-61,2013-02-28,2013,12.0
152,Congressional Job Approval,Reason-Rupe/PSRAI,"Approve 14, Disapprove 77",-63,2013-03-01,2013,0.0
153,Congressional Job Approval,Gallup,"Approve 13, Disapprove 83",-70,2013-03-12,2013,9.0
154,Congressional Job Approval,ABC News/Wash Post,"Approve 14, Disapprove 82",-68,2013-03-13,2013,13.0
155,Congressional Job Approval,FOX News,"Approve 14, Disapprove 79",-65,2013-03-20,2013,12.0
156,Congressional Job Approval,CBS News,"Approve 11, Disapprove 81",-70,2013-03-27,2013,11.0
157,Congressional Job Approval,Gallup,"Approve 15, Disapprove 79",-64,2013-04-12,2013,9.0
158,Congressional Job Approval,FOX News,"Approve 17, Disapprove 74",-57,2013-04-23,2013,12.0
159,Congressional Job Approval,National Journal,"Approve 17, Disapprove 76",-59,2013-04-25,2013,12.0
160,Congressional Job Approval,CBS News/NY Times,"Approve 17, Disapprove 75",-58,2013-05-02,2013,11.0
161,Congressional Job Approval,Gallup,"Approve 16, Disapprove 79",-63,2013-05-10,2013,9.0
162,Congressional Job Approval,Reason-Rupe/PSRAI,"Approve 16, Disapprove 75",-59,2013-05-17,2013,0.0
163,Congressional Job Approval,FOX News,"Approve 16, Disapprove 76",-60,2013-05-21,2013,12.0
164,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 71",-62,2013-05-22,2013,9.0
165,Congressional Job Approval,The Economist/YouGov,"Approve 10, Disapprove 68",-58,2013-05-29,2013,9.0
166,Congressional Job Approval,The Economist/YouGov,"Approve 11, Disapprove 69",-58,2013-06-05,2013,9.0
167,Congressional Job Approval,CBS News/NY Times,"Approve 13, Disapprove 80",-67,2013-06-06,2013,11.0
168,Congressional Job Approval,Gallup,"Approve 17, Disapprove 78",-61,2013-06-12,2013,9.0
169,Congressional Job Approval,The Economist/YouGov,"Approve 10, Disapprove 71",-61,2013-06-12,2013,9.0
170,Congressional Job Approval,CNN/Opinion Research,"Approve 16, Disapprove 83",-67,2013-06-19,2013,10.0
171,Congressional Job Approval,The Economist/YouGov,"Approve 10, Disapprove 71",-61,2013-06-19,2013,9.0
172,Congressional Job Approval,FOX News,"Approve 15, Disapprove 77",-62,2013-06-25,2013,12.0
173,Congressional Job Approval,The Economist/YouGov,"Approve 11, Disapprove 73",-62,2013-06-26,2013,9.0
174,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 72",-63,2013-07-03,2013,9.0
175,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 71",-64,2013-07-10,2013,9.0
176,Congressional Job Approval,Gallup,"Approve 15, Disapprove 78",-63,2013-07-17,2013,9.0
177,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 72",-63,2013-07-17,2013,9.0
178,Congressional Job Approval,ABC News/Wash Post,"Approve 21, Disapprove 73",-52,2013-07-23,2013,13.0
179,Congressional Job Approval,CBS News,"Approve 17, Disapprove 76",-59,2013-07-24,2013,11.0
180,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 12, Disapprove 83",-71,2013-07-24,2013,11.0
181,Congressional Job Approval,FOX News,"Approve 18, Disapprove 74",-56,2013-07-24,2013,12.0
182,Congressional Job Approval,The Economist/YouGov,"Approve 12, Disapprove 73",-61,2013-07-24,2013,9.0
183,Congressional Job Approval,The Economist/YouGov,"Approve 6, Disapprove 71",-65,2013-07-31,2013,9.0
184,Congressional Job Approval,The Economist/YouGov,"Approve 11, Disapprove 71",-60,2013-08-08,2013,9.0
185,Congressional Job Approval,Gallup,"Approve 14, Disapprove 81",-67,2013-08-13,2013,9.0
186,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 74",-67,2013-08-15,2013,9.0
187,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 75",-66,2013-08-22,2013,9.0
188,Congressional Job Approval,The Economist/YouGov,"Approve 8, Disapprove 73",-65,2013-08-29,2013,9.0
189,Congressional Job Approval,The Economist/YouGov,"Approve 11, Disapprove 69",-58,2013-09-04,2013,9.0
190,Congressional Job Approval,FOX News,"Approve 17, Disapprove 75",-58,2013-09-09,2013,12.0
191,Congressional Job Approval,CBS News/NY Times,"Approve 24, Disapprove 68",-44,2013-09-09,2013,11.0
192,Congressional Job Approval,CNN/Opinion Research,"Approve 20, Disapprove 78",-58,2013-09-09,2013,10.0
193,Congressional Job Approval,Reason-Rupe/PSRAI,"Approve 22, Disapprove 72",-50,2013-09-10,2013,0.0
194,Congressional Job Approval,The Economist/YouGov,"Approve 11, Disapprove 70",-59,2013-09-11,2013,9.0
195,Congressional Job Approval,Gallup,"Approve 19, Disapprove 76",-57,2013-09-11,2013,9.0
196,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 76",-67,2013-09-18,2013,9.0
197,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 72",-63,2013-09-25,2013,9.0
198,Congressional Job Approval,CBS News/NY Times,"Approve 14, Disapprove 80",-66,2013-09-26,2013,11.0
199,Congressional Job Approval,CNN/Opinion Research,"Approve 10, Disapprove 87",-77,2013-09-30,2013,10.0
200,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 74",-67,2013-10-02,2013,9.0
201,Congressional Job Approval,FOX News,"Approve 13, Disapprove 81",-68,2013-10-03,2013,12.0
202,Congressional Job Approval,Gallup,"Approve 11, Disapprove 85",-74,2013-10-07,2013,9.0
203,Congressional Job Approval,The Economist/YouGov,"Approve 10, Disapprove 76",-66,2013-10-09,2013,9.0
204,Congressional Job Approval,Associated Press/GfK,"Approve 5, Disapprove 83",-78,2013-10-09,2013,9.0
205,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 79",-72,2013-10-16,2013,9.0
206,Congressional Job Approval,CNN/Opinion Research,"Approve 10, Disapprove 88",-78,2013-10-21,2013,10.0
207,Congressional Job Approval,CBS News,"Approve 9, Disapprove 85",-76,2013-10-22,2013,11.0
208,Congressional Job Approval,ABC News/Wash Post,"Approve 9, Disapprove 89",-80,2013-10-22,2013,13.0
209,Congressional Job Approval,FOX News,"Approve 9, Disapprove 85",-76,2013-10-23,2013,12.0
210,Congressional Job Approval,The Economist/YouGov,"Approve 6, Disapprove 78",-72,2013-10-23,2013,9.0
211,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 76",-67,2013-10-30,2013,9.0
212,Congressional Job Approval,GWU/Battleground,"Approve 9, Disapprove 87",-78,2013-11-04,2013,9.0
213,Congressional Job Approval,The Economist/YouGov,"Approve 8, Disapprove 73",-65,2013-11-06,2013,9.0
214,Congressional Job Approval,Gallup,"Approve 9, Disapprove 86",-77,2013-11-12,2013,9.0
215,Congressional Job Approval,FOX News,"Approve 10, Disapprove 85",-75,2013-11-13,2013,12.0
216,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 77",-70,2013-11-13,2013,9.0
217,Congressional Job Approval,National Journal,"Approve 9, Disapprove 84",-75,2013-11-18,2013,12.0
218,Congressional Job Approval,The Economist/YouGov,"Approve 6, Disapprove 77",-71,2013-11-19,2013,9.0
219,Congressional Job Approval,CBS News,"Approve 11, Disapprove 85",-74,2013-11-21,2013,11.0
220,Congressional Job Approval,The Economist/YouGov,"Approve 6, Disapprove 72",-66,2013-11-27,2013,9.0
221,Congressional Job Approval,The Economist/YouGov,"Approve 6, Disapprove 73",-67,2013-12-04,2013,9.0
222,Congressional Job Approval,Gallup,"Approve 12, Disapprove 85",-73,2013-12-10,2013,9.0
223,Congressional Job Approval,CBS News/NY Times,"Approve 10, Disapprove 83",-73,2013-12-10,2013,11.0
224,Congressional Job Approval,Associated Press/GfK,"Approve 13, Disapprove 86",-73,2013-12-11,2013,9.0
225,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 73",-66,2013-12-11,2013,9.0
226,Congressional Job Approval,Reason-Rupe/PSRAI,"Approve 20, Disapprove 74",-54,2013-12-11,2013,0.0
227,Congressional Job Approval,FOX News,"Approve 16, Disapprove 79",-63,2013-12-19,2013,12.0
228,Congressional Job Approval,The Economist/YouGov,"Approve 12, Disapprove 70",-58,2013-12-24,2013,9.0
229,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 77",-70,2013-12-31,2013,9.0
230,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 77",-70,2014-01-07,2014,9.0
231,Congressional Job Approval,The Economist/YouGov,"Approve 8, Disapprove 77",-69,2014-01-14,2014,9.0
232,Congressional Job Approval,Gallup,"Approve 13, Disapprove 82",-69,2014-01-14,2014,9.0
233,Congressional Job Approval,FOX News,"Approve 13, Disapprove 81",-68,2014-01-22,2014,12.0
234,Congressional Job Approval,GWU/Battleground,"Approve 14, Disapprove 81",-67,2014-01-22,2014,9.0
235,Congressional Job Approval,The Economist/YouGov,"Approve 10, Disapprove 71",-61,2014-01-22,2014,9.0
236,Congressional Job Approval,Associated Press/GfK,"Approve 14, Disapprove 84",-70,2014-01-23,2014,9.0
237,Congressional Job Approval,ABC News/Wash Post,"Approve 13, Disapprove 84",-71,2014-01-26,2014,13.0
238,Congressional Job Approval,NBC News/Wall St. Jrnl,"Approve 13, Disapprove 81",-68,2014-01-28,2014,11.0
239,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 78",-71,2014-01-29,2014,9.0
240,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 75",-66,2014-02-05,2014,9.0
241,Congressional Job Approval,Gallup,"Approve 12, Disapprove 83",-71,2014-02-10,2014,9.0
242,Congressional Job Approval,The Economist/YouGov,"Approve 6, Disapprove 78",-72,2014-02-12,2014,9.0
243,Congressional Job Approval,FOX News,"Approve 14, Disapprove 81",-67,2014-02-13,2014,12.0
244,Congressional Job Approval,The Economist/YouGov,"Approve 6, Disapprove 76",-70,2014-02-19,2014,9.0
245,Congressional Job Approval,CBS News/NY Times,"Approve 13, Disapprove 80",-67,2014-02-26,2014,11.0
246,Congressional Job Approval,The Economist/YouGov,"Approve 10, Disapprove 74",-64,2014-02-26,2014,9.0
247,Congressional Job Approval,The Economist/YouGov,"Approve 10, Disapprove 73",-63,2014-03-05,2014,9.0
248,Congressional Job Approval,FOX News,"Approve 12, Disapprove 78",-66,2014-03-06,2014,12.0
249,Congressional Job Approval,Gallup,"Approve 15, Disapprove 83",-68,2014-03-10,2014,9.0
250,Congressional Job Approval,PPP (D),"Approve 8, Disapprove 84",-76,2014-03-11,2014,9.0
251,Congressional Job Approval,The Economist/YouGov,"Approve 7, Disapprove 74",-67,2014-03-12,2014,9.0
252,Congressional Job Approval,The Economist/YouGov,"Approve 8, Disapprove 74",-66,2014-03-19,2014,9.0
253,Congressional Job Approval,CBS News,"Approve 18, Disapprove 76",-58,2014-03-25,2014,11.0
254,Congressional Job Approval,GWU/Battleground,"Approve 13, Disapprove 82",-69,2014-03-25,2014,9.0
255,Congressional Job Approval,The Economist/YouGov,"Approve 9, Disapprove 69",-60,2014-03-26,2014,9.0
256,Congressional Job Approval,The Economist/YouGov,"Approve 8, Disapprove 76",-68,2014-04-02,2014,9.0
257,Congressional Job Approval,Reason-Rupe/PSRAI,"Approve 17, Disapprove 74",-57,2014-04-03,2014,0.0
258,Congressional Job Approval,Associated Press/GfK,"Approve 16, Disapprove 82",-66,2014-04-05,2014,9.0
259,Congressional Job Approval,Gallup,"Approve 13, Disapprove 83",-70,2014-04-10,2014,9.0
260,Congressional Job Approval,The Economist/YouGov,"Approve 14, Disapprove 71",-57,2014-04-11,2014,9.0
261,Congressional Job Approval,The Economist/YouGov,"Approve 11, Disapprove 71",-60,2014-04-16,2014,9.0
262,Congressional Job Approval,FOX News,"Approve 15, Disapprove 76",-61,2014-04-22,2014,12.0
