,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,Direction of Country,R2000/Daily Kos (D),"Right Direction 38, Wrong Track 58",-20,2010-04-16,2010,0.0
1,Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 57",-18,2010-04-23,2010,0.0
2,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 62",-29,2010-04-26,2010,7.0
3,Direction of Country,Democracy Corps (D),"Right Direction 34, Wrong Track 57",-23,2010-04-27,2010,8.0
4,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",-28,2010-04-27,2010,7.0
5,Direction of Country,Resurgent Republic (R),"Right Direction 33, Wrong Track 59",-26,2010-04-30,2010,0.0
6,Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 56",-15,2010-04-30,2010,0.0
7,Direction of Country,Rasmussen Reports,"Right Direction 33, Wrong Track 61",-28,2010-05-05,2010,7.0
8,Direction of Country,National Journal/FD,"Right Direction 34, Wrong Track 54",-20,2010-05-06,2010,12.0
9,Direction of Country,R2000/Daily Kos (D),"Right Direction 42, Wrong Track 55",-13,2010-05-07,2010,0.0
10,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 34, Wrong Track 56",-22,2010-05-12,2010,11.0
11,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 64",-34,2010-05-12,2010,7.0
12,Direction of Country,R2000/Daily Kos (D),"Right Direction 43, Wrong Track 54",-11,2010-05-14,2010,0.0
13,Direction of Country,Associated Press/GfK,"Right Direction 35, Wrong Track 59",-24,2010-05-15,2010,9.0
14,Direction of Country,Ipsos-McClatchy,"Right Direction 34, Wrong Track 60",-26,2010-05-17,2010,0.0
15,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",-33,2010-05-19,2010,7.0
16,Direction of Country,R2000/Daily Kos (D),"Right Direction 41, Wrong Track 55",-14,2010-05-21,2010,0.0
17,Direction of Country,CBS News,"Right Direction 32, Wrong Track 61",-29,2010-05-25,2010,11.0
18,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",-39,2010-05-26,2010,7.0
19,Direction of Country,R2000/Daily Kos (D),"Right Direction 40, Wrong Track 56",-16,2010-05-28,2010,0.0
20,Direction of Country,Rasmussen Reports,"Right Direction 30, Wrong Track 65",-35,2010-06-02,2010,7.0
21,Direction of Country,R2000/Daily Kos (D),"Right Direction 39, Wrong Track 59",-20,2010-06-04,2010,0.0
22,Direction of Country,Democracy Corps (D),"Right Direction 33, Wrong Track 59",-26,2010-06-04,2010,8.0
23,Direction of Country,ABC News/Wash Post,"Right Direction 37, Wrong Track 60",-23,2010-06-08,2010,13.0
24,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",-39,2010-06-09,2010,7.0
25,Direction of Country,Associated Press/GfK,"Right Direction 37, Wrong Track 60",-23,2010-06-15,2010,9.0
26,Direction of Country,Ipsos/McClatchy,"Right Direction 33, Wrong Track 61",-28,2010-06-16,2010,10.0
27,Direction of Country,CBS News/NY Times,"Right Direction 32, Wrong Track 60",-28,2010-06-21,2010,11.0
28,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 67",-39,2010-06-22,2010,7.0
29,Direction of Country,NBC News/Wall St. Jrnl,"Right Direction 29, Wrong Track 62",-33,2010-06-23,2010,11.0
30,Direction of Country,Rasmussen Reports,"Right Direction 28, Wrong Track 66",-38,2010-07-01,2010,7.0
31,Direction of Country,Resurgent Republic (R),"Right Direction 27, Wrong Track 64",-37,2010-07-06,2010,0.0
32,Direction of Country,Democracy Corps (D),"Right Direction 32, Wrong Track 61",-29,2010-07-08,2010,8.0
33,Direction of Country,Bloomberg,"Right Direction 31, Wrong Track 63",-32,2010-07-14,2010,0.0
34,Direction of Country,Rasmussen Reports,"Right Direction 31, Wrong Track 64",-33,2010-07-14,2010,7.0
35,Direction of Country,Time,"Right Direction 39, Wrong Track 56",-17,2010-07-15,2010,11.0
36,Direction of Country,Rasmussen Reports,"Right Direction 27, Wrong Track 67",-40,2010-07-21,2010,7.0
