,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
0,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 45",Tie,2018-10-10,2018.0
1,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 47, Republicans 41",Democrats +6,2018-10-10,2018.0
2,2018 Generic Congressional Vote,CNN,"Democrats 54, Republicans 41",Democrats +13,2018-10-09,2018.0
3,2018 Generic Congressional Vote,Emerson,"Democrats 50, Republicans 42",Democrats +8,2018-10-05,2018.0
4,2018 Generic Congressional Vote,IBD/TIPP,"Democrats 45, Republicans 43",Democrats +2,2018-10-04,2018.0
5,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 47, Republicans 42",Democrats +5,2018-10-03,2018.0
6,2018 Generic Congressional Vote,NPR/PBS/Marist,"Democrats 48, Republicans 42",Democrats +6,2018-10-03,2018.0
7,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 50, Republicans 38",Democrats +12,2018-10-03,2018.0
8,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 45, Republicans 40",Democrats +5,2018-10-03,2018.0
9,2018 Generic Congressional Vote,Quinnipiac,"Democrats 49, Republicans 42",Democrats +7,2018-10-02,2018.0
10,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 45, Republicans 37",Democrats +8,2018-10-01,2018.0
11,2018 Generic Congressional Vote,Harvard-Harris,"Democrats 45, Republicans 36",Democrats +9,2018-09-30,2018.0
12,2018 Generic Congressional Vote,Gallup,"Democrats 51, Republicans 42",Democrats +9,2018-09-28,2018.0
13,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 46, Republicans 38",Democrats +8,2018-09-26,2018.0
14,2018 Generic Congressional Vote,NPR/PBS/Marist,"Democrats 48, Republicans 41",Democrats +7,2018-09-26,2018.0
15,2018 Generic Congressional Vote,Pew Research,"Democrats 52, Republicans 42",Democrats +10,2018-09-26,2018.0
16,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 43",Democrats +3,2018-09-26,2018.0
17,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 41",Democrats +7,2018-09-26,2018.0
18,2018 Generic Congressional Vote,FOX News,"Democrats 49, Republicans 42",Democrats +7,2018-09-23,2018.0
19,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 51, Republicans 43",Democrats +8,2018-09-23,2018.0
20,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 47, Republicans 42",Democrats +5,2018-09-19,2018.0
21,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 48, Republicans 41",Democrats +7,2018-09-19,2018.0
22,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 45, Republicans 41",Democrats +4,2018-09-19,2018.0
23,2018 Generic Congressional Vote,CNN,"Democrats 52, Republicans 42",Democrats +10,2018-09-13,2018.0
24,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 44, Republicans 41",Democrats +3,2018-09-12,2018.0
25,2018 Generic Congressional Vote,NPR/Marist,"Democrats 50, Republicans 38",Democrats +12,2018-09-12,2018.0
26,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 42",Democrats +4,2018-09-12,2018.0
27,2018 Generic Congressional Vote,Quinnipiac,"Democrats 52, Republicans 38",Democrats +14,2018-09-12,2018.0
28,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 49, Republicans 41",Democrats +8,2018-09-12,2018.0
29,2018 Generic Congressional Vote,NPR/PBS/Marist,"Democrats 50, Republicans 40",Democrats +10,2018-10-26,2018.0
30,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 49, Republicans 42",Democrats +7,2018-10-25,2018.0
31,2018 Generic Congressional Vote,USA Today/Suffolk,"Democrats 51, Republicans 43",Democrats +8,2018-10-25,2018.0
32,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 47, Republicans 44",Democrats +3,2018-10-24,2018.0
33,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 47, Republicans 41",Democrats +6,2018-10-24,2018.0
34,2018 Generic Congressional Vote,NBC News/Wall St. Jrnl,"Democrats 50, Republicans 41",Democrats +9,2018-10-21,2018.0
35,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 45, Republicans 44",Democrats +1,2018-10-17,2018.0
36,2018 Generic Congressional Vote,FOX News,"Democrats 49, Republicans 42",Democrats +7,2018-10-17,2018.0
37,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 51, Republicans 40",Democrats +11,2018-10-17,2018.0
38,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 46, Republicans 41",Democrats +5,2018-10-17,2018.0
39,2018 Generic Congressional Vote,CNBC,"Democrats 42, Republicans 36",Democrats +6,2018-10-16,2018.0
40,2018 Generic Congressional Vote,ABC News/Wash Post,"Democrats 53, Republicans 42",Democrats +11,2018-10-14,2018.0
41,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 50, Republicans 38",Democrats +12,2018-10-10,2018.0
42,2018 Generic Congressional Vote,Grinnell/Selzer,"Democrats 45, Republicans 43",Democrats +2,2018-09-06,2018.0
43,2018 Generic Congressional Vote,Rasmussen Reports,"Democrats 46, Republicans 42",Democrats +4,2018-09-05,2018.0
44,2018 Generic Congressional Vote,Reuters/Ipsos,"Democrats 44, Republicans 35",Democrats +9,2018-09-05,2018.0
45,2018 Generic Congressional Vote,Economist/YouGov,"Democrats 45, Republicans 40",Democrats +5,2018-09-05,2018.0
46,2018 Generic Congressional Vote,ABC News/Wash Post,"Democrats 52, Republicans 38",Democrats +14,2018-09-04,2018.0
