,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,Generic Congressional Vote,PPP (D),"Republicans 47, Democrats 42",-5,2010-04-16,2010,9.0
1,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 43",-3,2010-04-19,2010,9.0
2,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",-10,2010-04-19,2010,7.0
3,Generic Congressional Vote,FOX News,"Republicans 42, Democrats 38",-4,2010-04-22,2010,12.0
4,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2010-04-26,2010,7.0
5,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",0,2010-04-26,2010,9.0
6,Generic Congressional Vote,Democracy Corps (D),"Republicans 45, Democrats 43",-2,2010-04-27,2010,8.0
7,Generic Congressional Vote,ABC News/Wash Post,"Republicans 43, Democrats 48",5,2010-04-28,2010,13.0
8,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",-7,2010-05-03,2010,7.0
9,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 45",0,2010-05-03,2010,9.0
10,Generic Congressional Vote,National Journal/FD,"Republicans 35, Democrats 39",4,2010-05-06,2010,12.0
11,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2010-05-10,2010,7.0
12,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",0,2010-05-10,2010,9.0
13,Generic Congressional Vote,FOX News,"Republicans 42, Democrats 40",-2,2010-05-12,2010,12.0
14,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 45",-1,2010-05-17,2010,9.0
15,Generic Congressional Vote,Ipsos-McClatchy,"Republicans 42, Democrats 45",3,2010-05-17,2010,0.0
16,Generic Congressional Vote,Rasmussen Reports,"Republicans 43, Democrats 38",-5,2010-05-17,2010,7.0
17,Generic Congressional Vote,FOX News,"Republicans 41, Democrats 41",0,2010-05-21,2010,12.0
18,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 36",-8,2010-05-24,2010,7.0
19,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 47",1,2010-05-24,2010,9.0
20,Generic Congressional Vote,Rasmussen,"Republicans 44, Democrats 36",-8,2010-05-24,2010,7.0
21,Generic Congressional Vote,Quinnipiac,"Republicans 36, Democrats 42",6,2010-05-26,2010,11.0
22,Generic Congressional Vote,Gallup,"Republicans 49, Democrats 43",-6,2010-06-01,2010,9.0
23,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 37",-7,2010-06-01,2010,7.0
24,Generic Congressional Vote,Democracy Corps (D),"Republicans 46, Democrats 43",-3,2010-06-03,2010,8.0
25,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",0,2010-06-07,2010,9.0
26,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 35",-9,2010-06-07,2010,7.0
27,Generic Congressional Vote,ABC News/Wash Post,"Republicans 44, Democrats 47",3,2010-06-08,2010,13.0
28,Generic Congressional Vote,FOX News,"Republicans 38, Democrats 41",3,2010-06-11,2010,12.0
29,Generic Congressional Vote,PPP (D),"Republicans 41, Democrats 43",2,2010-06-11,2010,9.0
30,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",-10,2010-06-15,2010,7.0
31,Generic Congressional Vote,Gallup,"Republicans 49, Democrats 44",-5,2010-06-15,2010,9.0
32,Generic Congressional Vote,Ipsos/McClatchy,"Republicans 43, Democrats 42",-1,2010-06-16,2010,10.0
33,Generic Congressional Vote,USA Today/Gallup,"Republicans 43, Democrats 48",5,2010-06-17,2010,9.0
34,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 46",0,2010-06-21,2010,9.0
35,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 36",-8,2010-06-21,2010,7.0
36,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2010-06-28,2010,7.0
37,Generic Congressional Vote,Gallup,"Republicans 45, Democrats 46",1,2010-06-28,2010,9.0
38,Generic Congressional Vote,Pew Research,"Republicans 45, Democrats 45",0,2010-07-01,2010,8.0
39,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 44",-2,2010-07-06,2010,9.0
40,Generic Congressional Vote,FOX News,"Republicans 42, Democrats 40",-2,2010-07-07,2010,12.0
41,Generic Congressional Vote,Democracy Corps (D),"Republicans 48, Democrats 42",-6,2010-07-08,2010,8.0
42,Generic Congressional Vote,Gallup,"Republicans 46, Democrats 47",1,2010-07-12,2010,9.0
43,Generic Congressional Vote,Rasmussen Reports,"Republicans 44, Democrats 38",-6,2010-07-12,2010,7.0
44,Generic Congressional Vote,ABC News/Wash Post,"Republicans 49, Democrats 45",-4,2010-07-13,2010,13.0
45,Generic Congressional Vote,Bloomberg,"Republicans 48, Democrats 40",-8,2010-07-14,2010,0.0
46,Generic Congressional Vote,Time,"Republicans 42, Democrats 43",1,2010-07-15,2010,11.0
47,Generic Congressional Vote,FOX News,"Republicans 41, Democrats 37",-4,2010-07-16,2010,12.0
48,Generic Congressional Vote,Rasmussen Reports,"Republicans 45, Democrats 36",-9,2010-07-19,2010,7.0
49,Generic Congressional Vote,Gallup,"Republicans 43, Democrats 49",6,2010-07-19,2010,9.0
50,Generic Congressional Vote,PPP (D),"Republicans 43, Democrats 43",0,2010-07-19,2010,9.0
51,Generic Congressional Vote,Quinnipiac,"Republicans 43, Democrats 38",-5,2010-07-21,2010,11.0
52,Generic Congressional Vote,CNN/Opinion Research,"Republicans 49, Democrats 44",-5,2010-07-23,2010,10.0
53,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 36",-10,2010-07-26,2010,7.0
54,Generic Congressional Vote,Gallup,"Republicans 44, Democrats 48",4,2010-07-26,2010,9.0
55,Generic Congressional Vote,Reuters/Ipsos,"Republicans 46, Democrats 44",-2,2010-07-27,2010,10.0
56,Generic Congressional Vote,FOX News,"Republicans 47, Democrats 36",-11,2010-07-29,2010,12.0
57,Generic Congressional Vote,Rasmussen Reports,"Republicans 46, Democrats 38",-8,2010-08-02,2010,7.0
58,Generic Congressional Vote,Gallup,"Republicans 48, Democrats 43",-5,2010-08-02,2010,9.0
