,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Unnamed: 0,Year
0,Colorado Governor - McInnis vs. Hickenlooper,Rasmussen Reports,"Hickenlooper 42, McInnis 48",McInnis +6,2010-04-16,11.0,2010.0
1,Arizona Governor - Republican Primary,Rasmussen Reports,"Brewer 26, Mills 18, Martin 12, Munger 14",Brewer +8,2010-04-17,12.0,2010.0
2,New York Governor - Republican Primary,Siena,"Lazio 29, Levy 15, Paladino 13",Lazio +14,2010-04-18,14.0,2010.0
3,New York Governor - Levy vs. Cuomo,Siena,"Cuomo 58, Levy 23",Cuomo +35,2010-04-18,15.0,2010.0
4,New York Governor - Lazio vs. Cuomo,Siena,"Cuomo 61, Lazio 24",Cuomo +37,2010-04-18,16.0,2010.0
5,Texas Governor - Perry vs. White,Rasmussen Reports,"Perry 48, White 44",Perry +4,2010-04-19,18.0,2010.0
6,Massachusetts Governor - Baker vs. Patrick vs. Cahill,Western NE College,"Patrick 34, Baker 27, Cahill 29",Patrick +5,2010-04-19,23.0,2010.0
7,Florida Governor - McCollum vs. Sink,Quinnipiac,"McCollum 40, Sink 36",McCollum +4,2010-04-19,24.0,2010.0
8,Pennsylvania Governor - Corbett vs. Wagner,Rasmussen Reports,"Corbett 48, Wagner 27",Corbett +21,2010-04-20,25.0,2010.0
9,Pennsylvania Governor - Corbett vs. Hoeffel,Rasmussen Reports,"Corbett 49, Hoeffel 29",Corbett +20,2010-04-20,26.0,2010.0
10,Pennsylvania Governor - Corbett vs. Onorato,Rasmussen Reports,"Corbett 45, Onorato 36",Corbett +9,2010-04-20,27.0,2010.0
11,Florida Governor - McCollum vs. Sink,Rasmussen Reports,"McCollum 45, Sink 38",McCollum +7,2010-04-20,28.0,2010.0
12,California Governor - Whitman vs. Brown,Rasmussen Reports,"Whitman 38, Brown 44",Brown +6,2010-04-21,32.0,2010.0
13,Arizona Governor - Brewer vs. Goddard,Rasmussen Reports,"Goddard 40, Brewer 44",Brewer +4,2010-04-21,35.0,2010.0
14,New Hampshire Governor - Republican Primary,PPP (D),"Stephen 29, Testerman 15, Kimball 10",Stephen +14,2010-04-21,39.0,2010.0
