,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,Colorado Governor - McInnis vs. Hickenlooper,Rasmussen Reports,"Hickenlooper 42, McInnis 48",6,2010-04-16,2010,7.0
1,Arizona Governor - Republican Primary,Rasmussen Reports,"Brewer 26, Mills 18, Martin 12, Munger 14",8,2010-04-17,2010,7.0
2,New York Governor - Republican Primary,Siena,"Lazio 29, Levy 15, Paladino 13",14,2010-04-18,2010,12.0
3,New York Governor - Levy vs. Cuomo,Siena,"Cuomo 58, Levy 23",35,2010-04-18,2010,12.0
4,New York Governor - Lazio vs. Cuomo,Siena,"Cuomo 61, Lazio 24",37,2010-04-18,2010,12.0
5,Texas Governor - Perry vs. White,Rasmussen Reports,"Perry 48, White 44",4,2010-04-19,2010,7.0
6,Massachusetts Governor - Baker vs. Patrick vs. Cahill,Western NE College,"Patrick 34, Baker 27, Cahill 29",5,2010-04-19,2010,0.0
7,Florida Governor - McCollum vs. Sink,Quinnipiac,"McCollum 40, Sink 36",4,2010-04-19,2010,11.0
8,Pennsylvania Governor - Corbett vs. Wagner,Rasmussen Reports,"Corbett 48, Wagner 27",21,2010-04-20,2010,7.0
9,Pennsylvania Governor - Corbett vs. Hoeffel,Rasmussen Reports,"Corbett 49, Hoeffel 29",20,2010-04-20,2010,7.0
10,Pennsylvania Governor - Corbett vs. Onorato,Rasmussen Reports,"Corbett 45, Onorato 36",9,2010-04-20,2010,7.0
11,Florida Governor - McCollum vs. Sink,Rasmussen Reports,"McCollum 45, Sink 38",7,2010-04-20,2010,7.0
12,California Governor - Whitman vs. Brown,Rasmussen Reports,"Whitman 38, Brown 44",6,2010-04-21,2010,7.0
13,Arizona Governor - Brewer vs. Goddard,Rasmussen Reports,"Goddard 40, Brewer 44",4,2010-04-21,2010,7.0
14,New Hampshire Governor - Republican Primary,PPP (D),"Stephen 29, Testerman 15, Kimball 10",14,2010-04-21,2010,9.0
15,California Governor - Republican Primary,Capitol Weekly/Probolsky (R),"Whitman 47, Poizner 19",28,2010-04-22,2010,9.0
16,California Governor - Republican Primary,SurveyUSA,"Whitman 49, Poizner 27",22,2010-04-22,2010,12.0
17,Wisconsin Governor - Walker vs. Barrett,Rasmussen Reports,"Walker 46, Barrett 44",2,2010-04-23,2010,7.0
18,Wisconsin Governor - Neumann vs. Barrett,Rasmussen Reports,"Neumann 46, Barrett 46",0,2010-04-23,2010,7.0
19,New Hampshire Governor - Kimball vs. Lynch,PPP (D),"Lynch 47, Kimball 35",12,2010-04-23,2010,9.0
20,New Hampshire Governor - Stephen vs. Lynch,PPP (D),"Lynch 47, Stephen 36",11,2010-04-23,2010,9.0
21,Maryland Governor - Ehrlich vs. O'Malley,Rasmussen Reports,"O'Malley 47, Ehrlich 44",3,2010-04-23,2010,7.0
22,Rhode Island Governor - Chafee vs. Lynch vs. Robitaille,Rasmussen Reports,"Chafee 35, Lynch 24, Robitaille 26",9,2010-04-27,2010,7.0
23,South Dakota Governor - Daugaard vs. Heidepriem,Rasmussen Reports,"Daugaard 53, Heidepreim 33",20,2010-04-27,2010,7.0
24,Michigan Governor - Republican Primary,Rasmussen Reports,"Hoekstra 28, Cox 13, Snyder 14, Bouchard 9",14,2010-04-27,2010,7.0
25,Arizona Governor - Brewer vs. Goddard,PPP (D),"Brewer 44, Goddard 47",3,2010-04-27,2010,9.0
26,Rhode Island Governor - Chafee vs. Caprio vs. Robitaille,Rasmussen Reports,"Chafee 33, Caprio 33, Robitaille 21",0,2010-04-27,2010,7.0
27,Arizona Governor - Brewer vs. Goddard,PPP (D),"Goddard 47, Brewer 44",3,2010-04-27,2010,9.0
