,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Unnamed: 0,Year
0,Pennsylvania 12th District Special Election - Burns vs. Critz,PPP (D),"Burns 44, Critz 41",Burns +3,2010-04-20,29.0,2010.0
1,New Hampshire 1st District - Guinta vs. Shea-Porter,PPP (D),"Guinta 46, Shea-Porter 45",Guinta +1,2010-04-22,47.0,2010.0
2,New Hampshire 2nd District - Bass vs. Swett,PPP (D),"Bass 47, Swett 32",Bass +15,2010-04-22,48.0,2010.0
3,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 42, Shea-Porter 38",Guinta +4,2010-04-30,123.0,2010.0
4,New Hampshire 2nd District - Bass vs. Swett,WMUR/UNH,"Bass 44, Swett 27",Bass +17,2010-04-30,124.0,2010.0
5,Maryland 1st District - Harris vs. Kratovil,POS (R),"Harris 39, Kratovil 36",Harris +3,2010-05-01,133.0,2010.0
6,Pennsylvania 12th District Special Election - Burns vs. Critz,R2000/Daily Kos (D),"Burns 46, Critz 40",Burns +6,2010-05-01,134.0,2010.0
7,Pennsylvania 12th District Special Election - Burns vs. Critz,R2000/Daily Kos (D),"Critz 40, Burns 46",Burns +6,2010-05-01,135.0,2010.0
8,Hawaii 1st District Special Election - Djou vs. Case vs. Hanabusa,Honolulu Advertiser,"Djou 36, Case 28, Hanabusa 22",Djou +8,2010-05-02,136.0,2010.0
9,Pennsylvania 12th District Special Election - Burns vs. Critz,Susquehanna,"Critz 44, Burns 38",Critz +6,2010-05-12,249.0,2010.0
10,Pennsylvania 12th District Special Election - Burns vs. Critz,Susquehanna,"Burns 38, Critz 44",Critz +6,2010-05-12,260.0,2010.0
11,Pennsylvania 12th District Special Election - Burns vs. Critz,PPP (D),"Critz 47, Burns 48",Burns +1,2010-05-17,309.0,2010.0
12,South Carolina 4th District - Republican Primary,PPP (D),"Gowdy 37, Inglis 33, Lee 9, Thomas 9, Jeffrey 5",Gowdy +4,2010-06-06,554.0,2010.0
13,North Carolina 2nd District - Ellmers vs. Etheridge vs. Rose,SurveyUSA,"Ellmers 39, Etheridge 38, Rose 13",Ellmers +1,2010-06-17,655.0,2010.0
14,Minnesota 6th District - Bachmann vs. Clark vs. Anderson,SurveyUSA,"Bachmann 48, Clark 39, Anderson 6",Bachmann +9,2010-07-13,850.0,2010.0
15,Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Titus 42, Heck 40",Titus +2,2010-07-18,910.0,2010.0
16,Virginia 5th District - Hurt vs. Perriello,SurveyUSA,"Hurt 58, Perriello 35",Hurt +23,2010-07-21,947.0,2010.0
17,Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 52, Griffith 39",Boucher +13,2010-07-22,963.0,2010.0
18,New Mexico 1st District - Barela vs. Heinrich,SurveyUSA,"Barela 51, Heinrich 45",Barela +6,2010-07-27,1000.0,2010.0
19,Kentucky 6th District - Barr vs. Chandler,CN|2/Braun Research,"Chandler 46, Barr 32",Chandler +14,2010-07-29,1032.0,2010.0
20,North Carolina 11th District - Miller vs. Shuler,SurveyUSA,"Shuler 45, Miller 44",Shuler +1,2010-08-02,1073.0,2010.0
21,Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Titus 43, Heck 42",Titus +1,2010-08-15,1188.0,2010.0
22,Virginia 5th District - Hurt vs. Perriello,AAF/Ayers (R),"Hurt 49, Perriello 43",Hurt +6,2010-08-16,1192.0,2010.0
23,New York 23rd District - Doheny vs. Owens,AAF/Ayers (R),"Owens 41, Doheny 39",Owens +2,2010-08-16,1206.0,2010.0
24,New York 25th District - Buerkle vs. Maffei,AAF/Ayers (R),"Maffei 44, Buerkle 41",Maffei +3,2010-08-16,1208.0,2010.0
25,Pennsylvania 3rd District - Kelly vs. Dahlkemper,AAF/Ayers (R),"Kelly 52, Dahlkemper 38",Kelly +14,2010-08-16,1209.0,2010.0
26,Pennsylvania 10th District - Marino vs. Carney,AAF/Ayers (R),"Marino 52, Carney 37",Marino +15,2010-08-16,1210.0,2010.0
27,Pennsylvania 11th District - Barletta vs. Kanjorski,AAF/Ayers (R),"Barletta 52, Kanjorski 41",Barletta +11,2010-08-16,1211.0,2010.0
28,Pennsylvania 12th District - Burns vs. Critz,AAF/Ayers (R),"Burns 44, Critz 40",Burns +4,2010-08-16,1212.0,2010.0
29,West Virginia 3rd District - Maynard vs. Rahall,AAF/Ayers (R),"Rahall 53, Maynard 37",Rahall +16,2010-08-16,1213.0,2010.0
30,New York 20th District - Gibson vs. Murphy,AAF/Ayers (R),"Murphy 45, Gibson 40",Murphy +5,2010-08-16,1214.0,2010.0
31,Washington 3rd District - Herrera vs. Heck,SurveyUSA,"Herrera 54, Heck 41",Herrera +13,2010-08-26,1311.0,2010.0
32,Virginia 5th District - Hurt vs. Perriello,SurveyUSA,"Hurt 61, Perriello 35",Hurt +26,2010-09-02,1360.0,2010.0
33,Nevada 3rd District - Heck vs. Titus,AAF/Ayers (R),"Titus 45, Heck 48",Heck +3,2010-09-02,1361.0,2010.0
34,Kentucky 3rd District - Lally vs. Yarmuth,SurveyUSA,"Yarmuth 47, Lally 45",Yarmuth +2,2010-09-03,1376.0,2010.0
35,Virginia 9th District - Griffith vs. Boucher,SurveyUSA,"Boucher 50, Griffith 40",Boucher +10,2010-09-03,1377.0,2010.0
36,Washington 8th District - Reichert vs. DelBene,SurveyUSA,"Reichert 54, DelBene 41",Reichert +13,2010-09-04,1383.0,2010.0
37,Washington 2nd District - Koster vs. Larsen,SurveyUSA,"Koster 50, Larsen 46",Koster +4,2010-09-04,1384.0,2010.0
38,Maine 2nd District - Michaud v. Levesque,PPP (D),"Michaud 45, Levesque 38",Michaud +7,2010-09-09,1425.0,2010.0
39,Maine 1st District - Scontras vs. Pingree,PPP (D),"Pingree 47, Scontras 38",Pingree +9,2010-09-09,1433.0,2010.0
40,Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Heck 43, Titus 47",Titus +4,2010-09-13,1454.0,2010.0
41,Nevada 3rd District - Heck vs. Titus,Las Vegas Review-Journal,"Titus 47, Heck 43",Titus +4,2010-09-13,1463.0,2010.0
42,California 20th District - Vidak vs. Costa,SurveyUSA,"Costa 48, Vidak 46",Costa +2,2010-09-15,1514.0,2010.0
43,Washington 3rd District - Herrera vs. Heck,SurveyUSA,"Herrera 52, Heck 43",Herrera +9,2010-09-16,1539.0,2010.0
44,Michigan 9th District - Raczkowski vs. Peters,Rossman Group (D),"Raczkowski 45, Peters 41",Raczkowski +4,2010-09-16,1540.0,2010.0
