,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
0,Arizona Senate - McSally vs. Sinema,ABC 15/OH Predictive Insights,"Sinema 41, McSally 47",McSally +6,2018-10-10,2018.0
1,Ohio Senate - Renacci vs. Brown,Suffolk,"Brown 54, Renacci 36",Brown +18,2018-10-10,2018.0
2,Rhode Island Senate - Flanders vs. Whitehouse,UNH,"Whitehouse 57, Flanders 33",Whitehouse +24,2018-10-10,2018.0
3,Connecticut Senate - Corey vs. Murphy,Quinnipiac,"Murphy 57, Corey 42",Murphy +15,2018-10-10,2018.0
4,Nevada Senate - Heller vs. Rosen,NBC News/Marist,"Rosen 44, Heller 46",Heller +2,2018-10-09,2018.0
5,Texas Senate - Cruz vs. O'Rourke,Emerson*,"Cruz 47, O'Rourke 42",Cruz +5,2018-10-08,2018.0
6,Arizona Senate - McSally vs. Sinema,CBS News/YouGov,"Sinema 47, McSally 44",Sinema +3,2018-10-07,2018.0
7,Tennessee Senate - Blackburn vs. Bredesen,CBS News/YouGov,"Blackburn 50, Bredesen 42",Blackburn +8,2018-10-07,2018.0
8,Texas Senate - Cruz vs. O'Rourke,CBS News/YouGov,"Cruz 50, O'Rourke 44",Cruz +6,2018-10-07,2018.0
9,New Jersey Senate - Hugin vs. Menendez,CBS News/YouGov,"Menendez 49, Hugin 39",Menendez +10,2018-10-07,2018.0
10,Florida Senate - Scott vs. Nelson,Mason-Dixon,"Nelson 47, Scott 46",Nelson +1,2018-10-04,2018.0
11,Tennessee Senate - Blackburn vs. Bredesen,FOX News,"Blackburn 48, Bredesen 43",Blackburn +5,2018-10-04,2018.0
12,Indiana Senate - Braun vs. Donnelly vs. Brenton,FOX News,"Donnelly 43, Braun 41, Brenton 6",Donnelly +2,2018-10-04,2018.0
13,Missouri Senate - Hawley vs. McCaskill,FOX News,"Hawley 46, McCaskill 46",Tie,2018-10-04,2018.0
14,North Dakota Senate - Cramer vs. Heitkamp,FOX News,"Cramer 53, Heitkamp 41",Cramer +12,2018-10-04,2018.0
15,Arizona Senate - McSally vs. Sinema,FOX News,"Sinema 47, McSally 45",Sinema +2,2018-10-04,2018.0
16,Michigan Senate - James vs. Stabenow,Detroit News/WDIV-TV,"Stabenow 53, James 35",Stabenow +18,2018-10-04,2018.0
17,Arizona Senate - McSally vs. Sinema,Suffolk*,"Sinema 45, McSally 42",Sinema +3,2018-10-03,2018.0
18,New Jersey Senate - Hugin vs. Menendez,Quinnipiac,"Menendez 53, Hugin 42",Menendez +11,2018-10-03,2018.0
19,New Jersey Senate - Hugin vs. Menendez,Fairleigh Dickinson,"Menendez 43, Hugin 37",Menendez +6,2018-10-03,2018.0
20,New York Senate - Farley vs. Gillibrand,Siena,"Gillibrand 61, Farley 29",Gillibrand +32,2018-10-03,2018.0
21,Florida Senate - Scott vs. Nelson,WCTV-TV,"Nelson 45, Scott 44",Nelson +1,2018-10-02,2018.0
22,West Virginia Senate - Morrisey vs. Manchin,WSAZ-TV*,"Manchin 46, Morrisey 38",Manchin +8,2018-10-02,2018.0
23,North Dakota Senate - Cramer vs. Heitkamp,NBC Valley News,"Cramer 51, Heitkamp 41",Cramer +10,2018-10-02,2018.0
24,Nevada Senate - Heller vs. Rosen,CNN*,"Rosen 47, Heller 43",Rosen +4,2018-10-01,2018.0
25,New Jersey Senate - Hugin vs. Menendez,Stockton University*,"Menendez 45, Hugin 43",Menendez +2,2018-10-01,2018.0
26,Missouri Senate - Hawley vs. McCaskill,CNN*,"Hawley 44, McCaskill 47",McCaskill +3,2018-10-01,2018.0
27,Missouri Senate - Hawley vs. McCaskill,Missouri Scout*,"Hawley 48, McCaskill 46",Hawley +2,2018-09-29,2018.0
28,Pennsylvania Senate - Barletta vs. Casey,Franklin & Marshall*,"Casey 50, Barletta 33",Casey +17,2018-09-27,2018.0
29,Michigan Senate - James vs. Stabenow,EPIC-MRA,"Stabenow 56, James 33",Stabenow +23,2018-09-27,2018.0
30,California Senate - Feinstein vs. de Leon,PPIC,"Feinstein 40, Leon 29",Feinstein +11,2018-09-27,2018.0
31,Delaware Senate - Arlett vs. Carper,University of Delaware*,"Carper 61, Arlett 24",Carper +37,2018-09-27,2018.0
32,Ohio Senate - Renacci vs. Brown,NBC News/Marist,"Brown 52, Renacci 39",Brown +13,2018-09-26,2018.0
33,Florida Senate - Scott vs. Nelson,NBC News/Marist,"Nelson 48, Scott 45",Nelson +3,2018-09-25,2018.0
34,Florida Senate - Scott vs. Nelson,Quinnipiac,"Nelson 53, Scott 46",Nelson +7,2018-09-25,2018.0
35,Arizona Senate - McSally vs. Sinema,NBC News/Marist,"Sinema 48, McSally 45",Sinema +3,2018-09-25,2018.0
36,Montana Senate - Rosendale vs. Tester,Gravis,"Tester 49, Rosendale 45",Tester +4,2018-09-25,2018.0
37,Massachusetts Senate - Diehl vs. Warren,WBUR/MassINC*,"Warren 56, Diehl 30",Warren +26,2018-09-25,2018.0
38,Florida Senate - Scott vs. Nelson,UNF,"Nelson 45, Scott 45",Tie,2018-09-24,2018.0
39,Arizona Senate - McSally vs. Sinema,Emerson*,"Sinema 45, McSally 39",Sinema +6,2018-09-24,2018.0
40,Pennsylvania Senate - Barletta vs. Casey,Morning Call*,"Casey 53, Barletta 35",Casey +18,2018-09-21,2018.0
41,Michigan Senate - James vs. Stabenow,Mitchell Research,"Stabenow 54, James 41",Stabenow +13,2018-09-21,2018.0
42,Rhode Island Senate - Flanders vs. Whitehouse,WPRI/Roger Williams,"Whitehouse 54, Flanders 35",Whitehouse +19,2018-09-21,2018.0
43,Florida Senate - Scott vs. Nelson,Florida Atlantic University,"Nelson 41, Scott 42",Scott +1,2018-09-19,2018.0
44,Pennsylvania Senate - Barletta vs. Casey,Rasmussen Reports,"Casey 52, Barletta 38",Casey +14,2018-09-19,2018.0
45,Massachusetts Senate - Diehl vs. Warren,Boston Globe/Suffolk*,"Warren 54, Diehl 24",Warren +30,2018-09-19,2018.0
46,Maryland Senate - Campbell vs. Cardin vs. Simon,Goucher College,"Cardin 56, Campbell 17, Simon 8",Cardin +39,2018-09-19,2018.0
47,Texas Senate - Cruz vs. O'Rourke,Quinnipiac,"Cruz 54, O'Rourke 45",Cruz +9,2018-09-18,2018.0
48,Wisconsin Senate - Vukmir vs. Baldwin,Marquette,"Baldwin 53, Vukmir 42",Baldwin +11,2018-09-18,2018.0
49,Michigan Senate - James vs. Stabenow,Target-Insyght/MIRS,"Stabenow 55, James 40",Stabenow +15,2018-09-18,2018.0
50,Virginia Senate - Stewart vs. Kaine,Univ. of Mary Washington,"Kaine 52, Stewart 36",Kaine +16,2018-09-18,2018.0
51,Arizona Senate - McSally vs. Sinema,CNN,"Sinema 50, McSally 43",Sinema +7,2018-09-17,2018.0
52,Missouri Senate - Hawley vs. McCaskill,Trafalgar Group (R),"Hawley 47, McCaskill 44",Hawley +3,2018-09-17,2018.0
53,Tennessee Senate - Blackburn vs. Bredesen,CNN,"Blackburn 45, Bredesen 50",Bredesen +5,2018-09-17,2018.0
54,Nevada Senate - Heller vs. Rosen,Gravis,"Rosen 47, Heller 45",Rosen +2,2018-09-17,2018.0
55,West Virginia Senate - Morrisey vs. Manchin,Emerson,"Manchin 45, Morrisey 33",Manchin +12,2018-09-17,2018.0
56,Minnesota Senate Special Election - Housley vs. Smith,Star Tribune/Mason-Dixon,"Smith 44, Housley 37",Smith +7,2018-09-17,2018.0
57,Minnesota Senate - Newberger vs. Klobuchar,Star Tribune/Mason-Dixon,"Klobuchar 60, Newberger 30",Klobuchar +30,2018-09-17,2018.0
58,Missouri Senate - Hawley vs. McCaskill,CBS News/YouGov,"Hawley 45, McCaskill 45",Tie,2018-09-16,2018.0
59,Montana Senate - Rosendale vs. Tester,CBS News/YouGov,"Tester 47, Rosendale 45",Tester +2,2018-09-16,2018.0
60,Texas Senate - Cruz vs. O'Rourke,CBS 11/Dixie Strategies,"Cruz 46, O'Rourke 42",Cruz +4,2018-09-16,2018.0
61,New Mexico Senate - Rich vs. Heinrich vs. Johnson,Albuquerque Journal,"Heinrich 47, Rich 26, Johnson 16",Heinrich +21,2018-09-15,2018.0
62,North Dakota Senate - Cramer vs. Heitkamp,FOX News,"Cramer 48, Heitkamp 44",Cramer +4,2018-09-13,2018.0
63,Minnesota Senate Special Election - Housley vs. Smith,KSTP/SurveyUSA,"Smith 48, Housley 39",Smith +9,2018-09-13,2018.0
