Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year
Florida Senate - Rubio vs. Meek vs. Crist,Quinnipiac,"Crist 32, Rubio 30, Meek 24",Crist +2,2010-04-15,2010
Arkansas Senate - Boozman vs. Lincoln,R2000/Daily Kos (D),"Boozman 50, Lincoln 43",Boozman +7,2010-04-15,2010
Arkansas Senate - Boozman vs. Halter,R2000/Daily Kos (D),"Boozman 48, Halter 41",Boozman +7,2010-04-15,2010
Florida Senate - Rubio vs. Meek,Quinnipiac,"Rubio 42, Meek 38",Rubio +4,2010-04-15,2010
Florida Senate - Republican Primary,Quinnipiac,"Rubio 56, Crist 33",Rubio +23,2010-04-15,2010
Arkansas Senate - Democratic Primary,R2000/Daily Kos (D),"Lincoln 45, Halter 33",Lincoln +12,2010-04-15,2010
Florida Senate - Crist vs. Meek,Quinnipiac,"Crist 48, Meek 34",Crist +14,2010-04-15,2010
Arizona Senate - Republican Primary,Rasmussen Reports,"McCain 47, Hayworth 42",McCain +5,2010-04-16,2010
Nevada Senate - Lowden vs. Reid,LVRJ/Mason-Dixon,"Lowden 47, Reid 37",Lowden +10,2010-04-16,2010
New York Senate - DioGuardi vs. Gillibrand,Siena,"Gillibrand 46, DioGuardi 27",Gillibrand +19,2010-04-18,2010
Indiana Senate - Coats vs. Ellsworth,Rasmussen Reports,"Coats 54, Ellsworth 33",Coats +21,2010-04-19,2010
Indiana Senate - Hostettler vs. Ellsworth,Rasmussen Reports,"Hostettler 50, Ellsworth 33",Hostettler +17,2010-04-19,2010
New Hampshire Senate - Ayotte vs. Hodes,PPP (D),"Ayotte 47, Hodes 40",Ayotte +7,2010-04-20,2010
North Carolina Senate - Burr vs. Marshall,Rasmussen Reports,"Burr 50, Marshall 32",Burr +18,2010-04-21,2010
North Carolina Senate - Burr vs. Cunningham,Rasmussen Reports,"Burr 53, Cunningham 31",Burr +22,2010-04-21,2010
New Hampshire Senate - Republican Primary,PPP (D),"Ayotte 43, Binnie 19, Bender 11, Lamontagne 5",Ayotte +24,2010-04-21,2010
Florida Senate - Rubio vs. Meek vs. Crist,Rasmussen Reports,"Crist 30, Rubio 37, Meek 22",Rubio +7,2010-04-22,2010
Wisconsin Senate - Feingold vs. Wall,Rasmussen Reports,"Feingold 49, Wall 43",Feingold +6,2010-04-22,2010
Wisconsin Senate - Feingold vs. Westlake,Rasmussen Reports,"Feingold 49, Westlake 38",Feingold +11,2010-04-22,2010
California Senate - Republican Primary,SurveyUSA,"Campbell 34, Fiorina 27, DeVore 14",Campbell +7,2010-04-22,2010
California Senate - Republican Primary,Capitol Weekly/Probolsky (R),"Campbell 31, Fiorina 17, DeVore 14",Campbell +14,2010-04-22,2010
Georgia Senate - Isakson vs. Thurmond,Rasmussen Reports,"Isakson 51, Thurmond 35",Isakson +16,2010-04-23,2010
Washington Senate - Widener vs. Murray,SurveyUSA,"Murray 45, Widener 43",Murray +2,2010-04-24,2010
Washington Senate - Didier vs. Murray,SurveyUSA,"Murray 46, Didier 44",Murray +2,2010-04-24,2010
Washington Senate - Benton vs. Murray,SurveyUSA,"Murray 46, Benton 44",Murray +2,2010-04-24,2010
Washington Senate - Rossi vs. Murray,SurveyUSA,"Murray 42, Rossi 52",Rossi +10,2010-04-24,2010
North Dakota Senate - Hoeven vs. Potter,Rasmussen Reports,"Hoeven 69, Potter 24",Hoeven +45,2010-04-27,2010
North Carolina Senate - Democratic Primary,PPP (D),"Marshall 26, Cunningham 23, Lewis 7",Marshall +3,2010-04-27,2010
North Carolina Senate - Democratic Primary,SurveyUSA,"Marshall 23, Cunningham 19, Lewis 10",Marshall +4,2010-04-27,2010
Arizona Senate - Hayworth vs. Glassman,Behavior Research Center,"Hayworth 37, Glassman 30",Hayworth +7,2010-04-28,2010
Arizona Senate - McCain vs. Glassman,Behavior Research Center,"McCain 46, Glassman 24",McCain +22,2010-04-28,2010
Arizona Senate - Republican Primary,Behavior Research Center,"McCain 54, Hayworth 28",McCain +26,2010-04-28,2010
Arizona Senate - Hayworth vs. Glassman,PPP (D),"Hayworth 39, Glassman 42",Glassman +3,2010-04-28,2010
Arizona Senate - McCain vs. Glassman,PPP (D),"McCain 49, Glassman 33",McCain +16,2010-04-28,2010
Ohio Senate - Democratic Primary,Quinnipiac,"Fisher 41, Brunner 24",Fisher +17,2010-04-28,2010
Nevada Senate - Lowden vs. Reid,Rasmussen Reports,"Lowden 52, Reid 39",Lowden +13,2010-04-29,2010
Indiana Senate - Republican Primary,Downs Center/SUSA,"Coats 36, Hostettler 24, Stutzman 18",Coats +12,2010-04-29,2010
Indiana Senate - Coats vs. Ellsworth,Downs Center/SUSA,"Coats 47, Ellsworth 31",Coats +16,2010-04-29,2010
Indiana Senate - Hostettler vs. Ellsworth,Downs Center/SUSA,"Hostettler 45, Ellsworth 32",Hostettler +13,2010-04-29,2010
Arkansas Senate - Boozman vs. Lincoln,Rasmussen Reports,"Boozman 57, Lincoln 29",Boozman +28,2010-04-29,2010
Arkansas Senate - Boozman vs. Halter,Rasmussen Reports,"Boozman 56, Halter 31",Boozman +25,2010-04-29,2010
Ohio Senate - Portman vs. Fisher,Quinnipiac,"Fisher 40, Portman 37",Fisher +3,2010-04-29,2010
Ohio Senate - Portman vs. Brunner,Quinnipiac,"Portman 36, Brunner 40",Brunner +4,2010-04-29,2010
Arizona Senate - Republican Primary,PPP (D),"McCain 46, Hayworth 35",McCain +11,2010-04-29,2010
Arkansas Senate - Democratic Primary,R2000/Daily Kos (D),"Lincoln 43, Halter 35",Lincoln +8,2010-04-29,2010
Arkansas Senate - Boozman vs. Lincoln,R2000/Daily Kos (D),"Boozman 52, Lincoln 42",Boozman +10,2010-04-29,2010
Arkansas Senate - Boozman vs. Halter,R2000/Daily Kos (D),"Boozman 47, Halter 42",Boozman +5,2010-04-29,2010
Nevada Senate - Republican Primary,R2000/Daily Kos (D),"Lowden 38, Angle 13, Tarkanian 28",Lowden +10,2010-04-29,2010
Nevada Senate - Tarkanian vs. Reid,Rasmussen Reports,"Tarkanian 51, Reid 41",Tarkanian +10,2010-04-29,2010
New Hampshire Senate - Ayotte vs. Hodes,WMUR/UNH,"Ayotte 47, Hodes 32",Ayotte +15,2010-04-30,2010
Illinois Senate - Giannoulias vs. Kirk,Rasmussen Reports,"Kirk 46, Giannoulias 38",Kirk +8,2010-04-30,2010
Ohio Senate - Democratic Primary,Suffolk University,"Fisher 55, Brunner 27",Fisher +28,2010-04-30,2010
Delaware Senate - Castle vs. Coons,Rasmussen Reports,"Castle 55, Coons 32",Castle +23,2010-04-30,2010
North Carolina Senate - Democratic Primary,PPP (D),"Marshall 28, Cunningham 21, Lewis 9",Marshall +7,2010-05-02,2010
Iowa Senate - Grassley vs. Conlin,Rasmussen Reports,"Grassley 53, Conlin 40",Grassley +13,2010-05-03,2010
Kentucky Senate - Paul vs. Conway,Rasmussen Reports,"Paul 47, Conway 38",Paul +9,2010-05-03,2010
Pennsylvania Senate - Democratic Primary,Morning Call Tracking,"Sestak 42, Specter 48",Specter +6,2010-05-03,2010
Ohio Senate - Democratic Primary,Quinnipiac,"Fisher 43, Brunner 23",Fisher +20,2010-05-03,2010
Kentucky Senate - Grayson vs. Conway,Rasmussen Reports,"Grayson 43, Conway 38",Grayson +5,2010-05-03,2010
Kentucky Senate - Grayson vs. Mongiardo,Rasmussen Reports,"Grayson 45, Mongiardo 31",Grayson +14,2010-05-03,2010
Kentucky Senate - Paul vs. Mongiardo,Rasmussen Reports,"Paul 48, Mongiardo 32",Paul +16,2010-05-03,2010
Kentucky Senate - Democratic Primary,PPP (D),"Mongiardo 36, Conway 27",Mongiardo +9,2010-05-04,2010
Florida Senate - Rubio vs. Meek vs. Crist,Rasmussen Reports,"Crist 38, Rubio 34, Meek 17",Crist +4,2010-05-04,2010
Missouri Senate - Blunt vs. Carnahan,Rasmussen Reports,"Blunt 50, Carnahan 42",Blunt +8,2010-05-04,2010
Pennsylvania Senate - Democratic Primary,Quinnipiac,"Sestak 39, Specter 47",Specter +8,2010-05-04,2010
Kentucky Senate - Democratic Primary,PPP (D),"Conway 27, Mongiardo 36",Mongiardo +9,2010-05-04,2010
Kentucky Senate - Republican Primary,PPP (D),"Paul 46, Grayson 28",Paul +18,2010-05-04,2010
Louisiana Senate - Vitter vs. Melancon,SMOR/Grigsby (R),"Vitter 49, Melancon 31",Vitter +18,2010-05-04,2010
