,race_name,race_type,state,top_candidates,pollster,poll_results,poll_leader,poll_spread,date,winner,district
0,florida senate,senate,FL,"['crist', 'rubio']",quinnipiac,"{'crist': 32.0, 'rubio': 30.0, 'meek': 24.0}",crist,2.0,2010-04-15,rubio,0
1,arkansas senate,senate,AR,"['boozman', 'lincoln']",r2000/daily kos (d),"{'boozman': 50.0, 'lincoln': 43.0}",boozman,7.0,2010-04-15,boozman,0
2,arkansas senate,senate,AR,"['boozman', 'halter']",r2000/daily kos (d),"{'boozman': 48.0, 'halter': 41.0}",boozman,7.0,2010-04-15,boozman,0
3,florida senate,senate,FL,"['rubio', 'meek']",quinnipiac,"{'rubio': 42.0, 'meek': 38.0}",rubio,4.0,2010-04-15,rubio,0
4,florida senate,senate,FL,"['rubio', 'crist']",quinnipiac,"{'rubio': 56.0, 'crist': 33.0}",rubio,23.0,2010-04-15,rubio,0
5,arkansas senate,senate,AR,"['lincoln', 'halter']",r2000/daily kos (d),"{'lincoln': 45.0, 'halter': 33.0}",lincoln,12.0,2010-04-15,<BLANK>,0
6,florida senate,senate,FL,"['crist', 'meek']",quinnipiac,"{'crist': 48.0, 'meek': 34.0}",crist,14.0,2010-04-15,<BLANK>,0
7,arizona senate,senate,AZ,"['mccain', 'hayworth']",rasmussen reports,"{'mccain': 47.0, 'hayworth': 42.0}",mccain,5.0,2010-04-16,mccain,0
8,nevada senate,senate,NV,"['lowden', 'reid']",lvrj/mason-dixon,"{'lowden': 47.0, 'reid': 37.0}",lowden,10.0,2010-04-16,reid,0
9,new york senate,senate,NY,"['gillibrand', 'dioguardi']",siena,"{'gillibrand': 46.0, 'dioguardi': 27.0}",gillibrand,19.0,2010-04-18,gillibrand,0
10,indiana senate,senate,IN,"['coats', 'ellsworth']",rasmussen reports,"{'coats': 54.0, 'ellsworth': 33.0}",coats,21.0,2010-04-19,coats,0
11,indiana senate,senate,IN,"['hostettler', 'ellsworth']",rasmussen reports,"{'hostettler': 50.0, 'ellsworth': 33.0}",hostettler,17.0,2010-04-19,<BLANK>,0
12,new hampshire senate,senate,NH,"['ayotte', 'hodes']",ppp (d),"{'ayotte': 47.0, 'hodes': 40.0}",ayotte,7.0,2010-04-20,ayotte,0
13,north carolina senate,senate,NC,"['burr', 'marshall']",rasmussen reports,"{'burr': 50.0, 'marshall': 32.0}",burr,18.0,2010-04-21,burr,0
14,north carolina senate,senate,NC,"['burr', 'cunningham']",rasmussen reports,"{'burr': 53.0, 'cunningham': 31.0}",burr,22.0,2010-04-21,burr,0
15,new hampshire senate,senate,NH,"['ayotte', 'binnie']",ppp (d),"{'ayotte': 43.0, 'binnie': 19.0, 'bender': 11.0, 'lamontagne': 5.0}",ayotte,24.0,2010-04-21,ayotte,0
16,florida senate,senate,FL,"['rubio', 'crist']",rasmussen reports,"{'crist': 30.0, 'rubio': 37.0, 'meek': 22.0}",rubio,7.0,2010-04-22,rubio,0
17,wisconsin senate,senate,WI,"['feingold', 'wall']",rasmussen reports,"{'feingold': 49.0, 'wall': 43.0}",feingold,6.0,2010-04-22,<BLANK>,0
18,wisconsin senate,senate,WI,"['feingold', 'westlake']",rasmussen reports,"{'feingold': 49.0, 'westlake': 38.0}",feingold,11.0,2010-04-22,<BLANK>,0
19,california senate,senate,CA,"['campbell', 'fiorina']",surveyusa,"{'campbell': 34.0, 'fiorina': 27.0, 'devore': 14.0}",campbell,7.0,2010-04-22,<BLANK>,0
20,california senate,senate,CA,"['campbell', 'fiorina']",capitol weekly/probolsky (r),"{'campbell': 31.0, 'fiorina': 17.0, 'devore': 14.0}",campbell,14.0,2010-04-22,<BLANK>,0
21,georgia senate,senate,GA,"['isakson', 'thurmond']",rasmussen reports,"{'isakson': 51.0, 'thurmond': 35.0}",isakson,16.0,2010-04-23,isakson,0
22,washington senate,senate,WA,"['murray', 'widener']",surveyusa,"{'murray': 45.0, 'widener': 43.0}",murray,2.0,2010-04-24,murray,0
23,washington senate,senate,WA,"['murray', 'didier']",surveyusa,"{'murray': 46.0, 'didier': 44.0}",murray,2.0,2010-04-24,murray,0
24,washington senate,senate,WA,"['murray', 'benton']",surveyusa,"{'murray': 46.0, 'benton': 44.0}",murray,2.0,2010-04-24,murray,0
25,washington senate,senate,WA,"['rossi', 'murray']",surveyusa,"{'murray': 42.0, 'rossi': 52.0}",rossi,10.0,2010-04-24,murray,0
26,north dakota senate,senate,ND,"['hoeven', 'potter']",rasmussen reports,"{'hoeven': 69.0, 'potter': 24.0}",hoeven,45.0,2010-04-27,hoeven,0
27,north carolina senate,senate,NC,"['marshall', 'cunningham']",ppp (d),"{'marshall': 26.0, 'cunningham': 23.0, 'lewis': 7.0}",marshall,3.0,2010-04-27,<BLANK>,0
28,north carolina senate,senate,NC,"['marshall', 'cunningham']",surveyusa,"{'marshall': 23.0, 'cunningham': 19.0, 'lewis': 10.0}",marshall,4.0,2010-04-27,<BLANK>,0
29,arizona senate,senate,AZ,"['hayworth', 'glassman']",behavior research center,"{'hayworth': 37.0, 'glassman': 30.0}",hayworth,7.0,2010-04-28,<BLANK>,0
30,arizona senate,senate,AZ,"['mccain', 'glassman']",behavior research center,"{'mccain': 46.0, 'glassman': 24.0}",mccain,22.0,2010-04-28,mccain,0
31,arizona senate,senate,AZ,"['mccain', 'hayworth']",behavior research center,"{'mccain': 54.0, 'hayworth': 28.0}",mccain,26.0,2010-04-28,mccain,0
32,arizona senate,senate,AZ,"['glassman', 'hayworth']",ppp (d),"{'hayworth': 39.0, 'glassman': 42.0}",glassman,3.0,2010-04-28,<BLANK>,0
33,arizona senate,senate,AZ,"['mccain', 'glassman']",ppp (d),"{'mccain': 49.0, 'glassman': 33.0}",mccain,16.0,2010-04-28,mccain,0
34,ohio senate,senate,OH,"['fisher', 'brunner']",quinnipiac,"{'fisher': 41.0, 'brunner': 24.0}",fisher,17.0,2010-04-28,<BLANK>,0
35,nevada senate,senate,NV,"['lowden', 'reid']",rasmussen reports,"{'lowden': 52.0, 'reid': 39.0}",lowden,13.0,2010-04-29,reid,0
36,indiana senate,senate,IN,"['coats', 'hostettler']",downs center/susa,"{'coats': 36.0, 'hostettler': 24.0, 'stutzman': 18.0}",coats,12.0,2010-04-29,coats,0
37,indiana senate,senate,IN,"['coats', 'ellsworth']",downs center/susa,"{'coats': 47.0, 'ellsworth': 31.0}",coats,16.0,2010-04-29,coats,0
38,indiana senate,senate,IN,"['hostettler', 'ellsworth']",downs center/susa,"{'hostettler': 45.0, 'ellsworth': 32.0}",hostettler,13.0,2010-04-29,<BLANK>,0
39,arkansas senate,senate,AR,"['boozman', 'lincoln']",rasmussen reports,"{'boozman': 57.0, 'lincoln': 29.0}",boozman,28.0,2010-04-29,boozman,0
40,arkansas senate,senate,AR,"['boozman', 'halter']",rasmussen reports,"{'boozman': 56.0, 'halter': 31.0}",boozman,25.0,2010-04-29,boozman,0
41,ohio senate,senate,OH,"['fisher', 'portman']",quinnipiac,"{'fisher': 40.0, 'portman': 37.0}",fisher,3.0,2010-04-29,portman,0
42,ohio senate,senate,OH,"['brunner', 'portman']",quinnipiac,"{'portman': 36.0, 'brunner': 40.0}",brunner,4.0,2010-04-29,portman,0
43,arizona senate,senate,AZ,"['mccain', 'hayworth']",ppp (d),"{'mccain': 46.0, 'hayworth': 35.0}",mccain,11.0,2010-04-29,mccain,0
44,arkansas senate,senate,AR,"['lincoln', 'halter']",r2000/daily kos (d),"{'lincoln': 43.0, 'halter': 35.0}",lincoln,8.0,2010-04-29,<BLANK>,0
45,arkansas senate,senate,AR,"['boozman', 'lincoln']",r2000/daily kos (d),"{'boozman': 52.0, 'lincoln': 42.0}",boozman,10.0,2010-04-29,boozman,0
46,arkansas senate,senate,AR,"['boozman', 'halter']",r2000/daily kos (d),"{'boozman': 47.0, 'halter': 42.0}",boozman,5.0,2010-04-29,boozman,0
47,nevada senate,senate,NV,"['lowden', 'tarkanian']",r2000/daily kos (d),"{'lowden': 38.0, 'angle': 13.0, 'tarkanian': 28.0}",lowden,10.0,2010-04-29,<BLANK>,0
48,nevada senate,senate,NV,"['tarkanian', 'reid']",rasmussen reports,"{'tarkanian': 51.0, 'reid': 41.0}",tarkanian,10.0,2010-04-29,reid,0
49,new hampshire senate,senate,NH,"['ayotte', 'hodes']",wmur/unh,"{'ayotte': 47.0, 'hodes': 32.0}",ayotte,15.0,2010-04-30,ayotte,0
50,illinois senate,senate,IL,"['kirk', 'giannoulias']",rasmussen reports,"{'kirk': 46.0, 'giannoulias': 38.0}",kirk,8.0,2010-04-30,kirk,0
51,ohio senate,senate,OH,"['fisher', 'brunner']",suffolk university,"{'fisher': 55.0, 'brunner': 27.0}",fisher,28.0,2010-04-30,<BLANK>,0
52,delaware senate,senate,DE,"['castle', 'coons']",rasmussen reports,"{'castle': 55.0, 'coons': 32.0}",castle,23.0,2010-04-30,coons,0
53,north carolina senate,senate,NC,"['marshall', 'cunningham']",ppp (d),"{'marshall': 28.0, 'cunningham': 21.0, 'lewis': 9.0}",marshall,7.0,2010-05-02,<BLANK>,0
54,iowa senate,senate,IA,"['grassley', 'conlin']",rasmussen reports,"{'grassley': 53.0, 'conlin': 40.0}",grassley,13.0,2010-05-03,grassley,0
55,kentucky senate,senate,KY,"['paul', 'conway']",rasmussen reports,"{'paul': 47.0, 'conway': 38.0}",paul,9.0,2010-05-03,paul,0
56,pennsylvania senate,senate,PA,"['specter', 'sestak']",morning call tracking,"{'sestak': 42.0, 'specter': 48.0}",specter,6.0,2010-05-03,<BLANK>,0
57,ohio senate,senate,OH,"['fisher', 'brunner']",quinnipiac,"{'fisher': 43.0, 'brunner': 23.0}",fisher,20.0,2010-05-03,<BLANK>,0
58,kentucky senate,senate,KY,"['grayson', 'conway']",rasmussen reports,"{'grayson': 43.0, 'conway': 38.0}",grayson,5.0,2010-05-03,<BLANK>,0
59,kentucky senate,senate,KY,"['grayson', 'mongiardo']",rasmussen reports,"{'grayson': 45.0, 'mongiardo': 31.0}",grayson,14.0,2010-05-03,<BLANK>,0
60,kentucky senate,senate,KY,"['paul', 'mongiardo']",rasmussen reports,"{'paul': 48.0, 'mongiardo': 32.0}",paul,16.0,2010-05-03,paul,0
61,kentucky senate,senate,KY,"['mongiardo', 'conway']",ppp (d),"{'mongiardo': 36.0, 'conway': 27.0}",mongiardo,9.0,2010-05-04,<BLANK>,0
62,florida senate,senate,FL,"['crist', 'rubio']",rasmussen reports,"{'crist': 38.0, 'rubio': 34.0, 'meek': 17.0}",crist,4.0,2010-05-04,rubio,0
63,missouri senate,senate,MO,"['blunt', 'carnahan']",rasmussen reports,"{'blunt': 50.0, 'carnahan': 42.0}",blunt,8.0,2010-05-04,blunt,0
64,pennsylvania senate,senate,PA,"['specter', 'sestak']",quinnipiac,"{'sestak': 39.0, 'specter': 47.0}",specter,8.0,2010-05-04,<BLANK>,0
65,kentucky senate,senate,KY,"['mongiardo', 'conway']",ppp (d),"{'conway': 27.0, 'mongiardo': 36.0}",mongiardo,9.0,2010-05-04,<BLANK>,0
66,kentucky senate,senate,KY,"['paul', 'grayson']",ppp (d),"{'paul': 46.0, 'grayson': 28.0}",paul,18.0,2010-05-04,paul,0
