date,WhiteHouseParty
01/01/2010,r
01/02/2010,r
01/03/2010,r
01/04/2010,r
01/05/2010,r
01/06/2010,r
01/07/2010,r
01/08/2010,r
01/09/2010,r
01/10/2010,r
01/11/2010,r
01/12/2010,r
01/13/2010,r
01/14/2010,r
01/15/2010,r
01/16/2010,r
01/17/2010,r
01/18/2010,r
01/19/2010,r
01/20/2010,r
01/21/2010,r
01/22/2010,r
01/23/2010,r
01/24/2010,r
01/25/2010,r
01/26/2010,r
01/27/2010,r
01/28/2010,r
01/29/2010,r
01/30/2010,r
01/31/2010,r
02/01/2010,r
02/02/2010,r
02/03/2010,r
02/04/2010,r
02/05/2010,r
02/06/2010,r
02/07/2010,r
02/08/2010,r
02/09/2010,r
02/10/2010,r
02/11/2010,r
02/12/2010,r
02/13/2010,r
02/14/2010,r
02/15/2010,r
02/16/2010,r
02/17/2010,r
02/18/2010,r
02/19/2010,r
02/20/2010,r
02/21/2010,r
02/22/2010,r
02/23/2010,r
02/24/2010,r
02/25/2010,r
02/26/2010,r
02/27/2010,r
02/28/2010,r
03/01/2010,r
03/02/2010,r
03/03/2010,r
03/04/2010,r
03/05/2010,r
03/06/2010,r
03/07/2010,r
03/08/2010,r
03/09/2010,r
03/10/2010,r
03/11/2010,r
03/12/2010,r
03/13/2010,r
03/14/2010,r
03/15/2010,r
03/16/2010,r
03/17/2010,r
03/18/2010,r
03/19/2010,r
03/20/2010,r
03/21/2010,r
03/22/2010,r
03/23/2010,r
03/24/2010,r
03/25/2010,r
03/26/2010,r
03/27/2010,r
03/28/2010,r
03/29/2010,r
03/30/2010,r
03/31/2010,r
04/01/2010,r
04/02/2010,r
04/03/2010,r
04/04/2010,r
04/05/2010,r
04/06/2010,r
04/07/2010,r
04/08/2010,r
04/09/2010,r
04/10/2010,r
04/11/2010,r
04/12/2010,r
04/13/2010,r
04/14/2010,r
04/15/2010,r
04/16/2010,r
04/17/2010,r
04/18/2010,r
04/19/2010,r
04/20/2010,r
04/21/2010,r
04/22/2010,r
04/23/2010,r
04/24/2010,r
04/25/2010,r
04/26/2010,r
04/27/2010,r
04/28/2010,r
04/29/2010,r
04/30/2010,r
05/01/2010,r
05/02/2010,r
05/03/2010,r
05/04/2010,r
05/05/2010,r
05/06/2010,r
05/07/2010,r
05/08/2010,r
05/09/2010,r
05/10/2010,r
05/11/2010,r
05/12/2010,r
05/13/2010,r
05/14/2010,r
05/15/2010,r
05/16/2010,r
05/17/2010,r
05/18/2010,r
05/19/2010,r
05/20/2010,r
05/21/2010,r
05/22/2010,r
05/23/2010,r
05/24/2010,r
