name,party,race_type,year,state
jo bonner,o,house,2010,AL
david walter,o,house,2010,AL
martha roby,o,house,2010,AL
bobby bright,o,house,2010,AL
mike rogers,o,house,2010,AL
steve segrest,o,house,2010,AL
robert aderholt,o,house,2010,AL
mo brooks,o,house,2010,AL
steve raby,o,house,2010,AL
spencer bachus,o,house,2010,AL
terri sewell,o,house,2010,AL
don chamberlain,o,house,2010,AL
don young,o,house,2010,AK
harry crawford,o,house,2010,AK
paul gosar,o,house,2010,AZ
ann kirkpatrick,o,house,2010,AZ
nicole patti,o,house,2010,AZ
trent franks,o,house,2010,AZ
john thrasher,o,house,2010,AZ
powell gammill,o,house,2010,AZ
ben quayle,o,house,2010,AZ
jon hulburd,o,house,2010,AZ
michael shoen,o,house,2010,AZ
leonard clark,o,house,2010,AZ
ed pastor,o,house,2010,AZ
janet contreras,o,house,2010,AZ
joe cobb,o,house,2010,AZ
rebecca dewitt,o,house,2010,AZ
david schweikert,o,house,2010,AZ
harry mitchell,o,house,2010,AZ
nick coons,o,house,2010,AZ
jeff flake,o,house,2010,AZ
rebecca schneider,o,house,2010,AZ
richard grayson,o,house,2010,AZ
darell tapp,o,house,2010,AZ
raul grijalva,o,house,2010,AZ
ruth mcclung,o,house,2010,AZ
harley meyer,o,house,2010,AZ
george keane,o,house,2010,AZ
gabrielle giffords,o,house,2010,AZ
jesse kelly,o,house,2010,AZ
steven stoltz,o,house,2010,AZ
rick crawford,o,house,2010,AR
chad causey,o,house,2010,AR
ken adler,o,house,2010,AR
tim griffin,o,house,2010,AR
joyce elliott,o,house,2010,AR
lance levi,o,house,2010,AR
lewis kennedy,o,house,2010,AR
steve womack,o,house,2010,AR
david whitaker,o,house,2010,AR
mike ross,o,house,2010,AR
beth anne rankin,o,house,2010,AR
joshua drake,o,house,2010,AR
mike thompson,o,house,2010,CA
loren hanks,o,house,2010,CA
carol wolman,o,house,2010,CA
mike rodrigues,o,house,2010,CA
wally herger,o,house,2010,CA
jim reed,o,house,2010,CA
dan lungren,o,house,2010,CA
ami bera,o,house,2010,CA
jerry leidecker,o,house,2010,CA
douglas arthur tuma,o,house,2010,CA
mike roskey,o,house,2010,CA
tom mcclintock,o,house,2010,CA
clint curtis,o,house,2010,CA
ben emery,o,house,2010,CA
doris matsui,o,house,2010,CA
paul smith,o,house,2010,CA
gerald allen frink,o,house,2010,CA
lynn woolsey,o,house,2010,CA
jim judd,o,house,2010,CA
eugene ruyle,o,house,2010,CA
joel smolen,o,house,2010,CA
george miller,o,house,2010,CA
rick tubbs,o,house,2010,CA
nancy pelosi,o,house,2010,CA
john dennis,o,house,2010,CA
gloria la riva,o,house,2010,CA
philip berg,o,house,2010,CA
barbara lee,o,house,2010,CA
gerald hashimoto,o,house,2010,CA
dave heller,o,house,2010,CA
james eyer,o,house,2010,CA
larry allen,o,house,2010,CA
john garamendi,o,house,2010,CA
gary clift,o,house,2010,CA
jeremy cloward,o,house,2010,CA
jerry mcnerney,o,house,2010,CA
david harmer,o,house,2010,CA
david christensen,o,house,2010,CA
jackie speier,o,house,2010,CA
mike moloney,o,house,2010,CA
mark paul williams,o,house,2010,CA
pete stark,o,house,2010,CA
forest baker,o,house,2010,CA
anna eshoo,o,house,2010,CA
dave chapman,o,house,2010,CA
paul lazaga,o,house,2010,CA
mike honda,o,house,2010,CA
scott kirkland,o,house,2010,CA
zoe lofgren,o,house,2010,CA
daniel sahagun,o,house,2010,CA
edward gonzalez,o,house,2010,CA
sam farr,o,house,2010,CA
jeff taylor,o,house,2010,CA
mary larkin,o,house,2010,CA
eric petersen,o,house,2010,CA
dennis cardoza,o,house,2010,CA
michael clarke berryhill,o,house,2010,CA
jeff denham,o,house,2010,CA
loraine goodwin,o,house,2010,CA
jim costa,o,house,2010,CA
andy vidak,o,house,2010,CA
devin nunes,o,house,2010,CA
kevin mccarthy,o,house,2010,CA
lois capps,o,house,2010,CA
tom watson,o,house,2010,CA
john hager,o,house,2010,CA
darrell stafford,o,house,2010,CA
elton gallegly,o,house,2010,CA
timothy allison,o,house,2010,CA
howard mckeon,o,house,2010,CA
jackie conaway,o,house,2010,CA
david dreier,o,house,2010,CA
russ warner,o,house,2010,CA
david miller,o,house,2010,CA
randall weissbuch,o,house,2010,CA
brad sherman,o,house,2010,CA
mark reed,o,house,2010,CA
howard berman,o,house,2010,CA
merlin froyd,o,house,2010,CA
carlos rodriguez,o,house,2010,CA
adam schiff,o,house,2010,CA
john colbert,o,house,2010,CA
william cushing,o,house,2010,CA
henry waxman,o,house,2010,CA
chuck wilkerson,o,house,2010,CA
erich miller,o,house,2010,CA
richard castaldo,o,house,2010,CA
xavier becerra,o,house,2010,CA
stephen smith,o,house,2010,CA
judy chu,o,house,2010,CA
ed schmerling,o,house,2010,CA
karen bass,o,house,2010,CA
james andion,o,house,2010,CA
lucille roybalallard,o,house,2010,CA
wayne miller,o,house,2010,CA
maxine waters,o,house,2010,CA
bruce brown,o,house,2010,CA
jane harman,o,house,2010,CA
mattie fein,o,house,2010,CA
herb peters,o,house,2010,CA
laura richardson,o,house,2010,CA
star parker,o,house,2010,CA
nicholas dibs,o,house,2010,CA
grace napolitano,o,house,2010,CA
robert vaughn,o,house,2010,CA
linda sanchez,o,house,2010,CA
larry andre,o,house,2010,CA
john smith,o,house,2010,CA
ed royce,o,house,2010,CA
christina avalos,o,house,2010,CA
jerry lewis,o,house,2010,CA
pat meagher,o,house,2010,CA
gary miller,o,house,2010,CA
michael williamson,o,house,2010,CA
mark lambert,o,house,2010,CA
joe baca,o,house,2010,CA
scott folkens,o,house,2010,CA
ken calvert,o,house,2010,CA
bill hedrick,o,house,2010,CA
mary bono mack,o,house,2010,CA
steve pougnet,o,house,2010,CA
bill lussenheide,o,house,2010,CA
dana rohrabacher,o,house,2010,CA
ken arnold,o,house,2010,CA
loretta sanchez,o,house,2010,CA
van tran,o,house,2010,CA
ceci iglesias,o,house,2010,CA
john campbell,o,house,2010,CA
beth krom,o,house,2010,CA
mike binkley,o,house,2010,CA
darrell issa,o,house,2010,CA
howard katz,o,house,2010,CA
dion clark,o,house,2010,CA
mike paster,o,house,2010,CA
brian bilbray,o,house,2010,CA
francine busby,o,house,2010,CA
lars grossmith,o,house,2010,CA
