name,party,race_type,year,state
 scott brown,r,senate,2010,MA
martha coakley,d,senate,2010,MA
 joseph l kennedy,o,senate,2010,MA
 chris coons,d,senate,2010,DE
christine odonnell,r,senate,2010,DE
glenn miller,o,senate,2010,DE
james rash,o,senate,2010,DE
 mark kirk,r,senate,2010,IL
alexi giannoulias,d,senate,2010,IL
lealan jones,o,senate,2010,IL
mike labino,o,senate,2010,IL
 kirsten gillibrand,d,senate,2010,NY
joseph dioguardi,r,senate,2010,NY
cecile lawrence,o,senate,2010,NY
joseph huff,o,senate,2010,NY
 joe manchin,d,senate,2010,WV
john raese,r,senate,2010,WV
jesse johnson,o,senate,2010,WV
jeff becker,o,senate,2010,WV
 richard shelby,r,senate,2010,AL
 william g barnes,d,senate,2010,AL
 lisa murkowski,r,senate,2010,AK
joe miller,r,senate,2010,AK
scott mcadams,d,senate,2010,AK
 john mccain,r,senate,2010,AZ
rodney glassman,d,senate,2010,AZ
david nolan,o,senate,2010,AZ
jerry joslyn,o,senate,2010,AZ
 john boozman,r,senate,2010,AR
blanche lincoln,d,senate,2010,AR
trevor drown,o,senate,2010,AR
john gray,o,senate,2010,AR
 barbara boxer,d,senate,2010,CA
carly fiorina,r,senate,2010,CA
gail lightfoot,o,senate,2010,CA
edward noonan,o,senate,2010,CA
duane roberts,o,senate,2010,CA
 michael bennet,d,senate,2010,CO
ken buck,r,senate,2010,CO
bob kinsey,o,senate,2010,CO
maclyn stringer,o,senate,2010,CO
 richard blumenthal,d,senate,2010,CT
linda mcmahon,r,senate,2010,CT
warren mosler,o,senate,2010,CT
john mertens,o,senate,2010,CT
 marco rubio,r,senate,2010,FL
charlie crist,o,senate,2010,FL
kendrick meek,d,senate,2010,FL
alexander snitker,o,senate,2010,FL
 johnny isakson,r,senate,2010,GA
michael thurmond,d,senate,2010,GA
chuck donovan,o,senate,2010,GA
 daniel inouye,d,senate,2010,HI
campbell cavasso,r,senate,2010,HI
james brewer,o,senate,2010,HI
jeff mallan,o,senate,2010,HI
 mike crapo,r,senate,2010,ID
 tom sullivan,d,senate,2010,ID
randy bergquist,o,senate,2010,ID
 mark kirk,r,senate,2010,IL
alexi giannoulias,d,senate,2010,IL
lealan jones,o,senate,2010,IL
mike labino,o,senate,2010,IL
 dan coats,r,senate,2010,IN
brad ellsworth,d,senate,2010,IN
rebecca sinkburris,o,senate,2010,IN
 chuck grassley,r,senate,2010,IA
 roxanne conlin,d,senate,2010,IA
john heiderscheit,o,senate,2010,IA
 jerry moran,r,senate,2010,KS
lisa johnston,d,senate,2010,KS
michael dann,o,senate,2010,KS
joe bellis,o,senate,2010,KS
 rand paul,r,senate,2010,KY
jack conway,d,senate,2010,KY
 david vitter,r,senate,2010,LA
charles melancon,d,senate,2010,LA
randall hayes,o,senate,2010,LA
michael brown,o,senate,2010,LA
 barbara mikulski,d,senate,2010,MD
eric wargotz,r,senate,2010,MD
kenniss henry,o,senate,2010,MD
richard shawver,o,senate,2010,MD
 roy blunt,r,senate,2010,MO
robin carnahan,d,senate,2010,MO
jonathan dine,o,senate,2010,MO
jerry beck,o,senate,2010,MO
 harry reid,d,senate,2010,NV
sharron angle,r,senate,2010,NV
scott ashjian,o,senate,2010,NV
 kelly ayotte,r,senate,2010,NH
paul hodes,d,senate,2010,NH
chris booth,o,senate,2010,NH
ken blevens,o,senate,2010,NH
 chuck schumer,d,senate,2010,NY
jay townsend,r,senate,2010,NY
colia clark,o,senate,2010,NY
randy credico,o,senate,2010,NY
 richard burr,r,senate,2010,NC
elaine marshall,d,senate,2010,NC
mike beitler,o,senate,2010,NC
 john hoeven,r,senate,2010,ND
tracy potter,d,senate,2010,ND
keith hanson,o,senate,2010,ND
 rob portman,r,senate,2010,OH
lee fisher,d,senate,2010,OH
eric deaton,o,senate,2010,OH
michael pryce,o,senate,2010,OH
 tom coburn,r,senate,2010,OK
jim rogers,d,senate,2010,OK
stephen wallace,o,senate,2010,OK
ronald dwyer,o,senate,2010,OK
 ron wyden,d,senate,2010,OR
jim huffman,r,senate,2010,OR
marc delphine,o,senate,2010,OR
rick staggenborg,o,senate,2010,OR
 pat toomey,r,senate,2010,PA
joe sestak,d,senate,2010,PA
 jim demint,r,senate,2010,SC
 alvin greene,d,senate,2010,SC
tom clements,o,senate,2010,SC
 john thune,r,senate,2010,SD
 mike lee,r,senate,2010,UT
sam granato,d,senate,2010,UT
scott bradley,o,senate,2010,UT
 patrick leahy,d,senate,2010,VT
len britton,r,senate,2010,VT
daniel freilich,o,senate,2010,VT
 cris ericson,o,senate,2010,VT
stephen cain,o,senate,2010,VT
 patty murray,d,senate,2010,WA
dino rossi,r,senate,2010,WA
 ron johnson,r,senate,2010,WI
russ feingold,d,senate,2010,WI
rob taylor,o,senate,2010,WI
 jeff flake,r,senate,2012,AZ
richard carmona,d,senate,2012,AZ
marc victor,o,senate,2012,AZ
 dianne feinstein,d,senate,2012,CA
elizabeth emken,r,senate,2012,CA
 chris murphy,d,senate,2012,CT
linda mcmahon,r,senate,2012,CT
paul passarelli,o,senate,2012,CT
 tom carper,d,senate,2012,DE
kevin wade,r,senate,2012,DE
alex pires,o,senate,2012,DE
andrew groff,o,senate,2012,DE
 bill nelson,d,senate,2012,FL
connie mack iv,r,senate,2012,FL
chris borgia,o,senate,2012,FL
bill gaylor,o,senate,2012,FL
 mazie hirono,d,senate,2012,HI
linda lingle,r,senate,2012,HI
 joe donnelly,d,senate,2012,IN
richard mourdock,r,senate,2012,IN
andrew horning,o,senate,2012,IN
 angus king,o,senate,2012,ME
charles e summers jr,r,senate,2012,ME
cynthia dill,d,senate,2012,ME
danny f dalton,o,senate,2012,ME
andrew ian dodge,o,senate,2012,ME
 ben cardin,d,senate,2012,MD
dan bongino,r,senate,2012,MD
rob sobhani,o,senate,2012,MD
dean ahmad,o,senate,2012,MD
 elizabeth warren,d,senate,2012,MA
scott brown,r,senate,2012,MA
 debbie stabenow,d,senate,2012,MI
pete hoekstra,r,senate,2012,MI
scotty boman,o,senate,2012,MI
harley mikkelson,r,senate,2012,MI
richard matkin,o,senate,2012,MI
 amy klobuchar,d,senate,2012,MN
kurt bills,r,senate,2012,MN
stephen williams,o,senate,2012,MN
tim davis,o,senate,2012,MN
 roger wicker,r,senate,2012,MS
albert n gore jr,d,senate,2012,MS
shawn ohara,o,senate,2012,MS
 claire mccaskill,d,senate,2012,MO
todd akin,r,senate,2012,MO
jonathan dine,o,senate,2012,MO
 jon tester,d,senate,2012,MT
denny rehberg,r,senate,2012,MT
dan cox,o,senate,2012,MT
 deb fischer,r,senate,2012,NE
bob kerrey,d,senate,2012,NE
 dean heller,r,senate,2012,NV
shelley berkley,d,senate,2012,NV
 bob menendez,d,senate,2012,NJ
joe kyrillos,r,senate,2012,NJ
ken kaplan,o,senate,2012,NJ
ken wolski,o,senate,2012,NJ
gavin bard,o,senate,2012,NJ
larry donahue,o,senate,2012,NJ
 martin heinrich,d,senate,2012,NM
