,Date,Poll,Race/Topic (Click to Sort),Results,Spread,Year
0,"Friday, October 12",NY Times/Siena,Tennessee Senate - Blackburn vs. Bredesen,"Blackburn 54, Bredesen 40",Blackburn +14,2018
1,"Friday, October 12",NY Times/Siena,Texas Senate - Cruz vs. O'Rourke,"Cruz 51, O'Rourke 43",Cruz +8,2018
2,"Friday, October 12",Atlanta Journal-Constitution*,Georgia Governor - Kemp vs. Abrams,"Kemp 48, Abrams 46",Kemp +2,2018
3,"Friday, October 12",Mason-Dixon,Florida 27th District - Salazar vs. Shalala,"Salazar 44, Shalala 42",Salazar +2,2018
4,"Friday, October 12",Rasmussen Reports,President Trump Job Approval,"Approve 49, Disapprove 50",Disapprove +1,2018
5,"Thursday, October 11",NY Times/Siena,Nevada Senate - Heller vs. Rosen,"Heller 47, Rosen 45",Heller +2,2018
6,"Thursday, October 11",NBC News/Marist,Wisconsin Senate - Vukmir vs. Baldwin,"Baldwin 54, Vukmir 40",Baldwin +14,2018
7,"Thursday, October 11",Mitchell Research,Michigan Senate - James vs. Stabenow,"Stabenow 51, James 42",Stabenow +9,2018
8,"Thursday, October 11",Quinnipiac,Texas Senate - Cruz vs. O'Rourke,"Cruz 54, O'Rourke 45",Cruz +9,2018
9,"Thursday, October 11",UMass Lowell*,Massachusetts Senate - Diehl vs. Warren,"Warren 56, Diehl 31",Warren +25,2018
10,"Thursday, October 11",Mitchell Research,Michigan Governor - Schuette vs. Whitmer,"Whitmer 46, Schuette 38",Whitmer +8,2018
11,"Thursday, October 11",NBC News/Marist,Wisconsin Governor - Walker vs. Evers,"Evers 53, Walker 43",Evers +10,2018
12,"Thursday, October 11",KFI-NBC 4,California Governor - Cox vs. Newsom,"Newsom 54, Cox 42",Newsom +12,2018
13,"Thursday, October 11",Quinnipiac,Texas Governor - Abbott vs. Valdez,"Abbott 58, Valdez 38",Abbott +20,2018
14,"Thursday, October 11",UMass Lowell,Massachusetts Governor - Baker vs. Gonzalez,"Baker 66, Gonzalez 27",Baker +39,2018
15,"Thursday, October 11",Elway Poll,Washington 8th District - Rossi vs. Schrier,"Rossi 49, Schrier 39",Rossi +10,2018
16,"Thursday, October 11",IBD/TIPP,Direction of Country,"Right Direction 45, Wrong Track 53",Wrong Track +8,2018
17,"Wednesday, October 10",ABC 15/OH Predictive Insights,Arizona Senate - McSally vs. Sinema,"Sinema 41, McSally 47",McSally +6,2018
18,"Wednesday, October 10",Marquette,Wisconsin Senate - Vukmir vs. Baldwin,"Baldwin 53, Vukmir 43",Baldwin +10,2018
19,"Wednesday, October 10",Suffolk,Ohio Senate - Renacci vs. Brown,"Brown 54, Renacci 36",Brown +18,2018
20,"Wednesday, October 10",NBC News/Marist,Minnesota Senate Special Election - Housley vs. Smith,"Smith 54, Housley 38",Smith +16,2018
21,"Wednesday, October 10",NBC News/Marist,Minnesota Senate - Newberger vs. Klobuchar,"Klobuchar 63, Newberger 33",Klobuchar +30,2018
22,"Wednesday, October 10",Quinnipiac,Connecticut Senate - Corey vs. Murphy,"Murphy 57, Corey 42",Murphy +15,2018
23,"Wednesday, October 10",UNH,Rhode Island Senate - Flanders vs. Whitehouse,"Whitehouse 57, Flanders 33",Whitehouse +24,2018
24,"Wednesday, October 10",Marquette*,Wisconsin Governor - Walker vs. Evers,"Evers 46, Walker 47",Walker +1,2018
25,"Wednesday, October 10",WXIA-TV/SurveyUSA,Georgia Governor - Kemp vs. Abrams,"Kemp 47, Abrams 45",Kemp +2,2018
26,"Wednesday, October 10",OH Predictive Insights,Arizona Governor - Ducey vs. Garcia,"Ducey 54, Garcia 37",Ducey +17,2018
27,"Wednesday, October 10",Suffolk*,Ohio Governor - DeWine vs. Cordray,"Cordray 46, DeWine 40",Cordray +6,2018
28,"Wednesday, October 10",NBC News/Marist,Minnesota Governor - Johnson vs. Walz,"Walz 55, Johnson 38",Walz +17,2018
29,"Wednesday, October 10",UNH*,Rhode Island Governor - Fung vs. Raimondo,"Raimondo 48, Fung 34",Raimondo +14,2018
30,"Wednesday, October 10",Gonzales Research*,Maryland Governor - Hogan vs. Jealous,"Hogan 54, Jealous 36",Hogan +18,2018
31,"Wednesday, October 10",Quinnipiac,Connecticut Governor - Stefanowski vs. Lamont,"Lamont 47, Stefanowski 39",Lamont +8,2018
32,"Wednesday, October 10",Monmouth,Pennsylvania 17th District - Rothfus vs. Lamb,"Lamb 54, Rothfus 42",Lamb +12,2018
33,"Wednesday, October 10",Economist/YouGov,President Trump Job Approval,"Approve 43, Disapprove 53",Disapprove +10,2018
34,"Wednesday, October 10",Reuters/Ipsos,President Trump Job Approval,"Approve 42, Disapprove 57",Disapprove +15,2018
35,"Wednesday, October 10",Rasmussen Reports,2018 Generic Congressional Vote,"Democrats 45, Republicans 45",Tie,2018
36,"Wednesday, October 10",Reuters/Ipsos,2018 Generic Congressional Vote,"Democrats 50, Republicans 38",Democrats +12,2018
37,"Wednesday, October 10",Economist/YouGov,2018 Generic Congressional Vote,"Democrats 47, Republicans 41",Democrats +6,2018
38,"Wednesday, October 10",Economist/YouGov,Congressional Job Approval,"Approve 15, Disapprove 67",Disapprove +52,2018
39,"Wednesday, October 10",Reuters/Ipsos,Congressional Job Approval,"Approve 24, Disapprove 73",Disapprove +49,2018
40,"Wednesday, October 10",Reuters/Ipsos,Direction of Country,"Right Direction 37, Wrong Track 58",Wrong Track +21,2018
41,"Wednesday, October 10",Economist/YouGov,Direction of Country,"Right Direction 38, Wrong Track 54",Wrong Track +16,2018
42,"Tuesday, October 9",NBC News/Marist,Nevada Senate - Heller vs. Rosen,"Heller 46, Rosen 44",Heller +2,2018
43,"Tuesday, October 9",NBC News/Marist,Nevada Governor - Laxalt vs. Sisolak vs. Lord,"Sisolak 40, Laxalt 44, Lord 8",Laxalt +4,2018
44,"Tuesday, October 9",Alaska Survey Research,Alaska Governor - Dunleavy vs. Begich vs. Walker,"Dunleavy 47, Walker 27, Begich 23",Dunleavy +20,2018
45,"Tuesday, October 9",The Oregonian*,Oregon Governor - Buehler vs. Brown,"Brown 49, Buehler 45",Brown +4,2018
46,"Tuesday, October 9",Washington Post,Maryland Governor - Hogan vs. Jealous,"Hogan 58, Jealous 38",Hogan +20,2018
47,"Tuesday, October 9",Washington Post,Virginia 10th District - Comstock vs. Wexton,"Wexton 55, Comstock 43",Wexton +12,2018
48,"Tuesday, October 9",NY Times/Siena,Illinois 14th District - Hultgren vs. Underwood,"Hultgren 47, Underwood 43",Hultgren +4,2018
49,"Tuesday, October 9",NY Times/Siena,New York 1st District - Zeldin vs. Gershon,"Zeldin 49, Gershon 41",Zeldin +8,2018
50,"Tuesday, October 9",NY Times/Siena,Pennsylvania 16th District - Kelly vs. DiNicola,"Kelly 50, DiNicola 42",Kelly +8,2018
51,"Tuesday, October 9",POS (R),Florida 16th District - Buchanan vs. Shapiro,"Buchanan 52, Shapiro 42",Buchanan +10,2018
52,"Tuesday, October 9",Monmouth,New Jersey 11th District - Webber vs. Sherrill,"Sherrill 48, Webber 44",Sherrill +4,2018
53,"Tuesday, October 9",CNN,2018 Generic Congressional Vote,"Democrats 54, Republicans 41",Democrats +13,2018
54,"Tuesday, October 9",CNN,Congressional Job Approval,"Approve 17, Disapprove 75",Disapprove +58,2018
55,"Monday, October 8",Emerson*,Texas Senate - Cruz vs. O'Rourke,"Cruz 47, O'Rourke 42",Cruz +5,2018
56,"Monday, October 8",Emerson*,Texas Governor - Abbott vs. Valdez,"Abbott 53, Valdez 33",Abbott +20,2018
57,"Monday, October 8",NY Times/Siena,Michigan 11th District - Epstein vs. Stevens,"Stevens 45, Epstein 38",Stevens +7,2018
58,"Monday, October 8",NY Times/Siena,North Carolina 13th District - Budd vs. Manning,"Budd 47, Manning 41",Budd +6,2018
59,"Monday, October 8",Civitas (R)/SurveyUSA*,North Carolina 9th District - Harris vs. McCready,"McCready 45, Harris 41",McCready +4,2018
60,"Monday, October 8",CNN,President Trump Job Approval,"Approve 43, Disapprove 52",Disapprove +9,2018
61,"Monday, October 8",Gallup,President Trump Job Approval,"Approve 43, Disapprove 53",Disapprove +10,2018
62,"Monday, October 8",Rasmussen Reports,Direction of Country,"Right Direction 43, Wrong Track 52",Wrong Track +9,2018
63,"Sunday, October 7",CBS News/YouGov,Arizona Senate - McSally vs. Sinema,"Sinema 47, McSally 44",Sinema +3,2018
64,"Sunday, October 7",CBS News/YouGov,Tennessee Senate - Blackburn vs. Bredesen,"Blackburn 50, Bredesen 42",Blackburn +8,2018
65,"Sunday, October 7",CBS News/YouGov,Texas Senate - Cruz vs. O'Rourke,"Cruz 50, O'Rourke 44",Cruz +6,2018
66,"Sunday, October 7",CBS News/YouGov,New Jersey Senate - Hugin vs. Menendez,"Menendez 49, Hugin 39",Menendez +10,2018
67,"Saturday, October 6",Cole Hargrave Snodgrass & Associates*,Oklahoma Governor - Stitt vs. Edmondson,"Stitt 46, Edmondson 40",Stitt +6,2018
68,"Saturday, October 6",NY Times/Siena,North Carolina 9th District - Harris vs. McCready,"McCready 42, Harris 47",Harris +5,2018
69,"Friday, October 5",Berkeley IGS,California 10th District - Denham vs. Harder,"Harder 50, Denham 45",Harder +5,2018
70,"Friday, October 5",Berkeley IGS,California 22nd District - Nunes vs. Janz,"Nunes 53, Janz 45",Nunes +8,2018
71,"Friday, October 5",Berkeley IGS,California 25th District - Knight vs. Hill,"Hill 50, Knight 46",Hill +4,2018
72,"Friday, October 5",Berkeley IGS,California 39th District - Kim vs. Cisneros,"Cisneros 49, Kim 48",Cisneros +1,2018
73,"Friday, October 5",Berkeley IGS,California 45th District - Walters vs. Porter,"Porter 52, Walters 45",Porter +7,2018
74,"Friday, October 5",Berkeley IGS,California 48th District - Rohrabacher vs. Rouda,"Rouda 48, Rohrabacher 48",Tie,2018
75,"Friday, October 5",Berkeley IGS,California 49th District - Harkey vs. Levin,"Levin 55, Harkey 41",Levin +14,2018
76,"Friday, October 5",Berkeley IGS,California 50th District - Hunter vs. Campa-Najjar,"Hunter 49, Campa-Najjar 47",Hunter +2,2018
77,"Friday, October 5",Emerson,President Trump Job Approval,"Approve 43, Disapprove 50",Disapprove +7,2018
78,"Friday, October 5",Emerson,2018 Generic Congressional Vote,"Democrats 50, Republicans 42",Democrats +8,2018
79,"Thursday, October 4",Mason-Dixon,Florida Senate - Scott vs. Nelson,"Nelson 47, Scott 46",Nelson +1,2018
80,"Thursday, October 4",FOX News,Tennessee Senate - Blackburn vs. Bredesen,"Blackburn 48, Bredesen 43",Blackburn +5,2018
81,"Thursday, October 4",FOX News,Indiana Senate - Braun vs. Donnelly vs. Brenton,"Donnelly 43, Braun 41, Brenton 6",Donnelly +2,2018
82,"Thursday, October 4",FOX News,Missouri Senate - Hawley vs. McCaskill,"Hawley 46, McCaskill 46",Tie,2018
83,"Thursday, October 4",FOX News,North Dakota Senate - Cramer vs. Heitkamp,"Cramer 53, Heitkamp 41",Cramer +12,2018
84,"Thursday, October 4",FOX News,Arizona Senate - McSally vs. Sinema,"Sinema 47, McSally 45",Sinema +2,2018
85,"Thursday, October 4",Detroit News/WDIV-TV,Michigan Senate - James vs. Stabenow,"Stabenow 53, James 35",Stabenow +18,2018
86,"Thursday, October 4",FOX News,Tennessee Governor - Lee vs. Dean,"Lee 53, Dean 36",Lee +17,2018
87,"Thursday, October 4",FOX News,Arizona Governor - Ducey vs. Garcia,"Ducey 55, Garcia 37",Ducey +18,2018
