name,party,race_type,date,state,district,incumbent,incumbent_first_elected,pct
conor lamb,d,house,2018-03-13 00:00:00,PA,18,tim murphy,2002,49.9
rick saccone,r,house,2018-03-13 00:00:00,PA,18,tim murphy,2002,49.5
drew miller,o,house,2018-03-13 00:00:00,PA,18,tim murphy,2002,0.6
debbie lesko,r,house,2018-04-24 00:00:00,AZ,8,trent franks,2002,52.4
hiral tipirneni,d,house,2018-04-24 00:00:00,AZ,8,trent franks,2002,47.6
michael cloud,r,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,54.7
eric holguin,d,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,32.0
roy barrera,d,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,4.8
bech bruun,r,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,4.3
mike westergren,d,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,2.4
marty perez,r,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,0.8
judith cutright,o,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,0.5
daniel tinus,o,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,0.4
christopher suprun,o,house,2018-06-30 00:00:00,TX,27,blake farenthold,2010,0.1
troy balderson,r,house,2018-08-07 00:00:00,OH,12,pat tiberi,2000,50.1
danny oconnor,d,house,2018-08-07 00:00:00,OH,12,pat tiberi,2000,49.3
joe manchik,o,house,2018-08-07 00:00:00,OH,12,pat tiberi,2000,0.6
brenda jones,d,house,2018-11-06 00:00:00,MI,13,john conyers,1964,
joe morelle,d,house,2018-11-06 00:00:00,NY,25,louise slaughter,1986,
jim maxwell,r,house,2018-11-06 00:00:00,NY,25,louise slaughter,1986,
mary gay scanlon,d,house,2018-11-06 00:00:00,PA,7,pat meehan,2010,
pearl kim,r,house,2018-11-06 00:00:00,PA,7,pat meehan,2010,
marty nothstein,r,house,2018-11-06 00:00:00,PA,15,charlie dent,2004,
susan wild,d,house,2018-11-06 00:00:00,PA,15,charlie dent,2004,
bradley byrne,r,house,2018-11-06 00:00:00,AL,1,bradley byrne,2013,63.3
robert kennedy jr,d,house,2018-11-06 00:00:00,AL,1,bradley byrne,2013,36.7
martha roby,r,house,2018-11-06 00:00:00,AL,2,martha roby,2010,61.5
tabitha isner,d,house,2018-11-06 00:00:00,AL,2,martha roby,2010,38.5
mike rogers,r,house,2018-11-06 00:00:00,AL,3,mike rogers,2002,63.8
mallory hagan,d,house,2018-11-06 00:00:00,AL,3,mike rogers,2002,36.2
robert aderholt,r,house,2018-11-06 00:00:00,AL,4,robert aderholt,1996,79.9
lee auman,d,house,2018-11-06 00:00:00,AL,4,robert aderholt,1996,20.1
mo brooks,r,house,2018-11-06 00:00:00,AL,5,mo brooks,2010,61.1
peter joffrion,d,house,2018-11-06 00:00:00,AL,5,mo brooks,2010,39.9
gary palmer,r,house,2018-11-06 00:00:00,AL,6,gary palmer,2014,69.3
danner kline,d,house,2018-11-06 00:00:00,AL,6,gary palmer,2014,30.7
terri sewell,d,house,2018-11-06 00:00:00,AL,7,terri sewell,2010,
don young,r,house,2018-11-06 00:00:00,AK,0,don young,1972,54.0
tom ohalleran,d,house,2018-11-06 00:00:00,AZ,1,tom ohalleran,2016,53.8
wendy rogers,r,house,2018-11-06 00:00:00,AZ,1,tom ohalleran,2016,46.2
ann kirkpatrick,d,house,2018-11-06 00:00:00,AZ,2,martha mcsally,2014,54.4
lea marquezpeterson,r,house,2018-11-06 00:00:00,AZ,2,martha mcsally,2014,45.6
raul grijalva,d,house,2018-11-06 00:00:00,AZ,3,raul grijalva,2002,63.4
nick pierson,r,house,2018-11-06 00:00:00,AZ,3,raul grijalva,2002,36.6
paul gosar,r,house,2018-11-06 00:00:00,AZ,4,paul gosar,2010,68.2
david brill,d,house,2018-11-06 00:00:00,AZ,4,paul gosar,2010,30.5
haryaksha gregor knauer,o,house,2018-11-06 00:00:00,AZ,4,paul gosar,2010,1.3
andy biggs,r,house,2018-11-06 00:00:00,AZ,5,andy biggs,2016,59.4
joan greene,d,house,2018-11-06 00:00:00,AZ,5,andy biggs,2016,40.6
