,name,party,race_type,date,state,incumbent,incumbent_first_elected,pct,winner
0,tina smith,d,senate,2018-11-06,MN,tina smith,2018,53.6,True
1,karin housley,r,senate,2018-11-06,MN,tina smith,2018,41.8,False
2,jerry trooien,o,senate,2018-11-06,MN,tina smith,2018,0.9,False
3,cindy hydesmith,r,senate,2018-11-06,MS,cindy hydesmith,2018,53.9,True
4,mike espy,d,senate,2018-11-06,MS,cindy hydesmith,2018,46.1,False
5,kyrsten sinema,d,senate,2018-11-06,AZ,jeff flake,2012,49.68,True
6,martha mcsally,r,senate,2018-11-06,AZ,jeff flake,2012,47.96,False
7,angela green,o,senate,2018-11-06,AZ,jeff flake,2012,2.37,False
8,dianne feinstein,d,senate,2018-11-06,CA,dianne feinstein,1992,53.8,True
9,kevin de leon,d,senate,2018-11-06,CA,dianne feinstein,1992,46.2,False
10,chris murphy,d,senate,2018-11-06,CT,chris murphy,2012,58.4,True
11,matthew corey,r,senate,2018-11-06,CT,chris murphy,2012,40.5,False
12,richard lion,o,senate,2018-11-06,CT,chris murphy,2012,0.6,False
13,jeff russell,o,senate,2018-11-06,CT,chris murphy,2012,0.5,False
14,tom carper,d,senate,2018-11-06,DE,tom carper,2000,60,True
15,robert arlett,r,senate,2018-11-06,DE,tom carper,2000,37.8,False
16,demitri theodoropoulos,o,senate,2018-11-06,DE,tom carper,2000,1.2,False
17,nadine frost,o,senate,2018-11-06,DE,tom carper,2000,1.1,False
18,rick scott,r,senate,2018-11-06,FL,bill nelson,2000,50.1,True
19,bill nelson,d,senate,2018-11-06,FL,bill nelson,2000,49.9,False
20,mazie hirono,d,senate,2018-11-06,HI,mazie hirono,2012,72.7,True
21,ron curtis,r,senate,2018-11-06,HI,mazie hirono,2012,27.3,False
22,mike braun,r,senate,2018-11-06,IN,joe donnelly,2012,51.0,True
23,joe donnelly,d,senate,2018-11-06,IN,joe donnelly,2012,45.1,False
24,lucy brenton,o,senate,2018-11-06,IN,joe donnelly,2012,4.0,False
25,angus king,o,senate,2018-11-06,ME,angus king,2012,54.2,True
26,eric brakey,r,senate,2018-11-06,ME,angus king,2012,35.6,False
27,zak ringelstein,d,senate,2018-11-06,ME,angus king,2012,10.2,False
28,ben cardin,d,senate,2018-11-06,MD,ben cardin,2006,64.2,True
29,tony campbell,r,senate,2018-11-06,MD,ben cardin,2006,31.1,False
30,neal simon,o,senate,2018-11-06,MD,ben cardin,2006,3.7,False
31,arvin vohra,o,senate,2018-11-06,MD,ben cardin,2006,1,False
32,elizabeth warren,d,senate,2018-11-06,MA,elizabeth warren,2012,60.5,True
33,geoff diehl,r,senate,2018-11-06,MA,elizabeth warren,2012,36.2,False
34,shiva ayyadurai,o,senate,2018-11-06,MA,elizabeth warren,2012,3.4,False
35,debbie stabenow,d,senate,2018-11-06,MI,debbie stabenow,2000,51.8,True
36,john james,r,senate,2018-11-06,MI,debbie stabenow,2000,46.1,False
37,marcia squier,o,senate,2018-11-06,MI,debbie stabenow,2000,1,False
38,george huffman iii,o,senate,2018-11-06,MI,debbie stabenow,2000,0.4,False
39,amy klobuchar,d,senate,2018-11-06,MN,amy klobuchar,2006,60.9,True
40,jim newberger,r,senate,2018-11-06,MN,amy klobuchar,2006,35.7,False
41,paula m overby,o,senate,2018-11-06,MN,amy klobuchar,2006,0.9,False
42,roger wicker,r,senate,2018-11-06,MS,roger wicker,2007,58.9,True
43,david baria,d,senate,2018-11-06,MS,roger wicker,2007,39.1,False
44,danny bedwell,o,senate,2018-11-06,MS,roger wicker,2007,1.4,False
45,shawn ohara,o,senate,2018-11-06,MS,roger wicker,2007,0.6,False
46,josh hawley,r,senate,2018-11-06,MO,claire mccaskill,2006,51.9,True
47,claire mccaskill,d,senate,2018-11-06,MO,claire mccaskill,2006,45.1,False
48,craig odear,o,senate,2018-11-06,MO,claire mccaskill,2006,1.4,False
49,japheth campbell,o,senate,2018-11-06,MO,claire mccaskill,2006,1.2,False
