Pollster,538 Grade
Selzer & Co.,A+
Monmouth University,A+
Field Research Corp. (Field Poll),A+
ABC News/Washington Post,A+
Elway Research,A+
Ciruli Associates,A+
SurveyUSA,A
Muhlenberg College,A
Marist College,A
Grove Insight,A
National Journal,A
Public Policy Institute of California,A
University of Cincinnati (Ohio Poll),A
Siena College,A
Fairleigh Dickinson University (PublicMind),A
Fox News/Anderson Robbins Research/Shaw & Co. Research,A
Marquette University Law School,A
Research & Polling Inc.,A
Behavior Research Center (Rocky Mountain),A-
Blum & Weprin Associates,A-
CBS News/New York Times,A-
University of Arkansas,A-
University of Connecticut,A-
Los Angeles Times,A-
IBD/TIPP,A-
RKM Research and Communications Inc.,A-
MassINC Polling Group,A-
Elon University,A-
Quinnipiac University,A-
SSRS,A-
Angus Reid Global,A-
University of North Florida,A-
Western New England University,A-
NBC News/Wall Street Journal,A-
St. Norbert College,A-
Mason-Dixon Polling & Research Inc.,B+
Lake Research Partners,B+
Abt Associates,B+
Castleton University,B+
Emerson College,B+
EPIC-MRA,B+
High Point University,B+
Indiana University,B+
CNN/Opinion Research Corp.,B+
Fleming & Associates,B+
Princeton Survey Research Associates International,B+
Market Shares Corp.,B+
Ward Research (Honolulu Star-Advertiser),B+
University of Massachusetts Lowell,B+
University of South Alabama,B+
Winthrop University,B+
University of Florida,B+
National Research Inc.,B+
Stockton University,B+
Suffolk University,B+
Market Research Insight,B+
Montana State University Billings,B+
Data Orbital,B+
Riley Research Associates,B+
RT Strategies,B+
University of Washington,B+
"Davis, Hibbitts & Midghall Inc.",B+
Ipsos,B+
Harstad Strategic Research Inc.,B+
Pan Atlantic SMS Group,B+
Garin-Hart-Yang Research Group,B+
American Viewpoint,B+
Greenberg Quinlan Rosner/American Viewpoint,B+
Christopher Newport University,B+
Pharos Research Group,F
Temple University,B
Keating Research Inc.,B
Clemson University,B
Public Policy Polling,B
Orion Strategies,B
Strategies 360,B
Landmark Communications,B
YouGov,B
Public Opinion Strategies,B
Global Strategy Group/National Research (Philadelphia Inquirer),B
Strategic Vision LLC,F
Cole Hargrave Snodgrass & Associates,B
Tarrance Group,B
Iowa State University,B
Missouri State University,B
Voter/Consumer Research,B
GBA Strategies,B
Mellman Group,B
Fox News/Opinion Dynamics Corp.,B
GfK Group,B
Market Decisions,B
Richmond Times-Dispatch,B
Y2 Analytics,B
New England College,B
McKeon & Associates,B
RBI Strategies & Research,B
Frederick Polls,B
APC Research,B
Tulchin Research,B
Harper Polling,B
Wilson Perkins Allen Opinion Research,B
Knowledge Networks,B
Glengariff Group Inc.,B
Tel Opinion Research,B
Southern Media & Opinion Research,B
Louisville Courier-Journal,B
Market Research Institute Inc.,B
Insights West,B
Moore Information,B
Gallup,B
Kiley & Company,B
Vox Populi Communications,B
Hill Research Consultants,B
University of New Hampshire,B
University of Wisconsin (Badger Poll),B
"Fabrizio, Lee & Associates",B
"North Star Opinion Research/Ayres, McHenry & Associates",B
University of Houston,B
Florida International University/Univision,B
Starboard Communications,B
QEV Analytics,B
Merrill Poll,B
Braun Research,B
Cygnal,B
Probolsky Research,B
George Washington University (Battleground),B
Dittman Research,B
Meeting Street Research,B-
Yankelovich Partners Inc.,B-
Associated Industries of Florida,B-
Dartmouth College,B-
Old Dominion University,B-
Baruch College,B-
Schoen Consulting,B-
Centre College,B-
Bendixen & Amandi International,B-
Belden Russonello,B-
RRH Elections,B-
Pew Research Center,B-
University of Denver,B-
Clarus Research Group,B-
Financial Dynamics,B-
CallFire,B-
Basswood Research,B-
Virginia Commonwealth University,B-
University of Nevada Las Vegas,B-
Middle Tennessee State University,B-
Victoria Research & Consulting,B-
"Normington, Petts & Associates",B-
Ethridge & Associates LLC,B-
NPR,B-
Rutgers University,B-
Potomac Incorporated,B-
Hoffman Research Group,B-
Benenson Strategy Group,B-
Capital Survey Research Center,B-
Greenberg Quinlan Rosner (Democracy Corps),B-
Val Smith,B-
Franklin & Marshall College,B-
"Fairbank, Maslin, Maullin, Metz & Associates",B-
Hendrix College,B-
SoonerPoll.com,B-
DFM Research,B-
OpinionWorks,B-
St. Pete Polls,B-
Crawford Johnson & Northcott Inc.,B-
"Schroth, Eldon & Associates",B-
Overtime Politics,F
Wilson Research Strategies,B-
Feldman Group,B-
Gonzales Research & Marketing Strategies Inc.,B-
Franklin Pierce University,B-
Florida Poll,B-
Research 2000,F
KRC/Communications Research,B-
Cherry Communications,B-
SocialSphere,B-
Wiese Research Associates Inc.,B-
Dixie Strategies,B-
University of Massachusetts Amherst,B-
University of Texas,B-
Alabama State University,B-
Northern Arizona University,B-
Scripps Howard,B-
IVR Polls,B-
Marshall Marketing & Communications,B-
Morning Consult,B-
Richard Day Research Inc.,B-
Glover Park Group,B-
OnPoint,B-
Loras College,B-
CVOTER International,B-
Frank N. Magid Associates Inc.,B-
Penn Schoen Berland,B-
Lucid,B-
Howey Politics/DePauw University,B-
Clarity Campaign Labs,B-
University of Illinois at Chicago,B-
Praecones Analytica,B-
U.S. News & World Report,B-
MSR Group,B-
Personal Marketing Research,B-
Baselice & Associates Inc.,B-
BK Strategies,C+
Talmey-Drake Research & Strategy Inc.,C+
Midwest Survey and Research,C+
Lauer Johnson Research,C+
Market Solutions Group,C+
University of Wisconsin Milwaukee,C+
Wirthlin Worldwide,C+
Purple Strategies,C+
Strategic National,C+
M4 Strategies,C+
Louis Harris & Associates,C+
Master Image,C+
Multi-Quest International,C+
Douglas Fulmer & Associates,C+
Lincoln Institute,C+
Forward Strategies,C+
Florida Atlantic University,C+
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),C+
Manhattanville College,C+
Dan Jones & Associates,C+
American Research Group,C+
Rasmussen Reports/Pulse Opinion Research,C+
Jim Meader (KELOLAND-TV),C+
OH Predictive Insights/MBQF,C+
Arizona State University,C+
Hays Research Group,C+
Rhode Island College,C+
West Chester University,C+
RMS Research,C+
Canisius College,C+
University of Tennessee,C+
Market Strategies International,C+
Dynamic Marketing Inc.,C+
Cooper & Secrest,C+
Lauer Lalley Victoria Inc.,C+
Cranford & Associates,C+
Wood Communications Group,C+
BIGresearch,C+
Aspen Media & Market Research,C+
Central Surveys Inc.,C+
University of North Carolina,C+
Revily,C+
Singularis Group,C+
Red Sea Communications,C+
New Mexico State University,C+
Winston Group,C+
Diversified Research Inc,C+
DCCC Targeting Team,C+
Rivercity Polling,C+
CSP Polling,F
Diamond State Consulting Group,C+
Neighborhood Research Corporation,C+
Constituent Dynamics,C+
JMC Enterprises,C+
Marketing Resource Group (MRG),C+
Susquehanna Polling & Research Inc.,C+
NRECA Market Research,C+
War Room Logistics,C+
St. Cloud State University,C+
Triumph Campaigns,C+
Forman Center,C+
RAND (American Life Panel),C+
Iona College,C+
Analytical Group,C+
Gordon S. Black Corp.,C+
OnMessage Inc.,C+
Ohio State University,C+
Wick Communications,C+
Hamilton Campaigns,C+
Opinion Savvy/InsiderAdvantage,C+
Hellenthal & Associates,C+
Market Trends Pacific,C+
20/20 Insight,C+
ASA Marketing Group,C+
Columbus Dispatch,C+
University of Iowa,C+
Rice University,C+
Gravis Marketing,C+
Star Tribune,C+
MarblePort,C+
Change Research,C+
Cromer Group,C+
Liberty Opinion Research,C+
People's Pundit Daily,F
Zimmerman & Associates/Marketing Intelligence,C+
Rossman Group,C+
Strategic Services,C+
Western Kentucky University,C+
Kimball Political Consulting,C+
Magellan Strategies,C+
Becker Institute,C+
West Virginia Research Center,C+
ResearchNow,C+
Hampton University,C+
Harvard University,C+
R.L. Repass & Partners,C+
Research America Inc.,C+
Global Strategy Group,C+
TeleResearch Corporation,C+
Opinion Consultants,C+
Independent Market Research,C+
Public Strategies Inc.,C+
CrossTarget,C+
IMGE Insights,C+
University of Georgia,C+
Minnesota State University Moorhead,C+
