ID,Market,Ticker,Start Date (ET),Closed Date (ET)
1301,Who will be elected Prime Minister of Canada in 2015?,CANADAPM15,1/5/2015 19:00,11/4/2015 15:03
1324,Will Julie Christensen be elected supervisor of San Francisco District 3 in 2015?,CHRSTNSN.SF15,2/11/2015 19:00,11/6/2015 9:18
1325,Will Ed Lee be reelected mayor of San Francisco in 2015?,LEE.SF15,2/11/2015 19:00,11/12/2015 9:45
1473,Which woman will be selected for the new $10 bill by year-end 2015?,NEW10,6/30/2015 20:00,1/1/2016 12:04
1866,Will Enda Kenny be re-elected taoiseach after the Irish general election?,KENNY.IRELAND.2016,2/6/2016 19:00,4/1/2016 9:42
1920,Will the Select Committee on Benghazi publish a new report by May 2?,BENGHAZI.REPORT.050216,2/21/2016 19:00,5/3/2016 10:22
2015,Will Mike Pence be re-elected Indiana governor in 2016?,PENCE.INGOV2016,3/29/2016 20:00,11/2/2016 16:15
2342,Which party will win Kentucky in the 2016 presidential election?,KY.USPREZ16,7/27/2016 20:00,11/8/2016 20:48
2173,Will Carlos Curbelo be re-elected to the House of Representatives from Florida's 26th district?,CURBELO.FL26.2016,5/30/2016 20:00,11/8/2016 21:04
2605,Will Barbara Comstock be re-elected to the House of Representatives from Virginia's 10th district?,COMSTOCK.VA10.2016,10/11/2016 20:00,11/8/2016 23:54
2393,Which party will win West Virginia in the 2016 presidential election?,WV.USPREZ16,8/14/2016 20:00,11/9/2016 0:08
2438,Which party will win the District of Columbia in the 2016 presidential election?,DC.USPREZ16,8/29/2016 20:00,11/9/2016 0:10
2437,Which party will win Vermont in the 2016 presidential election?,VT.USPREZ16,8/29/2016 20:00,11/9/2016 0:11
2134,Which party will win North Carolina in the 2016 presidential election?,NC.USPREZ16,5/15/2016 20:00,11/9/2016 0:18
2136,Which party will win Indiana in the 2016 presidential election?,IN.USPREZ16,5/15/2016 20:00,11/9/2016 0:20
2280,Which party will win Illinois in the 2016 presidential election?,IL.USPREZ16,7/6/2016 20:00,11/9/2016 0:22
2310,Which party will win Maryland in the 2016 presidential election?,MD.USPREZ16,7/18/2016 20:00,11/9/2016 0:23
2311,Which party will win Tennessee in the 2016 presidential election?,TN.USPREZ16,7/18/2016 20:00,11/9/2016 0:25
2356,Which party will win Oklahoma in the 2016 presidential election?,OK.USPREZ16,8/1/2016 20:00,11/9/2016 0:26
2373,Which party will win Mississippi in the 2016 presidential election?,MS.USPREZ16,8/8/2016 20:00,11/9/2016 0:27
2374,Which party will win Arkansas in the 2016 presidential election?,AR.USPREZ16,8/8/2016 20:00,11/9/2016 0:28
2417,Which party will win Rhode Island in the 2016 presidential election?,RI.USPREZ16,8/22/2016 20:00,11/9/2016 0:29
2419,Which party will win Delaware in the 2016 presidential election?,DE.USPREZ16,8/22/2016 20:00,11/9/2016 0:30
2102,Which party will win Ohio in the 2016 presidential election?,OH.USPREZ16,5/3/2016 20:00,11/9/2016 0:31
2112,Which party will win New York in the 2016 presidential election?,NY.USPREZ16,5/8/2016 20:00,11/9/2016 0:43
2116,Which party will win Iowa in the 2016 presidential election?,IA.USPREZ16,5/8/2016 20:00,11/9/2016 0:45
2138,Will Chuck Grassley be re-elected in 2016?,GRASSLEY.IASENATE2016,5/16/2016 20:00,11/9/2016 0:46
2219,Which party will win Missouri in the 2016 presidential election?,MO.USPREZ16,6/15/2016 20:00,11/9/2016 0:47
2233,Will Lee Zeldin be re-elected to the House of Representatives from New York's 1st district?,ZELDIN.NY1.2016,6/20/2016 20:00,11/9/2016 0:48
2269,Will John Katko be re-elected to the House of Representatives from New York's 24th district?,KATKO.NY24.2016,7/4/2016 20:00,11/9/2016 0:49
2281,Which party will win New Jersey in the 2016 presidential election?,NJ.USPREZ16,7/6/2016 20:00,11/9/2016 0:50
2290,Which party will win Massachusetts in the 2016 presidential election?,MA.USPREZ16,7/11/2016 20:00,11/9/2016 0:51
2339,Which party will win South Carolina in the 2016 presidential election?,SC.USPREZ16,7/27/2016 20:00,11/9/2016 0:52
2340,Which party will win Alabama in the 2016 presidential election?,AL.USPREZ16,7/27/2016 20:00,11/9/2016 0:53
2341,Which party will win Louisiana in the 2016 presidential election?,LA.USPREZ16,7/27/2016 20:00,11/9/2016 0:54
2394,Which party will win Nebraska in the 2016 presidential election?,NE.USPREZ16,8/14/2016 20:00,11/9/2016 0:55
2431,Which party will win North Dakota in the 2016 presidential election?,ND.USPREZ16,8/25/2016 20:00,11/9/2016 1:09
2432,Which party will win South Dakota in the 2016 presidential election?,SD.USPREZ16,8/25/2016 20:00,11/9/2016 1:10
2201,Will Robert Dold be re-elected to the House of Representatives from Illinois' 10th district?,DOLD.IL10.2016,6/8/2016 20:00,11/9/2016 1:13
2120,Will David Young be re-elected to the House of Representatives from Iowa’s 3rd district?,YOUNG.IA3.2016,5/9/2016 20:00,11/9/2016 1:41
2375,Which party will win Kansas in the 2016 presidential election?,KS.USPREZ16,8/8/2016 20:00,11/9/2016 1:52
2436,Which party will win Wyoming in the 2016 presidential election?,WY.USPREZ16,8/29/2016 20:00,11/9/2016 1:53
2376,Which party will win New Mexico in the 2016 presidential election?,NM.USPREZ16,8/8/2016 20:00,11/9/2016 3:06
