,Date,Poll,Race/Topic (Click to Sort),Results,Spread,Year
0,2018-10-10,ABC 15/OH Predictive Insights,Arizona Senate - McSally vs. Sinema,"Sinema 41, McSally 47",McSally +6,2018
1,2018-10-10,Suffolk,Ohio Senate - Renacci vs. Brown,"Brown 54, Renacci 36",Brown +18,2018
2,2018-10-10,UNH,Rhode Island Senate - Flanders vs. Whitehouse,"Whitehouse 57, Flanders 33",Whitehouse +24,2018
3,2018-10-10,Quinnipiac,Connecticut Senate - Corey vs. Murphy,"Murphy 57, Corey 42",Murphy +15,2018
4,2018-10-10,WXIA-TV/SurveyUSA,Georgia Governor - Kemp vs. Abrams,"Kemp 47, Abrams 45",Kemp +2,2018
5,2018-10-10,OH Predictive Insights,Arizona Governor - Ducey vs. Garcia,"Ducey 54, Garcia 37",Ducey +17,2018
6,2018-10-10,Suffolk*,Ohio Governor - DeWine vs. Cordray,"Cordray 46, DeWine 40",Cordray +6,2018
7,2018-10-10,UNH*,Rhode Island Governor - Fung vs. Raimondo,"Raimondo 48, Fung 34",Raimondo +14,2018
8,2018-10-10,Gonzales Research*,Maryland Governor - Hogan vs. Jealous,"Hogan 54, Jealous 36",Hogan +18,2018
9,2018-10-10,Quinnipiac,Connecticut Governor - Stefanowski vs. Lamont,"Lamont 47, Stefanowski 39",Lamont +8,2018
10,2018-10-10,Monmouth,Pennsylvania 17th District - Rothfus vs. Lamb,"Lamb 54, Rothfus 42",Lamb +12,2018
11,2018-10-10,Economist/YouGov,President Trump Job Approval,"Approve 43, Disapprove 53",Disapprove +10,2018
12,2018-10-10,Rasmussen Reports,President Trump Job Approval,"Approve 49, Disapprove 49",Tie,2018
13,2018-10-10,Rasmussen Reports,2018 Generic Congressional Vote,"Democrats 45, Republicans 45",Tie,2018
14,2018-10-10,Economist/YouGov,2018 Generic Congressional Vote,"Democrats 47, Republicans 41",Democrats +6,2018
15,2018-10-10,Economist/YouGov,Congressional Job Approval,"Approve 15, Disapprove 67",Disapprove +52,2018
16,2018-10-10,Economist/YouGov,Direction of Country,"Right Direction 38, Wrong Track 54",Wrong Track +16,2018
17,2018-10-09,NBC News/Marist,Nevada Senate - Heller vs. Rosen,"Rosen 44, Heller 46",Heller +2,2018
18,2018-10-09,NBC News/Marist,Nevada Governor - Laxalt vs. Sisolak vs. Lord,"Sisolak 40, Laxalt 44, Lord 8",Laxalt +4,2018
19,2018-10-09,Alaska Survey Research,Alaska Governor - Dunleavy vs. Begich vs. Walker,"Dunleavy 47, Walker 27, Begich 23",Dunleavy +20,2018
20,2018-10-09,The Oregonian*,Oregon Governor - Buehler vs. Brown,"Brown 49, Buehler 45",Brown +4,2018
21,2018-10-09,Washington Post,Maryland Governor - Hogan vs. Jealous,"Hogan 58, Jealous 38",Hogan +20,2018
22,2018-10-09,Washington Post,Virginia 10th District - Comstock vs. Wexton,"Wexton 55, Comstock 43",Wexton +12,2018
23,2018-10-09,NY Times/Siena,Illinois 14th District - Hultgren vs. Underwood,"Hultgren 47, Underwood 43",Hultgren +4,2018
24,2018-10-09,NY Times/Siena,New York 1st District - Zeldin vs. Gershon,"Zeldin 49, Gershon 41",Zeldin +8,2018
25,2018-10-09,NY Times/Siena,Pennsylvania 16th District - Kelly vs. DiNicola,"Kelly 50, DiNicola 42",Kelly +8,2018
26,2018-10-09,POS (R),Florida 16th District - Buchanan vs. Shapiro,"Buchanan 52, Shapiro 42",Buchanan +10,2018
27,2018-10-09,Monmouth,New Jersey 11th District - Webber vs. Sherrill,"Sherrill 48, Webber 44",Sherrill +4,2018
28,2018-10-09,CNN,2018 Generic Congressional Vote,"Democrats 54, Republicans 41",Democrats +13,2018
29,2018-10-09,CNN,Congressional Job Approval,"Approve 17, Disapprove 75",Disapprove +58,2018
