"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"1",1,0,"Congressional Job Approval","Quinnipiac","Approve 20, Disapprove 71",-51,"2010-04-21",2010,"A-"
"2",2,1,"President Obama Job Approval","Quinnipiac","Approve 44, Disapprove 46",-2,"2010-04-21",2010,"A-"
"3",3,2,"Congressional Job Approval","FOX News","Approve 22, Disapprove 68",-46,"2010-04-22",2010,"A"
"4",4,3,"President Obama Job Approval","FOX News","Approve 46, Disapprove 46",0,"2010-04-22",2010,"A"
"5",5,4,"President Obama Job Approval","Gallup","Approve 50, Disapprove 43",7,"2010-04-25",2010,"B"
"6",6,5,"President Obama Job Approval","Rasmussen Reports","Approve 45, Disapprove 54",-9,"2010-04-25",2010,"C+"
"7",7,6,"President Obama Job Approval","Democracy Corps (D)","Approve 48, Disapprove 46",2,"2010-04-27",2010,"B-"
"8",8,7,"President Obama Job Approval","ABC News/Wash Post","Approve 54, Disapprove 44",10,"2010-04-28",2010,"A+"
"9",9,8,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 42",5,"2010-04-28",2010,"B-"
"10",10,9,"President Obama Job Approval","Resurgent Republic (R)","Approve 48, Disapprove 48",0,"2010-04-30",2010,"unknown"
"11",11,10,"President Obama Job Approval","CBS News/NY Times","Approve 51, Disapprove 39",12,"2010-05-03",2010,"A-"
"12",12,11,"President Obama Job Approval","Gallup","Approve 47, Disapprove 47",0,"2010-05-03",2010,"B"
"13",13,12,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 51",-3,"2010-05-03",2010,"C+"
"14",14,13,"President Obama Job Approval","FOX News","Approve 48, Disapprove 43",5,"2010-05-06",2010,"A"
"15",15,14,"President Obama Job Approval","National Journal/FD","Approve 48, Disapprove 46",2,"2010-05-06",2010,"A"
"16",16,15,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 42",5,"2010-05-11",2010,"B-"
"17",17,16,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 50, Disapprove 44",6,"2010-05-12",2010,"A-"
"18",18,17,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 21, Disapprove 72",-51,"2010-05-12",2010,"A-"
"19",19,18,"Congressional Job Approval","Gallup","Approve 21, Disapprove 75",-54,"2010-05-14",2010,"B"
"20",20,19,"Congressional Job Approval","Associated Press/GfK","Approve 28, Disapprove 71",-43,"2010-05-15",2010,"B"
"21",21,20,"President Obama Job Approval","Associated Press/GfK","Approve 49, Disapprove 50",-1,"2010-05-15",2010,"B"
"22",22,21,"President Obama Job Approval","Gallup","Approve 51, Disapprove 42",9,"2010-05-15",2010,"B"
"23",23,22,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 52",-4,"2010-05-15",2010,"C+"
"24",24,23,"President Obama Job Approval","Ipsos/McClatchy","Approve 52, Disapprove 43",9,"2010-05-17",2010,"B+"
"25",25,24,"President Obama Job Approval","FOX News","Approve 45, Disapprove 46",-1,"2010-05-21",2010,"A"
"26",26,25,"Congressional Job Approval","FOX News","Approve 22, Disapprove 65",-43,"2010-05-21",2010,"A"
"27",27,26,"President Obama Job Approval","CBS News","Approve 47, Disapprove 43",4,"2010-05-25",2010,"A-"
"28",28,27,"Congressional Job Approval","CBS News","Approve 15, Disapprove 77",-62,"2010-05-25",2010,"A-"
"29",29,28,"President Obama Job Approval","Rasmussen Reports","Approve 43, Disapprove 56",-13,"2010-05-25",2010,"C+"
"30",30,29,"President Obama Job Approval","Gallup","Approve 47, Disapprove 45",2,"2010-05-25",2010,"B"
"31",31,30,"President Obama Job Approval","Quinnipiac","Approve 48, Disapprove 43",5,"2010-05-26",2010,"A-"
"32",32,31,"President Obama Job Approval","USA Today/Gallup","Approve 48, Disapprove 48",0,"2010-05-26",2010,"B"
"33",33,32,"President Obama Job Approval","CNN/Opinion Research","Approve 51, Disapprove 46",5,"2010-05-26",2010,"B+"
"34",34,33,"President Obama Job Approval","Democracy Corps (D)","Approve 47, Disapprove 47",0,"2010-05-26",2010,"B-"
"35",35,34,"President Obama Job Approval","NBC News","Approve 48, Disapprove 45",3,"2010-05-26",2010,"A-"
"36",36,35,"President Obama Job Approval","Gallup","Approve 47, Disapprove 44",3,"2010-06-07",2010,"B"
"37",37,36,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 53",-7,"2010-06-07",2010,"C+"
"38",38,37,"President Obama Job Approval","ABC News/Wash Post","Approve 52, Disapprove 45",7,"2010-06-08",2010,"A+"
"39",39,38,"Congressional Job Approval","ABC News/Wash Post","Approve 26, Disapprove 71",-45,"2010-06-08",2010,"A+"
"40",40,39,"President Obama Job Approval","FOX News","Approve 46, Disapprove 45",1,"2010-06-11",2010,"A"
"41",41,40,"Congressional Job Approval","FOX News","Approve 22, Disapprove 69",-47,"2010-06-11",2010,"A"
"42",42,41,"President Obama Job Approval","Associated Press/GfK","Approve 50, Disapprove 49",1,"2010-06-15",2010,"B"
"43",43,42,"Congressional Job Approval","Associated Press/GfK","Approve 24, Disapprove 73",-49,"2010-06-15",2010,"B"
"44",44,43,"President Obama Job Approval","Ipsos/McClatchy","Approve 50, Disapprove 45",5,"2010-06-16",2010,"B+"
"45",45,44,"President Obama Job Approval","CNN/OpinionResearch","Approve 50, Disapprove 48",2,"2010-06-17",2010,"B+"
"46",46,45,"Congressional Job Approval","CBS News/NY Times","Approve 19, Disapprove 70",-51,"2010-06-21",2010,"A-"
