"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"1",1,0,"Congressional Job Approval","Quinnipiac","Approve 20, Disapprove 71",-51,"2010-04-21",2010,"A-"
"2",2,1,"Congressional Job Approval","FOX News","Approve 22, Disapprove 68",-46,"2010-04-22",2010,"A"
"3",3,2,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 21, Disapprove 72",-51,"2010-05-12",2010,"A-"
"4",4,3,"Congressional Job Approval","Gallup","Approve 21, Disapprove 75",-54,"2010-05-14",2010,"B"
"5",5,4,"Congressional Job Approval","Associated Press/GfK","Approve 28, Disapprove 71",-43,"2010-05-15",2010,"B"
"6",6,5,"Congressional Job Approval","FOX News","Approve 22, Disapprove 65",-43,"2010-05-21",2010,"A"
"7",7,6,"Congressional Job Approval","CBS News","Approve 15, Disapprove 77",-62,"2010-05-25",2010,"A-"
"8",8,7,"Congressional Job Approval","ABC News/Wash Post","Approve 26, Disapprove 71",-45,"2010-06-08",2010,"A+"
"9",9,8,"Congressional Job Approval","FOX News","Approve 22, Disapprove 69",-47,"2010-06-11",2010,"A"
"10",10,9,"Congressional Job Approval","Associated Press/GfK","Approve 24, Disapprove 73",-49,"2010-06-15",2010,"B"
"11",11,10,"Congressional Job Approval","CBS News/NY Times","Approve 19, Disapprove 70",-51,"2010-06-21",2010,"A-"
"12",12,11,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 22, Disapprove 73",-51,"2010-06-23",2010,"A-"
"13",13,12,"Congressional Job Approval","Gallup","Approve 20, Disapprove 74",-54,"2010-06-24",2010,"B"
"14",14,13,"Congressional Job Approval","FOX News","Approve 24, Disapprove 66",-42,"2010-07-01",2010,"A"
"15",15,14,"Congressional Job Approval","Gallup","Approve 20, Disapprove 73",-53,"2010-07-22",2010,"B"
"16",16,15,"Congressional Job Approval","FOX News","Approve 21, Disapprove 71",-50,"2010-07-29",2010,"A"
"17",17,16,"Congressional Job Approval","NBC News/Wall St. Jrnl","Approve 21, Disapprove 72",-51,"2010-08-11",2010,"A-"
"18",18,17,"Congressional Job Approval","Gallup","Approve 19, Disapprove 75",-56,"2010-08-11",2010,"B"
"19",19,18,"Congressional Job Approval","Associated Press/GfK","Approve 24, Disapprove 74",-50,"2010-08-18",2010,"B"
"20",20,19,"Congressional Job Approval","CBS News","Approve 22, Disapprove 71",-49,"2010-08-26",2010,"A-"
"21",21,20,"Congressional Job Approval","ABC News/Wash Post","Approve 25, Disapprove 72",-47,"2010-09-07",2010,"A+"
