"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"1",1,0,"Direction of Country","R2000/Daily Kos (D)","Right Direction 38, Wrong Track 58",-20,"2010-04-16",2010,"unknown"
"2",2,1,"Direction of Country","R2000/Daily Kos (D)","Right Direction 39, Wrong Track 57",-18,"2010-04-23",2010,"unknown"
"3",3,2,"Direction of Country","Rasmussen Reports","Right Direction 33, Wrong Track 62",-29,"2010-04-26",2010,"C+"
"4",4,3,"Direction of Country","Democracy Corps (D)","Right Direction 34, Wrong Track 57",-23,"2010-04-27",2010,"B-"
"5",5,4,"Direction of Country","Rasmussen Reports","Right Direction 33, Wrong Track 61",-28,"2010-04-27",2010,"C+"
"6",6,5,"Direction of Country","Resurgent Republic (R)","Right Direction 33, Wrong Track 59",-26,"2010-04-30",2010,"unknown"
"7",7,6,"Direction of Country","R2000/Daily Kos (D)","Right Direction 41, Wrong Track 56",-15,"2010-04-30",2010,"unknown"
"8",8,7,"Direction of Country","Rasmussen Reports","Right Direction 33, Wrong Track 61",-28,"2010-05-05",2010,"C+"
"9",9,8,"Direction of Country","National Journal/FD","Right Direction 34, Wrong Track 54",-20,"2010-05-06",2010,"A"
"10",10,9,"Direction of Country","R2000/Daily Kos (D)","Right Direction 42, Wrong Track 55",-13,"2010-05-07",2010,"unknown"
"11",11,10,"Direction of Country","NBC News/Wall St. Jrnl","Right Direction 34, Wrong Track 56",-22,"2010-05-12",2010,"A-"
"12",12,11,"Direction of Country","Rasmussen Reports","Right Direction 30, Wrong Track 64",-34,"2010-05-12",2010,"C+"
"13",13,12,"Direction of Country","R2000/Daily Kos (D)","Right Direction 43, Wrong Track 54",-11,"2010-05-14",2010,"unknown"
"14",14,13,"Direction of Country","Associated Press/GfK","Right Direction 35, Wrong Track 59",-24,"2010-05-15",2010,"B"
"15",15,14,"Direction of Country","Ipsos-McClatchy","Right Direction 34, Wrong Track 60",-26,"2010-05-17",2010,"unknown"
"16",16,15,"Direction of Country","Rasmussen Reports","Right Direction 31, Wrong Track 64",-33,"2010-05-19",2010,"C+"
"17",17,16,"Direction of Country","R2000/Daily Kos (D)","Right Direction 41, Wrong Track 55",-14,"2010-05-21",2010,"unknown"
"18",18,17,"Direction of Country","CBS News","Right Direction 32, Wrong Track 61",-29,"2010-05-25",2010,"A-"
