"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"1",1,0,"Generic Congressional Vote","PPP (D)","Republicans 47, Democrats 42",5,"2010-04-16",2010,"B"
"2",2,1,"Generic Congressional Vote","Gallup","Republicans 46, Democrats 43",3,"2010-04-19",2010,"B"
"3",3,2,"Generic Congressional Vote","Rasmussen Reports","Republicans 46, Democrats 36",10,"2010-04-19",2010,"C+"
"4",4,3,"Generic Congressional Vote","FOX News","Republicans 42, Democrats 38",4,"2010-04-22",2010,"A"
"5",5,4,"Generic Congressional Vote","Rasmussen Reports","Republicans 44, Democrats 38",6,"2010-04-26",2010,"C+"
"6",6,5,"Generic Congressional Vote","Gallup","Republicans 45, Democrats 45",0,"2010-04-26",2010,"B"
"7",7,6,"Generic Congressional Vote","Democracy Corps (D)","Republicans 45, Democrats 43",2,"2010-04-27",2010,"B-"
"8",8,7,"Generic Congressional Vote","ABC News/Wash Post","Republicans 43, Democrats 48",-5,"2010-04-28",2010,"A+"
"9",9,8,"Generic Congressional Vote","Rasmussen Reports","Republicans 44, Democrats 37",7,"2010-05-03",2010,"C+"
"10",10,9,"Generic Congressional Vote","Gallup","Republicans 45, Democrats 45",0,"2010-05-03",2010,"B"
"11",11,10,"Generic Congressional Vote","National Journal/FD","Republicans 35, Democrats 39",-4,"2010-05-06",2010,"A"
"12",12,11,"Generic Congressional Vote","Gallup","Republicans 46, Democrats 46",0,"2010-05-10",2010,"B"
"13",13,12,"Generic Congressional Vote","Rasmussen Reports","Republicans 44, Democrats 38",6,"2010-05-10",2010,"C+"
"14",14,13,"Generic Congressional Vote","FOX News","Republicans 42, Democrats 40",2,"2010-05-12",2010,"A"
"15",15,14,"Generic Congressional Vote","Rasmussen Reports","Republicans 43, Democrats 38",5,"2010-05-17",2010,"C+"
"16",16,15,"Generic Congressional Vote","Ipsos-McClatchy","Republicans 42, Democrats 45",-3,"2010-05-17",2010,"unknown"
"17",17,16,"Generic Congressional Vote","Gallup","Republicans 46, Democrats 45",1,"2010-05-17",2010,"B"
"18",18,17,"Generic Congressional Vote","FOX News","Republicans 41, Democrats 41",0,"2010-05-21",2010,"A"
"19",19,18,"Generic Congressional Vote","Gallup","Republicans 46, Democrats 47",-1,"2010-05-24",2010,"B"
"20",20,19,"Generic Congressional Vote","Rasmussen Reports","Republicans 44, Democrats 36",8,"2010-05-24",2010,"C+"
"21",21,20,"Generic Congressional Vote","Rasmussen","Republicans 44, Democrats 36",8,"2010-05-24",2010,"C+"
"22",22,21,"Generic Congressional Vote","Quinnipiac","Republicans 36, Democrats 42",-6,"2010-05-26",2010,"A-"
"23",23,22,"Generic Congressional Vote","Rasmussen Reports","Republicans 44, Democrats 37",7,"2010-06-01",2010,"C+"
"24",24,23,"Generic Congressional Vote","Gallup","Republicans 49, Democrats 43",6,"2010-06-01",2010,"B"
"25",25,24,"Generic Congressional Vote","Democracy Corps (D)","Republicans 46, Democrats 43",3,"2010-06-03",2010,"B-"
"26",26,25,"Generic Congressional Vote","Gallup","Republicans 46, Democrats 46",0,"2010-06-07",2010,"B"
"27",27,26,"Generic Congressional Vote","Rasmussen Reports","Republicans 44, Democrats 35",9,"2010-06-07",2010,"C+"
"28",28,27,"Generic Congressional Vote","ABC News/Wash Post","Republicans 44, Democrats 47",-3,"2010-06-08",2010,"A+"
"29",29,28,"Generic Congressional Vote","FOX News","Republicans 38, Democrats 41",-3,"2010-06-11",2010,"A"
