"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"1",1,0,"Colorado Governor - McInnis vs. Hickenlooper","Rasmussen Reports","Hickenlooper 42, McInnis 48",6,"2010-04-16",2010,"C+"
"2",2,1,"Arizona Governor - Republican Primary","Rasmussen Reports","Brewer 26, Mills 18, Martin 12, Munger 14",8,"2010-04-17",2010,"C+"
"3",3,2,"New York Governor - Republican Primary","Siena","Lazio 29, Levy 15, Paladino 13",14,"2010-04-18",2010,"A"
"4",4,3,"New York Governor - Levy vs. Cuomo","Siena","Cuomo 58, Levy 23",35,"2010-04-18",2010,"A"
"5",5,4,"New York Governor - Lazio vs. Cuomo","Siena","Cuomo 61, Lazio 24",37,"2010-04-18",2010,"A"
"6",6,5,"Texas Governor - Perry vs. White","Rasmussen Reports","Perry 48, White 44",4,"2010-04-19",2010,"C+"
"7",7,6,"Massachusetts Governor - Baker vs. Patrick vs. Cahill","Western NE College","Patrick 34, Baker 27, Cahill 29",5,"2010-04-19",2010,"unknown"
"8",8,7,"Florida Governor - McCollum vs. Sink","Quinnipiac","McCollum 40, Sink 36",4,"2010-04-19",2010,"A-"
"9",9,8,"Pennsylvania Governor - Corbett vs. Wagner","Rasmussen Reports","Corbett 48, Wagner 27",21,"2010-04-20",2010,"C+"
"10",10,9,"Pennsylvania Governor - Corbett vs. Hoeffel","Rasmussen Reports","Corbett 49, Hoeffel 29",20,"2010-04-20",2010,"C+"
"11",11,10,"Pennsylvania Governor - Corbett vs. Onorato","Rasmussen Reports","Corbett 45, Onorato 36",9,"2010-04-20",2010,"C+"
"12",12,11,"Florida Governor - McCollum vs. Sink","Rasmussen Reports","McCollum 45, Sink 38",7,"2010-04-20",2010,"C+"
"13",13,12,"California Governor - Whitman vs. Brown","Rasmussen Reports","Whitman 38, Brown 44",6,"2010-04-21",2010,"C+"
"14",14,13,"Arizona Governor - Brewer vs. Goddard","Rasmussen Reports","Goddard 40, Brewer 44",4,"2010-04-21",2010,"C+"
"15",15,14,"New Hampshire Governor - Republican Primary","PPP (D)","Stephen 29, Testerman 15, Kimball 10",14,"2010-04-21",2010,"B"
"16",16,15,"California Governor - Republican Primary","Capitol Weekly/Probolsky (R)","Whitman 47, Poizner 19",28,"2010-04-22",2010,"B"
"17",17,16,"California Governor - Republican Primary","SurveyUSA","Whitman 49, Poizner 27",22,"2010-04-22",2010,"A"
"18",18,17,"Wisconsin Governor - Walker vs. Barrett","Rasmussen Reports","Walker 46, Barrett 44",2,"2010-04-23",2010,"C+"
