"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"1",1,0,"President Obama Job Approval","Quinnipiac","Approve 44, Disapprove 46",-2,"2010-04-21",2010,"A-"
"2",2,1,"President Obama Job Approval","FOX News","Approve 46, Disapprove 46",0,"2010-04-22",2010,"A"
"3",3,2,"President Obama Job Approval","Gallup","Approve 50, Disapprove 43",7,"2010-04-25",2010,"B"
"4",4,3,"President Obama Job Approval","Rasmussen Reports","Approve 45, Disapprove 54",-9,"2010-04-25",2010,"C+"
"5",5,4,"President Obama Job Approval","Democracy Corps (D)","Approve 48, Disapprove 46",2,"2010-04-27",2010,"B-"
"6",6,5,"President Obama Job Approval","ABC News/Wash Post","Approve 54, Disapprove 44",10,"2010-04-28",2010,"A+"
"7",7,6,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 42",5,"2010-04-28",2010,"B-"
"8",8,7,"President Obama Job Approval","Resurgent Republic (R)","Approve 48, Disapprove 48",0,"2010-04-30",2010,"unknown"
"9",9,8,"President Obama Job Approval","CBS News/NY Times","Approve 51, Disapprove 39",12,"2010-05-03",2010,"A-"
"10",10,9,"President Obama Job Approval","Gallup","Approve 47, Disapprove 47",0,"2010-05-03",2010,"B"
"11",11,10,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 51",-3,"2010-05-03",2010,"C+"
"12",12,11,"President Obama Job Approval","FOX News","Approve 48, Disapprove 43",5,"2010-05-06",2010,"A"
"13",13,12,"President Obama Job Approval","National Journal/FD","Approve 48, Disapprove 46",2,"2010-05-06",2010,"A"
"14",14,13,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 42",5,"2010-05-11",2010,"B-"
"15",15,14,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 50, Disapprove 44",6,"2010-05-12",2010,"A-"
"16",16,15,"President Obama Job Approval","Associated Press/GfK","Approve 49, Disapprove 50",-1,"2010-05-15",2010,"B"
"17",17,16,"President Obama Job Approval","Gallup","Approve 51, Disapprove 42",9,"2010-05-15",2010,"B"
"18",18,17,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 52",-4,"2010-05-15",2010,"C+"
"19",19,18,"President Obama Job Approval","Ipsos/McClatchy","Approve 52, Disapprove 43",9,"2010-05-17",2010,"B+"
"20",20,19,"President Obama Job Approval","FOX News","Approve 45, Disapprove 46",-1,"2010-05-21",2010,"A"
"21",21,20,"President Obama Job Approval","CBS News","Approve 47, Disapprove 43",4,"2010-05-25",2010,"A-"
"22",22,21,"President Obama Job Approval","Rasmussen Reports","Approve 43, Disapprove 56",-13,"2010-05-25",2010,"C+"
"23",23,22,"President Obama Job Approval","Gallup","Approve 47, Disapprove 45",2,"2010-05-25",2010,"B"
"24",24,23,"President Obama Job Approval","Quinnipiac","Approve 48, Disapprove 43",5,"2010-05-26",2010,"A-"
"25",25,24,"President Obama Job Approval","USA Today/Gallup","Approve 48, Disapprove 48",0,"2010-05-26",2010,"B"
"26",26,25,"President Obama Job Approval","CNN/Opinion Research","Approve 51, Disapprove 46",5,"2010-05-26",2010,"B+"
"27",27,26,"President Obama Job Approval","Democracy Corps (D)","Approve 47, Disapprove 47",0,"2010-05-26",2010,"B-"
"28",28,27,"President Obama Job Approval","NBC News","Approve 48, Disapprove 45",3,"2010-05-26",2010,"A-"
"29",29,28,"President Obama Job Approval","Gallup","Approve 47, Disapprove 44",3,"2010-06-07",2010,"B"
"30",30,29,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 53",-7,"2010-06-07",2010,"C+"
"31",31,30,"President Obama Job Approval","ABC News/Wash Post","Approve 52, Disapprove 45",7,"2010-06-08",2010,"A+"
"32",32,31,"President Obama Job Approval","FOX News","Approve 46, Disapprove 45",1,"2010-06-11",2010,"A"
"33",33,32,"President Obama Job Approval","Associated Press/GfK","Approve 50, Disapprove 49",1,"2010-06-15",2010,"B"
"34",34,33,"President Obama Job Approval","Ipsos/McClatchy","Approve 50, Disapprove 45",5,"2010-06-16",2010,"B+"
"35",35,34,"President Obama Job Approval","CNN/OpinionResearch","Approve 50, Disapprove 48",2,"2010-06-17",2010,"B+"
"36",36,35,"President Obama Job Approval","CBS News/NY Times","Approve 47, Disapprove 43",4,"2010-06-21",2010,"A-"
"37",37,36,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 45, Disapprove 48",-3,"2010-06-23",2010,"A-"
"38",38,37,"President Obama Job Approval","Gallup","Approve 45, Disapprove 46",-1,"2010-06-23",2010,"B"
"39",39,38,"President Obama Job Approval","Rasmussen Reports","Approve 48, Disapprove 51",-3,"2010-06-23",2010,"C+"
"40",40,39,"President Obama Job Approval","Pew Research","Approve 48, Disapprove 43",5,"2010-06-24",2010,"B-"
"41",41,40,"President Obama Job Approval","Newsweek","Approve 48, Disapprove 46",2,"2010-06-25",2010,"unknown"
"42",42,41,"President Obama Job Approval","Marist","Approve 44, Disapprove 45",-1,"2010-06-30",2010,"A"
"43",43,42,"President Obama Job Approval","FOX News","Approve 47, Disapprove 45",2,"2010-07-01",2010,"A"
"44",44,43,"President Obama Job Approval","Resurgent Republic (R)","Approve 49, Disapprove 48",1,"2010-07-06",2010,"unknown"
"45",45,44,"President Obama Job Approval","Democracy Corps (D)","Approve 46, Disapprove 50",-4,"2010-07-08",2010,"B-"
"46",46,45,"President Obama Job Approval","CBS News","Approve 44, Disapprove 44",0,"2010-07-13",2010,"A-"
"47",47,46,"President Obama Job Approval","ABC News/Wash Post","Approve 50, Disapprove 47",3,"2010-07-13",2010,"A+"
"48",48,47,"President Obama Job Approval","Bloomberg","Approve 52, Disapprove 44",8,"2010-07-14",2010,"unknown"
"49",49,48,"President Obama Job Approval","Gallup","Approve 46, Disapprove 47",-1,"2010-07-15",2010,"B"
"50",50,49,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 53",-7,"2010-07-15",2010,"C+"
"51",51,50,"President Obama Job Approval","Time","Approve 49, Disapprove 45",4,"2010-07-15",2010,"A-"
"52",52,51,"President Obama Job Approval","FOX News","Approve 43, Disapprove 48",-5,"2010-07-15",2010,"A"
"53",53,52,"President Obama Job Approval","Quinnipiac","Approve 44, Disapprove 48",-4,"2010-07-21",2010,"A-"
"54",54,53,"President Obama Job Approval","CNN/Opinion Research","Approve 47, Disapprove 50",-3,"2010-07-22",2010,"B+"
"55",55,54,"President Obama Job Approval","Rasmussen Reports","Approve 44, Disapprove 56",-12,"2010-07-27",2010,"C+"
"56",56,55,"President Obama Job Approval","Gallup","Approve 45, Disapprove 48",-3,"2010-07-27",2010,"B"
"57",57,56,"President Obama Job Approval","Reuters/Ipsos","Approve 48, Disapprove 48",0,"2010-07-27",2010,"B+"
"58",58,57,"President Obama Job Approval","FOX News","Approve 43, Disapprove 50",-7,"2010-07-29",2010,"A"
"59",59,58,"President Obama Job Approval","USA Today/Gallup","Approve 41, Disapprove 53",-12,"2010-08-03",2010,"B"
"60",60,59,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 47, Disapprove 48",-1,"2010-08-11",2010,"A-"
"61",61,60,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 41",6,"2010-08-11",2010,"B-"
"62",62,61,"President Obama Job Approval","FOX News","Approve 43, Disapprove 49",-6,"2010-08-12",2010,"A"
"63",63,62,"President Obama Job Approval","CNN/Opinion Research","Approve 47, Disapprove 51",-4,"2010-08-12",2010,"B+"
"64",64,63,"President Obama Job Approval","Democracy Corps (D)","Approve 45, Disapprove 51",-6,"2010-08-12",2010,"B-"
"65",65,64,"President Obama Job Approval","Rasmussen Reports","Approve 47, Disapprove 52",-5,"2010-08-16",2010,"C+"
"66",66,65,"President Obama Job Approval","Gallup","Approve 42, Disapprove 51",-9,"2010-08-16",2010,"B"
"67",67,66,"President Obama Job Approval","Rasmussen Reports","Approve 44, Disapprove 55",-11,"2010-08-16",2010,"C+"
"68",68,67,"President Obama Job Approval","Gallup","Approve 47, Disapprove 46",1,"2010-08-17",2010,"B"
"69",69,68,"President Obama Job Approval","Associated Press/GfK","Approve 49, Disapprove 50",-1,"2010-08-18",2010,"B"
"70",70,69,"President Obama Job Approval","Time","Approve 46, Disapprove 45",1,"2010-08-19",2010,"A-"
"71",71,70,"President Obama Job Approval","Reuters/Ipsos","Approve 45, Disapprove 52",-7,"2010-08-25",2010,"B+"
"72",72,71,"President Obama Job Approval","CBS News","Approve 48, Disapprove 44",4,"2010-08-26",2010,"A-"
"73",73,72,"President Obama Job Approval","Newsweek","Approve 47, Disapprove 45",2,"2010-08-27",2010,"unknown"
"74",74,73,"President Obama Job Approval","Gallup","Approve 43, Disapprove 49",-6,"2010-08-30",2010,"B"
"75",75,74,"President Obama Job Approval","Rasmussen Reports","Approve 46, Disapprove 52",-6,"2010-08-30",2010,"C+"
"76",76,75,"President Obama Job Approval","CNN/Opinion Research","Approve 50, Disapprove 49",1,"2010-09-03",2010,"B+"
"77",77,76,"President Obama Job Approval","FOX News","Approve 46, Disapprove 48",-2,"2010-09-03",2010,"A"
"78",78,77,"President Obama Job Approval","USA Today/Gallup","Approve 43, Disapprove 53",-10,"2010-09-03",2010,"B"
"79",79,78,"President Obama Job Approval","ABC News/Wash Post","Approve 46, Disapprove 52",-6,"2010-09-07",2010,"A+"
"80",80,79,"President Obama Job Approval","National Journal/FD","Approve 46, Disapprove 49",-3,"2010-09-07",2010,"A"
"81",81,80,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 45, Disapprove 49",-4,"2010-09-07",2010,"A-"
"82",82,81,"President Obama Job Approval","Democracy Corps (D)","Approve 46, Disapprove 50",-4,"2010-09-08",2010,"B-"
"83",83,82,"President Obama Job Approval","Quinnipiac","Approve 44, Disapprove 47",-3,"2010-09-09",2010,"A-"
"84",84,83,"President Obama Job Approval","Democracy Corps (D)","Approve 49, Disapprove 47",2,"2010-09-15",2010,"B-"
"85",85,84,"President Obama Job Approval","Associated Press/GfK","Approve 49, Disapprove 50",-1,"2010-09-15",2010,"B"
"86",86,85,"President Obama Job Approval","CBS News/NY Times","Approve 45, Disapprove 47",-2,"2010-09-15",2010,"A-"
"87",87,86,"President Obama Job Approval","Politico/GWU/Battleground","Approve 45, Disapprove 48",-3,"2010-09-16",2010,"B"
"88",88,87,"President Obama Job Approval","FOX News","Approve 42, Disapprove 52",-10,"2010-09-18",2010,"A"
"89",89,88,"President Obama Job Approval","Gallup","Approve 47, Disapprove 46",1,"2010-09-19",2010,"B"
"90",90,89,"President Obama Job Approval","Rasmussen Reports","Approve 45, Disapprove 55",-10,"2010-09-19",2010,"C+"
"91",91,90,"President Obama Job Approval","Reuters/Ipsos","Approve 47, Disapprove 50",-3,"2010-09-21",2010,"B+"
"92",92,91,"President Obama Job Approval","McClatchy/Marist","Approve 45, Disapprove 50",-5,"2010-09-22",2010,"A"
"93",93,92,"President Obama Job Approval","Pew Research","Approve 47, Disapprove 44",3,"2010-09-23",2010,"B-"
"94",94,93,"President Obama Job Approval","CNN/Opinion Research","Approve 42, Disapprove 54",-12,"2010-09-24",2010,"B+"
"95",95,94,"President Obama Job Approval","Politico/GWU/Battleground","Approve 46, Disapprove 51",-5,"2010-09-27",2010,"B"
"96",96,95,"President Obama Job Approval","NBC News/Wall St. Jrnl","Approve 46, Disapprove 49",-3,"2010-09-28",2010,"A-"
"97",97,96,"President Obama Job Approval","FOX News","Approve 42, Disapprove 49",-7,"2010-09-30",2010,"A"
