"","X.1","X","Race.Topic..Click.to.Sort.","Poll","Results","Spread","Date","Year","poll_grade"
"1",1,0,"Florida Senate - Rubio vs. Meek vs. Crist","Quinnipiac","Crist 32, Rubio 30, Meek 24",2,"2010-04-15",2010,"A-"
"2",2,1,"Arkansas Senate - Boozman vs. Lincoln","R2000/Daily Kos (D)","Boozman 50, Lincoln 43",7,"2010-04-15",2010,"unknown"
"3",3,2,"Arkansas Senate - Boozman vs. Halter","R2000/Daily Kos (D)","Boozman 48, Halter 41",7,"2010-04-15",2010,"unknown"
"4",4,3,"Florida Senate - Rubio vs. Meek","Quinnipiac","Rubio 42, Meek 38",4,"2010-04-15",2010,"A-"
"5",5,4,"Florida Senate - Republican Primary","Quinnipiac","Rubio 56, Crist 33",23,"2010-04-15",2010,"A-"
"6",6,5,"Arkansas Senate - Democratic Primary","R2000/Daily Kos (D)","Lincoln 45, Halter 33",12,"2010-04-15",2010,"unknown"
"7",7,6,"Florida Senate - Crist vs. Meek","Quinnipiac","Crist 48, Meek 34",14,"2010-04-15",2010,"A-"
"8",8,7,"Arizona Senate - Republican Primary","Rasmussen Reports","McCain 47, Hayworth 42",5,"2010-04-16",2010,"C+"
"9",9,8,"Nevada Senate - Lowden vs. Reid","LVRJ/Mason-Dixon","Lowden 47, Reid 37",10,"2010-04-16",2010,"B+"
"10",10,9,"New York Senate - DioGuardi vs. Gillibrand","Siena","Gillibrand 46, DioGuardi 27",19,"2010-04-18",2010,"A"
"11",11,10,"Indiana Senate - Coats vs. Ellsworth","Rasmussen Reports","Coats 54, Ellsworth 33",21,"2010-04-19",2010,"C+"
"12",12,11,"Indiana Senate - Hostettler vs. Ellsworth","Rasmussen Reports","Hostettler 50, Ellsworth 33",17,"2010-04-19",2010,"C+"
"13",13,12,"New Hampshire Senate - Ayotte vs. Hodes","PPP (D)","Ayotte 47, Hodes 40",7,"2010-04-20",2010,"B"
"14",14,13,"North Carolina Senate - Burr vs. Marshall","Rasmussen Reports","Burr 50, Marshall 32",18,"2010-04-21",2010,"C+"
"15",15,14,"North Carolina Senate - Burr vs. Cunningham","Rasmussen Reports","Burr 53, Cunningham 31",22,"2010-04-21",2010,"C+"
