race_type,top_candidates,date
house,"['burns', 'critz']",2010-04-20
house,"['guinta', 'shea-porter']",2010-04-22
house,"['bass', 'swett']",2010-04-22
house,"['guinta', 'shea-porter']",2010-04-30
house,"['bass', 'swett']",2010-04-30
house,"['burns', 'critz']",2010-05-01
house,"['burns', 'critz']",2010-05-01
house,"['harris', 'kratovil']",2010-05-01
house,"['djou', 'case']",2010-05-02
house,"['critz', 'burns']",2010-05-12
house,"['critz', 'burns']",2010-05-12
house,"['burns', 'critz']",2010-05-17
house,"['gowdy', 'inglis']",2010-06-06
house,"['ellmers', 'etheridge']",2010-06-17
house,"['bachmann', 'clark']",2010-07-13
house,"['titus', 'heck']",2010-07-18
house,"['hurt', 'perriello']",2010-07-21
house,"['boucher', 'griffith']",2010-07-22
house,"['barela', 'heinrich']",2010-07-27
house,"['chandler', 'barr']",2010-07-29
house,"['shuler', 'miller']",2010-08-02
house,"['titus', 'heck']",2010-08-15
house,"['hurt', 'perriello']",2010-08-16
house,"['murphy', 'gibson']",2010-08-16
house,"['owens', 'doheny']",2010-08-16
house,"['maffei', 'buerkle']",2010-08-16
house,"['kelly', 'dahlkemper']",2010-08-16
house,"['marino', 'carney']",2010-08-16
house,"['barletta', 'kanjorski']",2010-08-16
house,"['burns', 'critz']",2010-08-16
house,"['rahall', 'maynard']",2010-08-16
house,"['herrera', 'heck']",2010-08-26
house,"['heck', 'titus']",2010-09-02
house,"['hurt', 'perriello']",2010-09-02
house,"['yarmuth', 'lally']",2010-09-03
house,"['boucher', 'griffith']",2010-09-03
house,"['reichert', 'delbene']",2010-09-04
house,"['koster', 'larsen']",2010-09-04
house,"['pingree', 'scontras']",2010-09-09
house,"['michaud', 'levesque']",2010-09-09
house,"['titus', 'heck']",2010-09-13
house,"['titus', 'heck']",2010-09-13
house,"['costa', 'vidak']",2010-09-15
house,"['raczkowski', 'peters']",2010-09-16
house,"['herrera', 'heck']",2010-09-16
house,"['bachmann', 'clark']",2010-09-17
house,"['murphy', 'gibson']",2010-09-17
house,"['dent', 'callahan']",2010-09-19
house,"['pingree', 'scontras']",2010-09-19
house,"['michaud', 'levesque']",2010-09-19
house,"['smith', 'muri']",2010-09-20
house,"['dingell', 'steele']",2010-09-20
house,"['reed', 'zeller']",2010-09-21
house,"['arcuri', 'hanna']",2010-09-21
house,"['minnick', 'labrador']",2010-09-21
house,"['kelly', 'dahlkemper']",2010-09-22
house,"['cicilline', 'loughlin']",2010-09-22
house,"['fitzpatrick', 'murphy']",2010-09-23
house,"['yarmuth', 'lally']",2010-09-23
house,"['walberg', 'schauer']",2010-09-23
house,"['chandler', 'barr']",2010-09-25
house,"['marino', 'carney']",2010-09-26
house,"['barletta', 'kanjorski']",2010-09-26
house,"['adler', 'runyan']",2010-09-27
house,"['klein', 'west']",2010-09-27
house,"['bass', 'kuster']",2010-09-27
