,name,candidate_id,state,incumbent_challenge_full,party_full,office_full,cycles,election_years,last_file_date,load_date
0,"AALDERS, TIMOTHY NOEL",S2UT00229,UT,Open seat,CONSTITUTION PARTY,Senate,"[2012, 2014, 2016, 2018]","[2012, 2018]",2018-04-23,2018-08-01T00:13:22
1,"AANESTAD, SAMUEL",H2CA01110,CA,Challenger,REPUBLICAN PARTY,House,"[2012, 2014, 2016]",[2012],2012-02-22,2013-04-26T09:04:30
2,"AARESTAD, DAVID",H8CO06237,CO,Challenger,DEMOCRATIC PARTY,House,[2018],[2018],2017-04-26,2017-08-01T20:57:28
3,"AARON, LAURA DAVIS",P80002926,US,Open seat,DEMOCRATIC PARTY,President,"[2006, 2008, 2010, 2012, 2014, 2016]",[2008],2007-03-13,2016-11-17T06:10:48
4,"ABAIR, PETER JON",H0MA01024,MA,Challenger,REPUBLICAN PARTY,House,"[2000, 2002, 2004]",[2000],2000-02-02,2002-04-12T00:00:00
5,"ABATE, CAMILLE M",H6NJ05155,NJ,Challenger,DEMOCRATIC PARTY,House,"[2006, 2008]","[2006, 2008]",2007-06-05,2009-04-29T00:00:00
6,"ABATE, FRANK G",H2NJ12036,NJ,Challenger,DEMOCRATIC PARTY,House,"[1992, 1994, 1996, 1998]",[1992],1992-04-15,2002-04-03T00:00:00
7,"ABBAS, JEFFREY LYN",H0IA03071,IA,Challenger,REPUBLICAN PARTY,House,[1990],[1990],1990-05-01,2002-03-30T00:00:00
8,"ABBOTT, BONNIE",H4TX15043,TX,Challenger,REPUBLICAN PARTY,House,[1994],[1994],1994-01-14,2002-03-30T00:00:00
9,"ABBOTT, JAMES W",H6SD00077,SD,Challenger,DEMOCRATIC PARTY,House,"[1996, 1998]",[1996],1995-10-02,2002-04-03T00:00:00
10,"ABBOTT, JOHN HANCOCK",S6CA00345,CA,Challenger,DEMOCRATIC PARTY,Senate,"[1986, 1988]","[1986, 1988]",1988-08-29,2005-05-26T00:00:00
11,"ABBOTT, JOHN HANCOCK",P80002579,US,Challenger,DEMOCRATIC PARTY,President,"[1988, 1990, 1992, 1994, 1996, 1998]","[1988, 1992]",1992-06-16,2002-04-03T00:00:00
12,"ABBOTT, PHILLIP J.",H2TX18082,TX,Challenger,REPUBLICAN PARTY,House,"[2002, 2004]","[2002, 2004]",2002-03-12,2005-03-02T00:00:00
13,"ABBOTT, RAYMOND H",H4KY03095,KY,Challenger,DEMOCRATIC PARTY,House,"[1994, 1996, 2000]","[1994, 1996, 2000]",2000-05-25,2002-04-07T00:00:00
14,"ABBOTT, WILLIAM ANTHONY",H2IN04101,IN,Challenger,DEMOCRATIC PARTY,House,"[2002, 2004, 2006, 2008]","[2002, 2004]",2004-01-22,2004-01-29T00:00:00
