,index,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,state,candidate_donor_weight
0,0,P00008052,C00684373,P,Presidential,[2018],P,Principal campaign committee,Q,2018-08-03,2018-08-03,2018-09-09,MA,1.0
1,1,S8MN00438,C00555748,N,PAC - Nonqualified,[2014],J,Joint fundraising committee,T,2014-01-28,2014-01-28,2014-12-18,DC,1.0
2,30,S8MS00196,C00495390,S,Senate,[2012],J,Joint fundraising committee,T,2011-04-15,2011-05-10,2011-10-31,VA,0.125
3,34,H8OH05036,C00528091,H,House,[2012],J,Joint fundraising committee,T,2012-08-29,2012-08-29,2012-11-29,OH,0.5
4,35,H6NY25125,C00532879,N,PAC - Nonqualified,"[2012, 2014, 2016, 2018]",J,Joint fundraising committee,Q,2012-10-22,2012-10-22,2018-10-25,DC,1.0
5,36,S6OH00163,C00499921,S,Senate,[2012],J,Joint fundraising committee,T,2011-08-01,2012-01-24,2012-07-26,DC,0.25
6,37,S8VA00214,C00522771,S,Senate,"[2012, 2014]",J,Joint fundraising committee,T,2012-06-04,2012-06-04,2013-02-26,VA,0.25
7,38,S8VA00214,C00518597,S,Senate,[2012],J,Joint fundraising committee,T,2012-04-05,2012-06-11,2012-11-29,VA,0.25
8,39,S8MS00055,C00543637,S,Senate,[2014],J,Joint fundraising committee,T,2013-04-12,2013-04-12,2013-10-29,VA,0.08333333333333333
9,40,S8MS00055,C00561845,S,Senate,[2014],J,Joint fundraising committee,T,2014-04-15,2014-04-15,2014-11-18,VA,0.05263157894736842
10,41,S8ID00027,C00576280,S,Senate,[2016],J,Joint fundraising committee,T,2015-04-15,2015-05-08,2015-10-29,VA,0.05263157894736842
11,42,H8MN03077,C00572131,H,House,[2016],J,Joint fundraising committee,T,2015-01-28,2015-05-26,2015-07-14,GA,0.16666666666666666
12,43,S6IN00191,C00624759,N,PAC - Nonqualified,[2016],J,Joint fundraising committee,T,2016-08-24,2016-08-24,2016-12-29,DC,0.5
13,44,S6NV00200,C00616979,S,Senate,[2016],J,Joint fundraising committee,T,2016-05-10,2016-05-10,2016-12-19,DC,0.25
14,46,S8ID00027,C00614529,S,Senate,[2016],J,Joint fundraising committee,T,2016-04-06,2016-04-06,2016-10-28,VA,0.25
15,48,S6WY00068,C00637181,S,Senate,[2018],J,Joint fundraising committee,T,2017-04-03,2017-04-03,2017-10-27,VA,0.25
16,55,S8TX00285,C00660639,S,Senate,[2018],J,Joint fundraising committee,Q,2017-11-14,2018-08-14,2018-10-20,DC,0.25
17,56,S8PA00320,C00676676,S,Senate,[2018],J,Joint fundraising committee,T,2018-04-13,2018-04-13,2018-10-12,VA,0.5
18,64,P00007740,C00679969,P,Presidential,[2018],P,Principal campaign committee,Q,2018-05-31,2018-05-31,2018-05-31,CA,1.0
19,65,P40002446,C00586388,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-09-09,2015-09-09,2018-04-27,NY,1.0
20,97,H2CA00104,C00527333,N,PAC - Nonqualified,[2012],J,Joint fundraising committee,T,2012-08-16,2012-08-16,2012-12-12,CA,1.0
21,108,H6IL18146,C00579979,H,House,"[2016, 2018]",P,Principal campaign committee,A,2015-06-24,2015-06-24,2018-04-26,CA,1.0
22,125,P80004153,C00522524,P,Presidential,"[2012, 2014]",P,Principal campaign committee,A,2012-05-28,2012-05-28,2014-01-10,NY,1.0
23,129,H8PA12077,C00636555,H,House,[2018],P,Principal campaign committee,T,2017-04-03,2017-04-03,2018-04-20,PA,1.0
24,130,H8IN05220,C00669184,H,House,[2018],P,Principal campaign committee,Q,2018-02-08,2018-02-08,2018-02-08,IN,1.0
25,131,P20003182,C00499830,P,Presidential,"[2012, 2014, 2016]",P,Principal campaign committee,A,2011-08-01,2012-03-05,2015-09-11,WA,1.0
26,132,H4MN01161,C00548693,H,House,[2014],P,Principal campaign committee,T,2013-08-27,2013-08-27,2014-11-03,MN,1.0
27,134,S8TN00394,C00665414,S,Senate,[2018],P,Principal campaign committee,Q,2018-01-09,2018-01-09,2018-01-09,TN,1.0
28,135,H6NY22122,C00609321,H,House,"[2016, 2018]",P,Principal campaign committee,A,2016-02-18,2016-02-18,2018-04-26,NY,1.0
29,136,H8WV02107,C00650077,H,House,[2018],P,Principal campaign committee,Q,2017-07-11,2017-09-30,2018-10-15,WV,1.0
30,138,H4NY21103,C00557611,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-02-21,2014-03-20,2015-02-09,NY,1.0
31,146,S4MN00353,C00546630,S,Senate,"[2014, 2016]",P,Principal campaign committee,T,2013-07-08,2013-07-18,2016-09-20,MN,1.0
32,147,H4CO03233,C00544460,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2013-05-07,2013-05-07,2018-04-26,CO,1.0
33,148,H2CA23106,C00493379,H,House,"[2012, 2014, 2016]",P,Principal campaign committee,T,2011-02-22,2012-10-14,2016-10-19,CA,1.0
34,161,P60022480,C00623850,P,Presidential,"[2016, 2018]",P,Principal campaign committee,Q,2016-08-13,2016-11-14,2016-12-18,OH,1.0
35,165,P60022290,C00622092,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-07-21,2016-07-21,2018-04-26,CA,1.0
36,171,H8GA06302,C00633198,H,House,[2018],P,Principal campaign committee,T,2017-02-15,2017-02-15,2017-11-28,GA,1.0
37,205,H8TX03156,C00612796,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-03-24,2017-05-10,2018-10-31,TX,1.0
38,206,H4NY15071,C00542761,H,House,"[2014, 2016, 2018]",P,Principal campaign committee,A,2013-03-18,2013-03-18,2018-04-26,NY,1.0
39,207,H6NC02130,C00602706,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-01-05,2017-06-14,2018-10-24,NC,1.0
40,208,P60015021,C00586420,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-09-09,2015-09-09,2018-04-26,UT,1.0
41,209,H8GA01048,C00651679,H,House,[2018],P,Principal campaign committee,T,2017-07-27,2017-07-27,2018-02-19,GA,1.0
42,210,H2FL22098,C00526988,N,PAC - Nonqualified,"[2012, 2014]",J,Joint fundraising committee,T,2012-08-13,2012-12-04,2013-01-23,FL,1.0
43,211,H2FL22098,C00495531,H,House,"[2012, 2014]",P,Principal campaign committee,T,2011-04-19,2012-09-25,2014-03-10,FL,1.0
44,212,H8OH14145,C00648758,H,House,[2018],P,Principal campaign committee,T,2017-06-28,2017-07-12,2018-02-14,OH,1.0
45,213,H8MN03150,C00646570,H,House,[2018],P,Principal campaign committee,Q,2017-05-30,2017-09-06,2018-10-14,MN,1.0
46,214,H4CA37078,C00563502,H,House,"[2014, 2016]",P,Principal campaign committee,A,2014-05-19,2014-05-19,2016-01-05,CA,1.0
47,215,H8IL12137,C00653055,H,House,[2018],P,Principal campaign committee,Q,2017-08-14,2017-08-14,2017-08-31,IL,1.0
48,217,P00006841,C00662197,P,Presidential,[2018],P,Principal campaign committee,Q,2017-12-01,2018-04-10,2018-10-15,AZ,0.5
49,219,H4CA46129,C00562710,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-05-05,2014-05-05,2015-04-23,CA,1.0
50,220,P60009008,C00582106,P,Presidential,[2016],P,Principal campaign committee,T,2015-07-28,2015-09-02,2015-10-26,TX,1.0
51,221,H2PA09100,C00523654,H,House,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,Q,2012-06-26,2012-08-22,2012-08-22,PA,1.0
52,222,H6IA03235,C00580282,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2015-07-01,2017-01-29,2018-10-15,IA,1.0
53,223,H6FL11175,C00522797,H,House,"[2012, 2014]",P,Principal campaign committee,A,2012-06-03,2012-06-03,2013-04-08,FL,1.0
54,224,H6FL11175,C00592923,H,House,[2016],P,Principal campaign committee,T,2015-11-30,2015-11-30,2016-12-12,FL,1.0
55,225,S8CA00325,C00635490,S,Senate,[2018],P,Principal campaign committee,Q,2017-03-21,2017-03-21,2017-04-26,CA,1.0
56,226,H8VA05130,C00639153,H,House,[2018],P,Principal campaign committee,T,2017-05-02,2017-05-31,2018-09-07,VA,1.0
57,228,P60022183,C00621904,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2016-07-18,2016-07-18,2018-04-26,WI,1.0
58,229,H8GA11047,C00658716,H,House,[2018],P,Principal campaign committee,T,2017-10-22,2017-10-22,2018-04-25,GA,1.0
59,230,H8PA05303,C00647594,H,House,[2018],P,Principal campaign committee,T,2017-06-09,2018-03-29,2018-07-19,PA,1.0
60,231,S4MA00242,C00523332,S,Senate,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,Q,2012-06-18,2014-04-15,2018-10-10,MA,0.5
61,236,H2KY04139,C00514018,H,House,[2012],P,Principal campaign committee,T,2012-02-29,2012-02-29,2012-12-20,KY,1.0
62,238,H6TX29064,C00599944,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2015-12-24,2017-06-07,2018-10-12,TX,1.0
63,239,H6NE03115,C00591891,N,PAC - Nonqualified,[2016],J,Joint fundraising committee,T,2015-11-09,2015-11-09,2016-12-09,VA,1.0
64,240,H8TX14120,C00639872,H,House,[2018],P,Principal campaign committee,Q,2017-05-10,2018-01-23,2018-10-25,TX,1.0
65,241,H6CA34229,C00612242,H,House,"[2016, 2018]",P,Principal campaign committee,Q,2016-03-17,2016-03-17,2018-10-14,CA,1.0
66,253,S8WA00236,C00672501,S,Senate,[2018],P,Principal campaign committee,Q,2018-03-06,2018-03-06,2018-10-31,WA,1.0
67,258,H4OR02178,C00558304,H,House,"[2014, 2016]",P,Principal campaign committee,T,2014-03-03,2014-04-15,2015-04-21,OR,1.0
68,290,H8OH01118,C00667519,H,House,[2018],P,Principal campaign committee,Q,2018-01-29,2018-10-17,2018-11-02,OH,1.0
69,298,S4TN00369,C00559203,S,Senate,"[2014, 2016, 2018]",P,Principal campaign committee,A,2014-03-04,2014-03-04,2018-04-26,TN,1.0
70,299,H8WA05185,C00651216,H,House,[2018],P,Principal campaign committee,Q,2017-07-24,2017-12-01,2018-10-31,WA,1.0
71,302,P00006247,C00653287,P,Presidential,[2018],A,Authorized by a candidate,Q,2017-08-16,2017-08-16,2017-08-16,RI,1.0
72,303,H2CA31125,C00561761,N,PAC - Nonqualified,"[2014, 2016, 2018]",J,Joint fundraising committee,Q,2014-04-16,2015-08-14,2018-10-25,CA,1.0
73,305,S8MD00088,C00525857,S,Senate,"[2012, 2014]",P,Principal campaign committee,T,2012-07-30,2012-10-15,2013-03-25,MD,1.0
