,Date,Party,Name
0,2014-11-04,R,Jeff Sessions
1,2014-11-04,R,Dan Sullivan
2,2014-11-04,R,Tom Cotton
3,2014-11-04,R,Cory Gardner
4,2014-11-04,D,Chris Coons
5,2014-11-04,R,David Perdue
6,2014-11-04,R,Jim Risch
7,2014-11-04,D,Dick Durbin
8,2014-11-04,R,Joni Ernst
9,2014-11-04,R,Pat Roberts
10,2014-11-04,R,Mitch McConnell
11,2014-11-04,R,Bill Cassidy
12,2014-11-04,R,Susan Collins
13,2014-11-04,D,Ed Markey
14,2014-11-04,D,Gary Peters
15,2014-11-04,D,Al Franken
16,2014-11-04,R,Thad Cochran
17,2014-11-04,R,Steve Daines
18,2014-11-04,R,Ben Sasse
19,2014-11-04,D,Jeanne Shaheen
20,2014-11-04,D,Cory Booker
21,2014-11-04,D,Tom Udall
22,2014-11-04,R,Thom Tillis
23,2014-11-04,R,Jim Inhofe
24,2014-11-04,D,Jeff Merkley
25,2014-11-04,D,Jack Reed
26,2014-11-04,R,Lindsey Graham
27,2014-11-04,R,Mike Rounds
28,2014-11-04,R,Lamar Alexander
29,2014-11-04,R,John Cornyn
30,2014-11-04,D,Mark Warner
31,2014-11-04,R,Shelley Moore Capito
32,2014-11-04,R,Mike Enzi
